energy, counts
0, 0
2, 0
4, 0
6, 0
8, 0
10, 0
12, 0
14, 0
16, 0
18, 0
20, 0
22, 0
24, 0
26, 0
28, 0
30, 0
32, 0
34, 0
36, 0
38, 0
40, 12320.2
42, 12405.8
44, 12440.1
46, 12656.1
48, 12856.5
50, 13313.5
52, 13831.4
54, 14425.1
56, 15084.6
58, 15774.6
60, 16551.4
62, 17448.3
64, 18267.6
66, 19242.8
68, 20129.6
70, 21011.1
72, 21656.5
74, 22275.7
76, 22860
78, 23247.5
80, 23598.5
82, 23961.3
84, 24225
86, 24198.5
88, 24262.3
90, 24224.6
92, 24048.1
94, 23866.8
96, 23540.1
98, 23147.3
100, 22765.6
102, 22334.9
104, 21897.4
106, 21422
108, 20886.5
110, 20541.5
112, 19897.2
114, 19400.4
116, 18706.5
118, 18187.8
120, 17748.3
122, 17043.6
124, 16617.1
126, 16006
128, 15425.8
130, 15014.8
132, 14420.6
134, 13925.3
136, 13372.7
138, 13020.8
140, 12494.2
142, 12067
144, 11544.4
146, 11110.2
148, 10692.9
150, 10330.2
152, 9929.8
154, 9563.88
156, 9109.1
158, 8836.19
160, 8480.06
162, 8171.46
164, 7892.95
166, 7607.48
168, 7282.98
170, 6953.37
172, 6737.16
174, 6408.51
176, 6176.86
178, 5995.08
180, 5796.64
182, 5640.47
184, 5353.05
186, 5145.26
188, 4977.12
190, 4820.84
192, 4628.03
194, 4447.49
196, 4287.44
198, 4142.97
200, 4035.59
202, 3826
204, 3689.42
206, 3580.31
208, 3459.47
210, 3332.82
212, 3243.9
214, 3117.84
216, 3021.77
218, 2882.68
220, 2855.92
222, 2774.1
224, 2658.73
226, 2525.55
228, 2486.71
230, 2418.02
232, 2347.14
234, 2237.72
236, 2157.96
238, 2129.83
240, 2111.87
242, 2039.03
244, 1901.24
246, 1855.53
248, 1795.87
250, 1750.66
252, 1744.75
254, 1650.64
256, 1597.52
258, 1570.45
260, 1518.47
262, 1474.39
264, 1412.69
266, 1352.94
268, 1323.43
270, 1306.65
272, 1270.53
274, 1223.52
276, 1208.31
278, 1171.23
280, 1150.87
282, 1104.42
284, 1085.88
286, 1059.86
288, 1035
290, 998.57
292, 973.399
294, 1115.61
296, 945.239
298, 880.869
300, 882.302
302, 855.417
304, 826.865
306, 825.067
308, 794.816
310, 807.329
312, 794.002
314, 746.788
316, 733.423
318, 731.272
320, 686.127
322, 677.191
324, 658.383
326, 644.072
328, 636.885
330, 621.571
332, 619.421
334, 599.278
336, 582.281
338, 559.275
340, 569.455
342, 544.956
344, 548.398
346, 518.5
348, 508.478
350, 685.633
352, 665.007
354, 496.331
356, 496.195
358, 459.228
360, 455.536
362, 456.38
364, 433.721
366, 428.637
368, 419.797
370, 415.533
372, 403.326
374, 399.658
376, 399.932
378, 399.534
380, 381.715
382, 371.58
384, 368.762
386, 361.528
388, 346.036
390, 335.236
392, 338.086
394, 335.053
396, 325.316
398, 317.8
400, 319.438
402, 307.274
404, 311.683
406, 306.538
408, 301.914
410, 288.944
412, 283.138
414, 285.288
416, 284.968
418, 270.043
420, 266.338
422, 270.674
424, 261.348
426, 255.184
428, 253.868
430, 247.388
432, 240.236
434, 239.872
436, 238.885
438, 234.226
440, 233.58
442, 224.767
444, 221.539
446, 219.34
448, 222.73
450, 215.317
452, 208.11
454, 205.705
456, 202.284
458, 202.698
460, 204.273
462, 196.954
464, 194.286
466, 194.328
468, 190.368
470, 189.698
472, 185.837
474, 186.628
476, 183.559
478, 181.723
480, 184.723
482, 180.891
484, 176.818
486, 176.58
488, 174.014
490, 172.165
492, 168.617
494, 168.813
496, 167.461
498, 165.644
500, 167.331
502, 165.983
504, 161.476
506, 163.192
508, 165.966
510, 188.191
512, 160.318
514, 155.831
516, 156.421
518, 156.829
520, 154.503
522, 154.919
524, 152.979
526, 153.008
528, 152.569
530, 152.285
532, 153.509
534, 150.746
536, 151.044
538, 150.474
540, 149.906
542, 149.461
544, 149.48
546, 150.916
548, 149.633
550, 149.687
552, 148.854
554, 149.619
556, 149.004
558, 149.454
560, 149.136
562, 149.28
564, 149.232
566, 148.965
568, 149.021
570, 148.839
572, 149.207
574, 148.452
576, 148.779
578, 148.612
580, 149.391
582, 148.771
584, 147.824
586, 148.293
588, 147.738
590, 147.375
592, 147.215
594, 147.873
596, 147.921
598, 147.916
