energy, counts
0, 0
2, 0
4, 0
6, 0
8, 0
10, 0
12, 0
14, 0
16, 0
18, 0
20, 0
22, 0
24, 0
26, 0
28, 0
30, 0
32, 0
34, 0
36, 0
38, 0
40, 6800.09
42, 6998.31
44, 7289.94
46, 7615.6
48, 8062.14
50, 8738.04
52, 9386.81
54, 10231.5
56, 11058.1
58, 11991.2
60, 13070.6
62, 14078.1
64, 15090.4
66, 16319
68, 17336
70, 18405.2
72, 19217.8
74, 19994.9
76, 20728.6
78, 21252.4
80, 21776.5
82, 22168
84, 22574.4
86, 22676.1
88, 22909.3
90, 22965.2
92, 22829.5
94, 22745.1
96, 22501.6
98, 22194.6
100, 21816.3
102, 21498.5
104, 21117.6
106, 20725.4
108, 20209.2
110, 19899
112, 19294.9
114, 18809.5
116, 18159.1
118, 17681.3
120, 17275.9
122, 16604.3
124, 16172.9
126, 15609.2
128, 15031.9
130, 14684.8
132, 14077.9
134, 13581.8
136, 13064.8
138, 12696.6
140, 12248.2
142, 11779.5
144, 11286.5
146, 10890.1
148, 10461.2
150, 10090.1
152, 9733.18
154, 9346.44
156, 8918.76
158, 8650.02
160, 8311.19
162, 7997.77
164, 7737.55
166, 7433.17
168, 7131.86
170, 6777.82
172, 6624.86
174, 6287.68
176, 6065.91
178, 5876.69
180, 5673.06
182, 5518.41
184, 5256.63
186, 5039.01
188, 4882.82
190, 4709.81
192, 4536.68
194, 4347.44
196, 4206.97
198, 4084.05
200, 3952.12
202, 3764.3
204, 3614.05
206, 3507.48
208, 3385.03
210, 3263.78
212, 3183.26
214, 3054.63
216, 2970.18
218, 2841.23
220, 2789.8
222, 2707.74
224, 2601.11
226, 2474.37
228, 2440.65
230, 2376.45
232, 2294.63
234, 2189.16
236, 2120.29
238, 2084.7
240, 2075.93
242, 1997.44
244, 1862.48
246, 1810.29
248, 1756.54
250, 1719.49
252, 1705.64
254, 1624.11
256, 1572.01
258, 1538.43
260, 1487.31
262, 1444.74
264, 1379.25
266, 1327.63
268, 1296.62
270, 1282.5
272, 1248.69
274, 1195.67
276, 1186.66
278, 1149.26
280, 1125.66
282, 1078.52
284, 1070.55
286, 1033.28
288, 1012.89
290, 975.993
292, 955.17
294, 1092.03
296, 933.841
298, 866.618
300, 863.336
302, 839.211
304, 810.593
306, 807.964
308, 777.697
310, 788.191
312, 774.631
314, 738.035
316, 718.645
318, 715.571
320, 678.527
322, 667.104
324, 646.168
326, 633.744
328, 625.494
330, 605.456
332, 608.837
334, 586.855
336, 570.359
338, 550.657
340, 559.924
342, 531.815
344, 538.615
346, 508.245
348, 497.908
350, 676.95
352, 655.734
354, 488.54
356, 487.03
358, 450.888
360, 446.36
362, 447.585
364, 425.866
366, 420.933
368, 409.66
370, 407.806
372, 395.616
374, 389.688
376, 390.367
378, 392.538
380, 372.108
382, 365.447
384, 362.882
386, 352.725
388, 339.109
390, 329.052
392, 330.453
394, 327.687
396, 319.421
398, 312.743
400, 311.185
402, 300.935
404, 305.763
406, 300.731
408, 294.692
410, 282.932
412, 276.119
414, 279.43
416, 276.927
418, 263.566
420, 261.189
422, 264.408
424, 256.114
426, 249.809
428, 247.679
430, 242.115
432, 235.857
434, 234.368
436, 233.745
438, 228.094
440, 228.383
442, 219.169
444, 217.075
446, 213.448
448, 217.351
450, 210.997
452, 203.054
454, 201.284
456, 196.991
458, 198.018
460, 198.951
462, 192.21
464, 189.746
466, 189.441
468, 185.46
470, 185.311
472, 181.744
474, 181.244
476, 179.175
478, 177.686
480, 180.562
482, 175.577
484, 172.43
486, 171.831
488, 169.72
490, 167.649
492, 163.813
494, 164.285
496, 162.997
498, 161.812
500, 162.811
502, 162.098
504, 157.258
506, 158.792
508, 162.225
510, 185.593
512, 156.313
514, 151.668
516, 152.618
518, 152.791
520, 150.394
522, 150.745
524, 148.801
526, 148.938
528, 148.712
530, 148.342
532, 149.808
534, 147.23
536, 147.049
538, 146.56
540, 146.112
542, 145.906
544, 146.038
546, 147.466
548, 146.212
550, 146.021
552, 145.215
554, 146.133
556, 145.624
558, 145.777
560, 145.73
562, 145.759
564, 145.411
566, 145.613
568, 145.763
570, 145.427
572, 145.814
574, 144.968
576, 145.844
578, 145.272
580, 146.012
582, 145.262
584, 144.308
586, 144.851
588, 144.442
590, 144.225
592, 144.077
594, 144.41
596, 144.582
598, 144.648
