energy, counts
0, 0
2, 0
4, 0
6, 0
8, 0
10, 0
12, 0
14, 0
16, 0
18, 0
20, 0
22, 0
24, 0
26, 0
28, 0
30, 0
32, 0
34, 0
36, 0
38, 0
40, 2933.2
42, 2979.37
44, 3072.29
46, 3188.06
48, 3399.66
50, 3730.73
52, 4087.88
54, 4597
56, 5182.8
58, 5807.26
60, 6638.49
62, 7428.78
64, 8347.79
66, 9289.3
68, 10290.2
70, 11240.4
72, 12080.2
74, 12910.2
76, 13809.5
78, 14409.6
80, 15118.8
82, 15665
84, 16258.6
86, 16569.1
88, 16970.5
90, 17287.6
92, 17343.1
94, 17492.8
96, 17518.3
98, 17384.8
100, 17262.4
102, 17151.1
104, 17043.5
106, 16859.8
108, 16550.1
110, 16382.1
112, 15973.5
114, 15662.7
116, 15178
118, 14882.7
120, 14563.7
122, 14107.4
124, 13782.8
126, 13346.7
128, 12916.9
130, 12604.4
132, 12184.9
134, 11774.6
136, 11340.1
138, 11076.1
140, 10658.7
142, 10327.4
144, 9909.8
146, 9540.82
148, 9170.26
150, 8903.42
152, 8585.97
154, 8267.8
156, 7923.41
158, 7643.38
160, 7365.58
162, 7108.3
164, 6865.14
166, 6616.42
168, 6357.73
170, 6076.13
172, 5905.21
174, 5622.33
176, 5439.81
178, 5263.23
180, 5104.87
182, 4947.71
184, 4704.9
186, 4535.98
188, 4383.97
190, 4250.55
192, 4080
194, 3918.18
196, 3790.46
198, 3667.67
200, 3564.86
202, 3396.07
204, 3246.76
206, 3177.75
208, 3047.58
210, 2942.23
212, 2884.58
214, 2760.52
216, 2674.05
218, 2568.8
220, 2524.2
222, 2442.54
224, 2352.31
226, 2236.95
228, 2204.95
230, 2148.36
232, 2069.51
234, 1980.61
236, 1914.13
238, 1897.25
240, 1894.04
242, 1810.5
244, 1690.69
246, 1646.45
248, 1598.59
250, 1566.1
252, 1558.45
254, 1479.85
256, 1433.09
258, 1397.85
260, 1354.84
262, 1321.41
264, 1259.06
266, 1211.84
268, 1185.33
270, 1174.86
272, 1142.05
274, 1094.73
276, 1078.2
278, 1053.44
280, 1030.53
282, 989.788
284, 973.068
286, 946.649
288, 932.727
290, 891.117
292, 877.836
294, 1000.55
296, 853.007
298, 788.579
300, 789.134
302, 768.38
304, 744.264
306, 741.903
308, 711.973
310, 727.807
312, 713.854
314, 683.68
316, 658.493
318, 657.599
320, 618.538
322, 610.846
324, 594.866
326, 584.802
328, 583.446
330, 557.874
332, 560.891
334, 539.208
336, 525.913
338, 505.808
340, 512.532
342, 490.215
344, 494.861
346, 469.556
348, 456.086
350, 620.297
352, 604.696
354, 449.072
356, 450.937
358, 420.181
360, 410.873
362, 412.533
364, 393.804
366, 387.295
368, 377.799
370, 379.032
372, 364.939
374, 364.059
376, 362.331
378, 364.155
380, 347.307
382, 340.242
384, 339.566
386, 326.424
388, 316.013
390, 305.479
392, 306.602
394, 303.12
396, 293.513
398, 290.073
400, 286.859
402, 280.521
404, 285.57
406, 280.336
408, 273.373
410, 262.343
412, 257.357
414, 259.529
416, 258.545
418, 245.92
420, 243.801
422, 247.916
424, 237.091
426, 233.469
428, 229.824
430, 225.144
432, 219.951
434, 218.024
436, 219.072
438, 214.782
440, 211.718
442, 204.396
444, 202.579
446, 198.831
448, 202.953
450, 195.995
452, 188.407
454, 189.623
456, 183.288
458, 185.295
460, 187.828
462, 180.291
464, 177.649
466, 177.899
468, 172.64
470, 172.91
472, 169.974
474, 169.742
476, 168.473
478, 166.203
480, 167.892
482, 164.871
484, 161.276
486, 161.52
488, 158.831
490, 156.968
492, 153.621
494, 155.017
496, 152.775
498, 151.657
500, 153.359
502, 153.401
504, 147.215
506, 149.001
508, 152.388
510, 176.146
512, 146.889
514, 142.339
516, 142.813
518, 143.246
520, 140.873
522, 141.602
524, 139.631
526, 139.668
528, 139.319
530, 139
532, 140.182
534, 137.785
536, 137.9
538, 137.424
540, 137.194
542, 136.657
544, 136.315
546, 138.181
548, 137.39
550, 137.206
552, 135.914
554, 136.633
556, 136.229
558, 136.755
560, 136.486
562, 136.359
564, 136.167
566, 136.474
568, 136.113
570, 136.334
572, 136.508
574, 135.673
576, 136.26
578, 135.796
580, 136.543
582, 135.8
584, 135.357
586, 135.071
588, 134.701
590, 134.768
592, 134.829
594, 134.838
596, 135.042
598, 135.328
