xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
21.5, 21, 0, 0.00981182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00981182, 0.5, 0, 0.5, 0, 1.5, 0, -0.294942
22.5, 22, 0, 0.00979333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00979333, 0.5, 0, 0.5, 0, 1.5, 0, -0.294906
23.5, 23, 0, 0.00976933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00976933, 0.5, 0, 0.5, 0, 1.5, 0, -0.294861
24.5, 24, 0, 0.00976289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00976289, 0.5, 0, 0.5, 0, 1.5, 0, -0.294848
25.5, 25, 0, 0.00974866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00974866, 0.5, 0, 0.5, 0, 1.5, 0, -0.294821
26.5, 26, 0, 0.00974023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00974023, 0.5, 0, 0.5, 0, 1.5, 0, -0.294805
27.5, 27, 0, 0.0097244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0097244, 0.5, 0, 0.5, 0, 1.5, 0, -0.294775
28.5, 28, 0, 0.00971066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00971066, 0.5, 0, 0.5, 0, 1.5, 0, -0.294748
29.5, 29, 0, 0.00971679, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00971679, 0.5, 0, 0.5, 0, 1.5, 0, -0.29476
30.5, 30, 0, 0.00971358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00971358, 0.5, 0, 0.5, 0, 1.5, 0, -0.294754
31.5, 31, 0, 0.00970496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00970496, 0.5, 0, 0.5, 0, 1.5, 0, -0.294737
32.5, 32, 0, 0.00970554, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00970554, 0.5, 0, 0.5, 0, 1.5, 0, -0.294739
33.5, 33, 0, 0.00970303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00970303, 0.5, 0, 0.5, 0, 1.5, 0, -0.294734
34.5, 34, 0, 0.00968971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00968971, 0.5, 0, 0.5, 0, 1.5, 0, -0.294708
35.5, 35, 0, 0.0096947, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0096947, 0.5, 0, 0.5, 0, 1.5, 0, -0.294718
36.5, 36, 0, 0.00968566, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00968566, 0.5, 0, 0.5, 0, 1.5, 0, -0.2947
37.5, 37, 0, 0.0096811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0096811, 0.5, 0, 0.5, 0, 1.5, 0, -0.294692
38.5, 38, 0, 0.00967428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00967428, 0.5, 0, 0.5, 0, 1.5, 0, -0.294678
39.5, 39, 0, 0.00968349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00968349, 0.5, 0, 0.5, 0, 1.5, 0, -0.294696
40.5, 40, 1460, 18.7001, 1.74212, 0.0523752, 0.255463, 0.0309076, 0.0228461, 0.199177, 0.0147994, 0.0253757, 0.123798, 0.250192, 0.109156, 1.87398, 0.461161, 0.273051, 0.0478039, 8.77502, 0.758259, 0.00108016, 0.821689, 0.328876, 1.15792, 1.00108, 0.047534, 0.132415, 0.0247541, 0.159551, 0.0096816, 22.5, 13.5, 27.5, 9.5, 32.5, 6.5, 3.38706
41.5, 41, 1547, 18.7222, 1.79393, 0.051963, 0.255803, 0.0309986, 0.02275, 0.194673, 0.0145457, 0.0256981, 0.124719, 0.248424, 0.103285, 1.84662, 0.451136, 0.269065, 0.0477067, 8.6059, 0.79326, 0.00109827, 0.879246, 0.421892, 1.16483, 0.999445, 0.0477118, 0.134252, 0.0242211, 0.159354, 0.0096746, 22.5, 13.5, 27.5, 9.5, 32.5, 6.5, 3.38725
42.5, 42, 1431, 18.7152, 1.82582, 0.0522448, 0.253896, 0.0308376, 0.022839, 0.194525, 0.0145809, 0.0254392, 0.124456, 0.256381, 0.0971964, 1.70984, 0.450225, 0.249134, 0.0481052, 8.72962, 0.820416, 0.00099568, 0.873944, 0.365418, 1.17837, 1.01376, 0.0469321, 0.13567, 0.024597, 0.160279, 0.0096811, 22.5, 13.5, 27.5, 9.5, 32.5, 6.5, 3.38719
43.5, 43, 1459, 18.7208, 1.82326, 0.0521691, 0.251762, 0.0308096, 0.0226287, 0.188784, 0.0150569, 0.0258343, 0.127122, 0.252844, 0.101328, 1.75087, 0.458427, 0.255113, 0.0475997, 8.61972, 0.843952, 0.0010862, 0.976182, 0.338842, 1.16538, 0.998013, 0.0475431, 0.132677, 0.0249284, 0.159196, 0.00967523, 22.5, 13.5, 27.5, 9.5, 32.5, 6.5, 3.38724
44.5, 44, 1450, 18.7148, 1.92433, 0.0518872, 0.253092, 0.0314326, 0.0234024, 0.192001, 0.0143872, 0.0254377, 0.126003, 0.244888, 0.104589, 1.62777, 0.473009, 0.237176, 0.0485426, 8.66513, 0.835201, 0.00100171, 0.952705, 0.325554, 1.1792, 1.00517, 0.0474474, 0.1342, 0.024638, 0.156932, 0.00968014, 22.5, 13.5, 27.5, 9.5, 32.5, 6.5, 3.38719
45.5, 45, 1430, 19.1904, 1.91351, 0.0522536, 0.250855, 0.0307326, 0.0233573, 0.189931, 0.0147063, 0.0253123, 0.125016, 0.254612, 0.0998057, 1.81927, 0.492148, 0.265079, 0.0487662, 8.79411, 0.865375, 0.00117068, 1.0042, 0.382028, 1.16524, 0.998626, 0.0478897, 0.135075, 0.024966, 0.156736, 0.00967988, 23.5, 14.5, 28.5, 10.5, 33.5, 7.5, 3.39117
46.5, 46, 1509, 18.96, 1.94824, 0.0514204, 0.253113, 0.0299905, 0.0232529, 0.189271, 0.0149495, 0.0253581, 0.12755, 0.242235, 0.108938, 1.73719, 0.476655, 0.25312, 0.0467735, 8.6342, 0.840934, 0.00106809, 1.02692, 0.425214, 1.16137, 0.969995, 0.0477073, 0.13238, 0.0247541, 0.157759, 0.00967161, 23.5, 14.5, 28.5, 10.5, 32.5, 6.5, 3.38926
47.5, 47, 1519, 19.1716, 2.01771, 0.0516882, 0.255463, 0.0310336, 0.0237414, 0.193865, 0.0147951, 0.0252455, 0.128472, 0.263453, 0.110895, 1.86486, 0.477566, 0.271722, 0.0474928, 8.57498, 0.868694, 0.000947404, 1.08296, 0.348808, 1.1347, 1.00476, 0.048145, 0.135477, 0.0248601, 0.15961, 0.00967544, 23.5, 14.5, 28.5, 10.5, 33.5, 7.5, 3.39102
