xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
902.5, 897, 30.3636, 25.8953, 19.8021, 0.0186175, 0.070534, 0.0104741, 0.00312251, 0.0271364, 0.00186361, 0.00336838, 0.115548, 0.12449, 0.0431919, 0.887764, 0.194427, 0.117814, 0.0182797, 2.56161, 0.26925, 0.000832646, 0.45766, 0.117876, 0.544387, 0.165257, 0.00768498, 0.0212237, 0.00441777, 0.296326, 0.0100465, 27.5, 24.3182, 29.0455, 22.7727, 30.5, 21.3182, 2.91229
911.5, 908, 26.4286, 28.4504, 19.6826, 0.607546, 2.1619, 0.310956, 0.00311159, 0.0271552, 0.00180372, 0.0033246, 0.11787, 0.122714, 0.0454311, 0.836903, 0.197776, 0.111064, 0.0184486, 2.41033, 0.248869, 0.000721556, 0.435308, 0.111412, 0.518058, 0.155047, 0.00712573, 0.0203908, 0.00416074, 0.280326, 0.0100531, 30.5, 26.3571, 32.5, 24.3571, 34.5, 22.3571, -1.00289
921, 915, 26.3333, 25.0111, 19.2968, 0.00792039, 0.0307453, 0.00432291, 0.00301573, 0.0257801, 0.00181736, 0.00329085, 0.122179, 0.116122, 0.045203, 0.85193, 0.19301, 0.113058, 0.0182824, 2.41558, 0.252344, 0.000738043, 0.440514, 0.116771, 0.514264, 0.151141, 0.00690818, 0.0191828, 0.00405073, 0.24609, 0.0100615, 26.4583, 23.5417, 27.9583, 22.125, 29.375, 20.7083, 0.915861
933, 927, 21.3333, 24.8782, 18.963, 0.00729773, 0.0293265, 0.00388266, 0.00310216, 0.0256798, 0.00180071, 0.00334382, 0.127312, 0.122381, 0.045948, 0.858481, 0.201969, 0.113928, 0.0181171, 2.37541, 0.254526, 0.000733194, 0.455443, 0.109902, 0.509898, 0.340244, 0.0169365, 0.0456494, 0.00724201, 0.22655, 0.0100708, 26.375, 23.375, 27.7917, 21.9583, 29.2083, 20.5417, -2.46196
945, 939, 23.0833, 24.5657, 18.624, 0.011969, 0.045411, 0.00665059, 0.00287109, 0.0250441, 0.00173123, 0.0031943, 0.131963, 0.142444, 0.0554661, 1.03187, 0.23387, 0.136938, 0.019344, 2.38004, 0.249961, 0.000771987, 0.437254, 0.118884, 0.507024, 0.144164, 0.0065544, 0.0182234, 0.00372645, 0.216273, 0.0100788, 26.0417, 23.125, 27.4583, 21.7083, 28.875, 20.2917, -1.03606
956.5, 951, 23.2727, 23.9277, 18.2017, 0.0100401, 0.0381307, 0.0054641, 0.00383297, 0.0315855, 0.00227415, 0.00360856, 0.134488, 0.128517, 0.0475044, 0.921812, 0.2042, 0.122332, 0.018049, 2.36409, 0.254458, 0.000753296, 0.442796, 0.110094, 0.498824, 0.138204, 0.00651967, 0.0178392, 0.0037224, 0.206789, 0.010091, 25.4091, 22.4091, 26.9545, 20.9545, 28.3182, 19.5, -0.444099
967.5, 962, 24.6364, 24.99, 17.9267, 0.292027, 1.03984, 0.149933, 0.00268716, 0.0223841, 0.00162943, 0.00313434, 0.118066, 0.123176, 0.0477864, 0.88188, 0.203247, 0.117033, 0.0182031, 2.33168, 0.252373, 0.000757528, 0.439098, 0.116435, 0.497468, 0.164563, 0.00775375, 0.0212698, 0.00405945, 0.196769, 0.0101006, 26.5, 23.4091, 28.0455, 21.9545, 29.5, 20.5, -0.23465
980, 973, 22.5714, 23.0796, 17.5032, 0.00573415, 0.0214521, 0.00286334, 0.00286512, 0.0242847, 0.0017133, 0.00323018, 0.109237, 0.123058, 0.049393, 0.8947, 0.208514, 0.118734, 0.0178149, 2.32252, 0.258429, 0.000744832, 0.448998, 0.110506, 0.498933, 0.134455, 0.00629821, 0.017306, 0.00361677, 0.18092, 0.0101101, 24.3929, 21.75, 25.6786, 20.4643, 26.8929, 19.25, -0.395781
994, 987, 23.5714, 22.5458, 16.981, 0.00601792, 0.022422, 0.00321042, 0.002575, 0.0218137, 0.00155891, 0.00305154, 0.108848, 0.129661, 0.0502922, 0.903287, 0.212072, 0.119874, 0.017885, 2.3144, 0.256405, 0.000744832, 0.459839, 0.112091, 0.490715, 0.134661, 0.00631982, 0.0173808, 0.00361748, 0.155965, 0.0101226, 23.8214, 21.25, 25.1071, 19.9643, 26.3214, 18.75, 0.808211
1008, 1001, 20.7143, 22.5118, 16.5061, 0.00451083, 0.0171333, 0.0023145, 0.00254898, 0.021879, 0.00148548, 0.00295662, 0.107237, 0.128423, 0.050201, 0.936644, 0.217503, 0.124301, 0.0178163, 2.59153, 0.308677, 0.000916908, 0.492585, 0.135189, 0.547385, 0.133203, 0.00611155, 0.0170214, 0.00345654, 0.124549, 0.0101339, 23.8214, 21.1786, 25.1071, 19.9643, 26.3214, 18.6786, -1.41752
