xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1444, 1432, 11.25, 9.60056, 0.00563949, 0.0436665, 0.00454095, 0.00604445, 0.100642, 0.00531828, 0.00721149, 0.272171, 0.387527, 0.073491, 2.04612, 0.618489, 0.271538, 0.0447938, 2.90718, 0.673085, 0.00660868, 0.187611, 0.496871, 0.99473, 0.394923, 0.00938766, 0.0374845, 0.00548145, 0, 10.2708, 8.9375, 10.8958, 8.3125, 11.4792, 7.6875, 2.60792
1461, 1456, 55.6, 52.4653, 0.00793335, 0.06253, 0.00656868, 0.00600226, 0.100105, 0.0052621, 0.00713416, 0.267311, 5.29698, 0.96511, 27.5134, 8.37038, 3.65126, 0.631198, 2.80779, 0.663764, 0.00650506, 0.188814, 0.492499, 0.969372, 0.393301, 0.00931171, 0.0373302, 0.00546097, 0, 54.85, 50.15, 57.05, 47.85, 59.35, 45.65, 1.36854
1479.5, 1466, 5.18519, 5.96289, 0.00474824, 0.0367783, 0.00379126, 0.0059546, 0.0993038, 0.00525278, 0.00708302, 0.254996, 0.00269283, 0.000320984, 0.0154904, 0.00380356, 0.00205571, 0.000356539, 2.7748, 0.667092, 0.00661426, 0.188352, 0.474892, 0.958134, 0.397839, 0.0093942, 0.0375602, 0.00558844, 0, 6.46296, 5.46296, 6.90741, 5.01852, 7.38889, 4.53704, -1.65489
1506.5, 1493, 5.96296, 6.35367, 0.00483778, 0.0378366, 0.00410046, 0.00724898, 0.120984, 0.00619486, 0.007567, 0.232684, 0, 0, 0, 0, 0, 0, 2.97047, 0.722564, 0.00702569, 0.197798, 0.510411, 1.01572, 0.448592, 0.0103292, 0.0423243, 0.00697775, 0, 6.87037, 5.83333, 7.35185, 5.35185, 7.7963, 4.90741, -0.805408
1525, 1520, 73.6, 75.4806, 0.00306665, 0.0237865, 0.00251909, 0.00558157, 0.0938206, 0.00495148, 0.00699032, 0.21944, 0, 0, 0, 0, 0, 0, 42.2911, 9.40184, 0.0742685, 2.64895, 6.41532, 13.8449, 0.392456, 0.00922461, 0.0368187, 0.0054608, 0, 78.25, 72.65, 81.05, 69.95, 83.65, 67.25, -0.684499
1545, 1530, 1.5, 1.05009, 0.00354692, 0.0275398, 0.00289517, 0.00557393, 0.0927024, 0.00497318, 0.00688969, 0.217024, 0, 0, 0, 0, 0, 0, 0.0633214, 0.0457557, 0.00247113, 0.0200145, 0.0371448, 0.024516, 0.438168, 0.0103937, 0.0412277, 0.00592984, 0, 1.25, 0.85, 1.45, 0.683333, 1.65, 0.516667, 2.27468
1575, 1560, 1.46667, 1.00313, 0.00832288, 0.0660551, 0.00697467, 0.00561674, 0.0930683, 0.00497451, 0.00687301, 0.19557, 0, 0, 0, 0, 0, 0, 0.0365672, 0.0572823, 0.00287594, 0.0251517, 0.0380959, 0.0229311, 0.38211, 0.00892867, 0.0360224, 0.00571193, 0, 1.18333, 0.816667, 1.38333, 0.65, 1.58333, 0.483333, 2.38393
1605, 1590, 1.23333, 0.947815, 0.0018461, 0.0145576, 0.00156554, 0.00629857, 0.106653, 0.00561949, 0.00764324, 0.169951, 0, 0, 0, 0, 0, 0, 0.0387733, 0.0686336, 0.00264435, 0.0312669, 0.0486105, 0.0285435, 0.366706, 0.00866124, 0.0344437, 0.00539667, 0, 1.11667, 0.75, 1.31667, 0.583333, 1.51667, 0.45, 1.56
1635, 1620, 1.16667, 0.945869, 0.00464289, 0.0372819, 0.00398562, 0.00680788, 0.115123, 0.00608964, 0.00814749, 0.152724, 0, 0, 0, 0, 0, 0, 0.0416246, 0.0684851, 0.0022954, 0.0313973, 0.0530489, 0.0315361, 0.338007, 0.00802337, 0.0318099, 0.00483921, 0, 1.11667, 0.75, 1.31667, 0.583333, 1.51667, 0.45, 1.22644
1665, 1650, 1.06667, 0.853705, 0.00109736, 0.0085526, 0.000860368, 0.00538593, 0.0908259, 0.00487299, 0.00693886, 0.139727, 0, 0, 0, 0, 0, 0, 0.0383154, 0.0624992, 0.00207602, 0.0277073, 0.0510411, 0.0292147, 0.339409, 0.00802261, 0.0320365, 0.00512181, 0, 1.01667, 0.65, 1.21667, 0.516667, 1.38333, 0.383333, 1.24314
