xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1446, 1440, 6.66667, 6.88408, 4.19809, 0.000825483, 0.000872919, 0.0099316, 0.00123165, 4.08232e-06, 0.00131237, 0.0236486, 0.00167978, 0.00482399, 0.000267636, 0.0160816, 0.0381621, 0.00917588, 0.368491, 1.67998e-05, 0.0753309, 0.016749, 1.13022, 0.152655, 2.99634e-07, 0.0140254, 0.597584, 0.0704934, 0.113958, 0.00217647, 0.014784, 0.00435732, 0, 0.0171269, 7.70833, 6.125, 8.45833, 5.29167, 9.20833, 4.625, -0.28705
1461.5, 1452, 42.0526, 46.8202, 3.82847, 0.00223502, 0.00241281, 0.0269085, 0.00340743, 4.07037e-06, 0.00129841, 0.023096, 0.00166936, 0.00477811, 0.000260732, 0.0157845, 2.97658, 0.669336, 30.181, 0.00080111, 6.28459, 0.798688, 1.06926, 0.144121, 2.45516e-07, 0.0119244, 0.554958, 0.0651392, 0.11438, 0.0022238, 0.0151699, 0.00441507, 0, 0.0172739, 48.3947, 45.2368, 49.9737, 43.6579, 51.5, 42.1316, -3.03707
1476.5, 1471, 5.36364, 5.35826, 3.41109, 0.000772811, 0.000740659, 0.00990404, 0.00110774, 3.90784e-06, 0.0012678, 0.0227272, 0.0016342, 0.00474224, 0.000264341, 0.0148909, 0.000289609, 5.25003e-05, 0.00386065, 7.08856e-08, 0.000493075, 7.06713e-05, 1.00472, 0.134154, 2.34377e-07, 0.0105926, 0.513236, 0.0608, 0.120449, 0.00239485, 0.0158359, 0.00472946, 0, 0.0174387, 6.13636, 4.59091, 6.77273, 3.95455, 7.5, 3.22727, 0.00770454
1487.5, 1482, 4.54545, 5.02995, 3.19106, 0.000689715, 0.00071832, 0.00805613, 0.00103546, 3.94396e-06, 0.00123352, 0.0221036, 0.00156337, 0.00470084, 0.000251232, 0.0150648, 0, 0, 0, 0, 0, 0, 0.978931, 0.126112, 2.46919e-07, 0.0122992, 0.446758, 0.0576771, 0.121069, 0.00234356, 0.0160692, 0.00465722, 0, 0.0175524, 5.77273, 4.31818, 6.40909, 3.59091, 7.04545, 2.95455, -0.716476
1498.5, 1493, 4.81818, 4.78139, 2.9586, 0.00400763, 0.00457738, 0.0489875, 0.00617406, 3.8936e-06, 0.00120635, 0.022205, 0.00157036, 0.00463727, 0.00023119, 0.0144743, 0, 0, 0, 0, 0, 0, 0.937372, 0.116483, 2.24187e-07, 0.0108868, 0.427101, 0.0556079, 0.125596, 0.00236736, 0.0168154, 0.00478684, 0, 0.0176933, 5.5, 4.04545, 6.13636, 3.40909, 6.77273, 2.77273, 0.055805
1509.5, 1504, 5.18182, 4.68479, 2.73636, 0.000615266, 0.000637567, 0.00697778, 0.000878838, 8.39793e-06, 0.00257004, 0.0506976, 0.00347833, 0.00671463, 0.000225448, 0.0139588, 0, 0, 0, 0, 0, 0, 0.946608, 0.112715, 2.28106e-07, 0.0104749, 0.404941, 0.05402, 0.262728, 0.00491114, 0.0356359, 0.0118413, 0, 0.0178004, 5.40909, 3.95455, 6.04545, 3.31818, 6.68182, 2.68182, 0.761605
1525, 1515, 72.05, 71.6844, 2.40615, 0.000406917, 0.000435837, 0.00496306, 0.00057264, 4.07946e-06, 0.00127374, 0.022536, 0.00164651, 0.0047171, 0.000226721, 0.0137209, 0, 0, 0, 0, 0, 0, 33.4103, 7.03802, 1.27084e-05, 0.676487, 25.5479, 2.38825, 0.125075, 0.00240552, 0.0166415, 0.00476515, 0, 0.0179728, 73.575, 69.775, 75.475, 67.875, 77.325, 66.025, 0.193104
1547.5, 1535, 2.6, 2.54611, 2.03558, 0.000677923, 0.000770925, 0.00831898, 0.00106074, 3.70894e-06, 0.00116111, 0.0208101, 0.00148138, 0.00453173, 0.000239294, 0.0146629, 0, 0, 0, 0, 0, 0, 0.0262251, 0.0382296, 6.55315e-09, 0.000388395, 0.204751, 0.00160525, 0.140834, 0.00268443, 0.0186946, 0.00518478, 0, 0.0182197, 2.9, 2.22, 3.22, 1.9, 3.5, 1.58, 0.168851
1572.5, 1560, 2.44, 2.12851, 1.64377, 0.00172583, 0.00181747, 0.0200727, 0.00257402, 3.63805e-06, 0.00117654, 0.0208686, 0.00148255, 0.0044523, 0.000215889, 0.0136237, 0, 0, 0, 0, 0, 0, 0.0197548, 0.0391497, 6.55315e-09, 0.000284823, 0.206009, 0.00141541, 0.110251, 0.0021721, 0.0147857, 0.00441277, 0, 0.0184914, 2.42, 1.82, 2.74, 1.54, 3.02, 1.26, 1.06753
1597.5, 1585, 2.04, 1.85583, 1.31339, 0.00466872, 0.00527242, 0.0567995, 0.00726813, 5.19005e-06, 0.0015945, 0.0296436, 0.00223061, 0.00633289, 0.000191864, 0.0115623, 0, 0, 0, 0, 0, 0, 0.0193172, 0.038988, 4.82864e-09, 0.000466074, 0.212457, 0.00148127, 0.105433, 0.00205493, 0.0138294, 0.00412546, 0, 0.0187183, 2.14, 1.58, 2.42, 1.3, 2.7, 1.06, 0.688069
1622.5, 1610, 1.8, 1.56519, 1.02296, 0.00319867, 0.00356579, 0.0383269, 0.00492931, 1.36958e-05, 0.00428597, 0.0828792, 0.00563744, 0.00983117, 0.000176896, 0.0106325, 0, 0, 0, 0, 0, 0, 0.0183795, 0.0392812, 6.55315e-09, 0.000491967, 0.205852, 0.00154455, 0.079468, 0.00155235, 0.0103088, 0.00287809, 0, 0.0189927, 1.82, 1.3, 2.06, 1.06, 2.34, 0.86, 0.940534
1647.5, 1635, 1.2, 1.21854, 0.787031, 0.000990056, 0.00108632, 0.0116791, 0.00150993, 3.7829e-06, 0.0011536, 0.0212347, 0.00154415, 0.00457059, 0.000154873, 0.00992298, 0, 0, 0, 0, 0, 0, 0.0188483, 0.037532, 7.93276e-09, 0.000388395, 0.208682, 0.00157167, 0.0769302, 0.001537, 0.00997353, 0.00295582, 0, 0.019243, 1.42, 0.98, 1.66, 0.78, 1.9, 0.58, -0.0544977
1672.5, 1660, 1, 1.02507, 0.602435, 0.00046944, 0.000490528, 0.00572857, 0.000729854, 4.22066e-06, 0.00129074, 0.0239366, 0.00171281, 0.00484411, 0.000151918, 0.00945611, 0, 0, 0, 0, 0, 0, 0.0176293, 0.037259, 6.55315e-09, 0.000543753, 0.190598, 0.00148773, 0.0896836, 0.00181718, 0.0117869, 0.00351667, 0, 0.0194998, 1.22, 0.78, 1.46, 0.62, 1.66, 0.46, -0.0918131
1697.5, 1685, 0.92, 0.797777, 0.440371, 0.000220313, 0.00024201, 0.00263914, 0.000342886, 3.81684e-06, 0.00120216, 0.0212875, 0.00156869, 0.00464582, 0.000141431, 0.00886658, 0, 0, 0, 0, 0, 0, 0.017598, 0.0344582, 8.96747e-09, 0.000569646, 0.171098, 0.00138312, 0.0601451, 0.00121892, 0.00767958, 0.00233047, 0, 0.0197647, 0.98, 0.62, 1.18, 0.46, 1.38, 0.3, 0.701813
1717.5, 1710, 0.6, 0.664694, 0.32985, 0.000101884, 9.5303e-05, 0.00121998, 0.000155308, 3.81276e-06, 0.00121328, 0.0218962, 0.00159108, 0.00467342, 0.000136807, 0.0086604, 0, 0, 0, 0, 0, 0, 0.0162539, 0.0327427, 6.89805e-09, 0.000561015, 0.161977, 0.00119027, 0.0527779, 0.00101516, 0.00666741, 0.00194962, 0, 0.0199614, 0.9, 0.433333, 1.1, 0.233333, 1.36667, 0.1, -0.258836
1730, 1725, 1.3, 1.06189, 0.278788, 9.11306e-05, 8.10242e-05, 0.00105726, 0.000140893, 3.76623e-06, 0.00121186, 0.0219729, 0.00159514, 0.00461687, 0.000146818, 0.00853951, 0, 0, 0, 0, 0, 0, 0.0133626, 0.0320771, 6.03579e-09, 0.000323663, 0.154507, 0.00113, 0.443318, 0.00849558, 0.0573628, 0.0129686, 0, 0.0201043, 1.35, 0.65, 1.75, 0.45, 2.15, 0.15, 0.750958
1747.5, 1735, 0.6, 0.537356, 0.226132, 0.000130175, 0.000146109, 0.00163043, 0.000207294, 3.89159e-06, 0.00120942, 0.0222969, 0.00163575, 0.00471728, 0.00013123, 0.00829816, 0, 0, 0, 0, 0, 0, 0.0135658, 0.030788, 3.44903e-09, 0.000207144, 0.132097, 0.00100473, 0.0622573, 0.00108551, 0.00737642, 0.00216284, 0, 0.0202722, 0.7, 0.38, 0.86, 0.26, 1.02, 0.14, 0.461571
1765, 1760, 2.9, 2.54448, 0.161884, 3.40533e-05, 3.63613e-05, 0.000358347, 5.92867e-05, 4.02019e-06, 0.00125772, 0.0234314, 0.0017218, 0.00481452, 0.000132875, 0.00807792, 0, 0, 0, 0, 0, 0, 0.0120342, 0.0290944, 7.76031e-09, 0.000388395, 0.142319, 0.00105575, 1.79775, 0.0383957, 0.240554, 0.0606278, 0, 0.0204524, 3.05, 1.95, 3.65, 1.55, 4.15, 1.15, 0.719579
1802.5, 1770, 0.292308, 0.353964, 0.0894056, 5.59319e-05, 6.21219e-05, 0.00066512, 8.43427e-05, 4.29584e-06, 0.00132753, 0.0250164, 0.00181403, 0.00496379, 0.000126559, 0.00789683, 0, 0, 0, 0, 0, 0, 0.01088, 0.0282097, 3.97964e-09, 0.000189218, 0.122359, 0.000820556, 0.0332304, 0.000611082, 0.00421694, 0.00117282, 0, 0.0208513, 0.423077, 0.269231, 0.515385, 0.207692, 0.592308, 0.146154, -0.82523
1839, 1835, 0.25, 0.507697, 0.0429983, 8.57365e-05, 9.04881e-05, 0.00103369, 0.000142114, 3.98384e-06, 0.00126264, 0.0233644, 0.00173819, 0.00491825, 0.000123192, 0.00762044, 0, 0, 0, 0, 0, 0, 0.0113309, 0.0487855, 1.61673e-08, 0.000404578, 0.260951, 0.00173536, 0.0669596, 0.00123209, 0.00885161, 0.00282451, 0, 0.0212403, 0.6875, 0.1875, 1.0625, 0.0625, 1.4375, 0, -1.03849
1848, 1843, 0.7, 0.556692, 0.0296437, 4.43245e-05, 4.20064e-05, 0.000567308, 5.92867e-05, 4.18355e-06, 0.00127135, 0.0233365, 0.00176964, 0.00491241, 0.000125248, 0.00756027, 0, 0, 0, 0, 0, 0, 0.00945542, 0.0258588, 3.44903e-09, 0.000323663, 0.0955347, 0.000648945, 0.282756, 0.00568343, 0.0369502, 0.00880303, 0, 0.0213419, 0.75, 0.25, 1.05, 0.05, 1.35, 0, 0.645504
1933.5, 1853, 0.180124, 0.231037, 0.0057179, 5.11438e-05, 5.7565e-05, 0.000618848, 7.97565e-05, 4.38567e-06, 0.00132102, 0.0251748, 0.00185816, 0.0051251, 0.000118504, 0.00742628, 0, 0, 0, 0, 0, 0, 0.0164539, 0.0241392, 3.48116e-09, 0.000221136, 0.0807783, 0.00103535, 0.0325174, 0.000621751, 0.00427955, 0.00122054, 0, 0.0222162, 0.270186, 0.189441, 0.307453, 0.152174, 0.350932, 0.121118, -1.36979
2039, 2014, 0, 0.171426, 0, 1.90257e-06, 1.66033e-06, 1.97402e-05, 2.37147e-06, 4.5673e-06, 0.00136666, 0.0261482, 0.00195913, 0.00524363, 0.000112401, 0.00732552, 0, 0, 0, 0, 0, 0, 0.00564199, 0.0197973, 2.06942e-09, 0.000116519, 0.0522099, 0.00037839, 0.0234549, 0.000447164, 0.00303998, 0.000833187, 0, 0.0233212, 0.23, 0.11, 0.29, 0.05, 0.37, 0.01, -3.9
2132, 2064, 0.154412, 0.175255, 0, 3.54807e-08, 1.22083e-08, 4.57675e-07, 5.12861e-08, 6.53822e-06, 0.00186644, 0.0376387, 0.00282654, 0.00741177, 0.000113623, 0.00716151, 0, 0, 0, 0, 0, 0, 0.0052345, 0.0175455, 1.64843e-09, 7.61559e-05, 0.040153, 0.000360841, 0.0257838, 0.000509423, 0.0033072, 0.000922369, 0, 0.0243363, 0.209559, 0.136029, 0.253676, 0.106618, 0.290441, 0.0772059, -0.557678
2204, 2200, 0.75, 0.864836, 0, 0, 0, 0, 0, 6.08188e-06, 0.00170714, 0.0353489, 0.00255285, 0.0066409, 0.000119468, 0.00743498, 0, 0, 0, 0, 0, 0, 0.00459096, 0.0171255, 2.15564e-09, 0, 0.0388233, 0.000270394, 0.608986, 0.0133415, 0.0811052, 0.021664, 0, 0.0251189, 1.1875, 0.4375, 1.5625, 0.1875, 2.0625, 0.0625, -0.292053
2409, 2208, 0.144279, 0.117031, 0, 0, 0, 0, 0, 5.97793e-06, 0.00157969, 0.034534, 0.00254923, 0.00635483, 0.000102756, 0.00628542, 0, 0, 0, 0, 0, 0, 0.00367393, 0.0114604, 1.3513e-09, 3.86463e-05, 0.0132125, 0.000235638, 0.00803263, 0.000156546, 0.0010331, 0.000276295, 0, 0.0274998, 0.133085, 0.0982587, 0.152985, 0.0833333, 0.170398, 0.068408, 1.56075
2615, 2610, 1.7, 1.5545, 0, 0, 0, 0, 0, 0.000198951, 0.0604211, 1.13329, 0.0876512, 0.227984, 0, 0, 0, 0, 0, 0, 0, 0, 0.000312576, 0.00599076, 0, 0, 0.00825609, 3.22858e-05, 0.00028109, 9.02633e-06, 4.36578e-05, 1.2021e-05, 0, 0.0300173, 1.95, 1.15, 2.35, 0.75, 2.85, 0.45, 0.403115
3560, 2620, 0.0632979, 0.0588477, 0, 0, 0, 0, 0, 4.64326e-07, 6.8403e-05, 0.00332012, 0.000179192, 6.39527e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0.00010059, 0.000975872, 2.29323e-11, 6.88644e-07, 0.000593903, 7.5906e-06, 0.000121749, 2.47504e-06, 1.52802e-05, 3.93239e-06, 0, 0.0533935, 0.0646277, 0.0529255, 0.0704787, 0.0476064, 0.0757979, 0.0417553, 0.795402
4880, 4500, 0.522368, 0.533441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.533441, 0.561184, 0.505921, 0.5875, 0.479605, 0.6125, 0.454605, -0.417952
5283.71, 5260, 0.00657895, 0.00890288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00890288, 0.0125, 0.00460526, 0.0164474, 0.00197368, 0.0203947, 0.000657895, -0.641909
