xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1461, 1456, 94.6, 81.4271, 2.73868, 0.00320487, 0.00917267, 0.0410089, 0.0051433, 3.07046e-06, 0.00200884, 0.0164568, 0.00120988, 0.00217486, 0.000168626, 0.0120114, 5.33382, 3.05424, 55.9483, 0.000572563, 11.9064, 0.570832, 1.18724, 0.111094, 2.37983e-07, 0.26126, 0.066835, 0.0356823, 0.0907317, 0.00458583, 0.0120146, 0.00162684, 0, 0.0106309, 84.35, 78.55, 87.15, 75.65, 89.95, 72.95, 4.61633
1475, 1466, 4.22222, 4.20773, 2.47176, 0.000654412, 0.001826, 0.00842515, 0.000963312, 2.99209e-06, 0.00197458, 0.0162925, 0.00116718, 0.00214025, 0.000164455, 0.0120399, 0, 0, 0, 0, 0, 0, 1.1218, 0.105253, 2.1748e-07, 0.245804, 0.05788, 0.0344167, 0.0952024, 0.00482984, 0.0127539, 0.00172857, 0, 0.0106439, 4.69444, 3.69444, 5.19444, 3.19444, 5.69444, 2.75, 0.0299793
1493, 1484, 4.33333, 3.8692, 2.19597, 0.00232062, 0.00658229, 0.0292536, 0.00362811, 2.9943e-06, 0.00188298, 0.015744, 0.00117185, 0.00212654, 0.000153597, 0.0111882, 0, 0, 0, 0, 0, 0, 1.05594, 0.093316, 2.30414e-07, 0.234619, 0.0548222, 0.0335181, 0.0967194, 0.00502415, 0.0128625, 0.00168924, 0, 0.0106614, 4.36111, 3.36111, 4.80556, 2.91667, 5.25, 2.47222, 1.00107
1511, 1502, 3.77778, 3.5716, 1.92327, 0.000723729, 0.00197469, 0.00890778, 0.00112955, 5.79257e-06, 0.0042819, 0.0354444, 0.00232654, 0.00260797, 0.000150221, 0.010657, 0, 0, 0, 0, 0, 0, 0.981705, 0.0827837, 2.06462e-07, 0.223867, 0.0414989, 0.0305352, 0.172904, 0.00898797, 0.0237353, 0.00342653, 0, 0.0106778, 4.02778, 3.08333, 4.47222, 2.63889, 4.91667, 2.19444, 0.462853
1525, 1520, 110.7, 111.949, 1.72373, 0.000333364, 0.000836973, 0.00407875, 0.000499403, 2.81156e-06, 0.00176659, 0.014677, 0.00106686, 0.0020807, 0.000145507, 0.0101815, 0, 0, 0, 0, 0, 0, 78.9661, 12.3343, 2.81113e-05, 9.29863, 6.88165, 2.58012, 0.0973172, 0.00516983, 0.0134483, 0.00169729, 0, 0.0106896, 115.35, 108.55, 118.65, 105.25, 121.95, 101.95, -0.373167
1545, 1530, 2.4, 1.90284, 1.47416, 0.000607974, 0.00166055, 0.00765095, 0.000924873, 2.69113e-06, 0.00172393, 0.0141623, 0.00107701, 0.00206405, 0.00015794, 0.0110552, 0, 0, 0, 0, 0, 0, 0.0221408, 0.0231794, 6.61063e-09, 0.192644, 0.00235888, 0.000715669, 0.112824, 0.00591555, 0.0151981, 0.00190766, 0, 0.0107089, 2.18333, 1.65, 2.41667, 1.38333, 2.68333, 1.15, 1.97404
1575, 1560, 1.53333, 1.61939, 1.14605, 0.00471011, 0.0132981, 0.0596343, 0.00731086, 2.70414e-06, 0.00175515, 0.0139739, 0.00106584, 0.00202815, 0.000142607, 0.0101892, 0, 0, 0, 0, 0, 0, 0.0207863, 0.0231794, 4.5987e-09, 0.191371, 0.00235888, 0.000736116, 0.0913006, 0.00464149, 0.0124215, 0.00169418, 0, 0.0107346, 1.85, 1.38333, 2.08333, 1.15, 2.35, 0.95, -0.34985
1605, 1590, 1.23333, 1.28021, 0.873912, 0.000340947, 0.000938253, 0.00429186, 0.000547065, 5.52288e-06, 0.00394188, 0.0313645, 0.00225686, 0.00287989, 0.000117899, 0.00861205, 0, 0, 0, 0, 0, 0, 0.0219064, 0.0240641, 7.47289e-09, 0.195471, 0.00275203, 0.000791002, 0.0789795, 0.0040808, 0.01072, 0.0014739, 0, 0.0107596, 1.48333, 1.05, 1.71667, 0.883333, 1.91667, 0.683333, -0.201606
1635, 1620, 1.4, 1.09174, 0.643293, 0.00320044, 0.00905916, 0.0405901, 0.00506401, 8.4564e-06, 0.0063908, 0.0519449, 0.00353189, 0.00326083, 0.000104075, 0.00751301, 0, 0, 0, 0, 0, 0, 0.0212812, 0.0237608, 4.5987e-09, 0.187206, 0.00248993, 0.000756564, 0.0594772, 0.00307903, 0.0078584, 0.00108745, 0, 0.0107861, 1.28333, 0.883333, 1.48333, 0.716667, 1.68333, 0.55, 1.57162
1665, 1650, 0.933333, 0.834452, 0.469438, 0.000334145, 0.00095707, 0.00429957, 0.000528, 2.9686e-06, 0.00190696, 0.0154434, 0.00113725, 0.00202229, 9.44622e-05, 0.00691404, 0, 0, 0, 0, 0, 0, 0.0196402, 0.021924, 5.46096e-09, 0.179374, 0.00170364, 0.000789926, 0.0810943, 0.00405342, 0.0105396, 0.00144207, 0, 0.0108121, 0.983333, 0.65, 1.18333, 0.516667, 1.38333, 0.383333, 0.612601
