xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
921, 915, 35.4167, 33.8671, 26.8385, 0.00547722, 0.0544303, 0.00804624, 0.00180561, 0.0368455, 0.00247464, 0.0072416, 0.166527, 0.146296, 0.0310324, 1.10084, 0.257978, 0.146091, 0.0436566, 2.38285, 0.352792, 0.000839875, 0.0414632, 0.954774, 1.02461, 0.190701, 0.00392171, 0.0246395, 0.0102302, 0.0213283, 0.0116768, 35.625, 32.125, 37.2917, 30.4583, 38.875, 28.875, 0.922387
933, 927, 34.6667, 33.5686, 26.3521, 0.00369, 0.0352229, 0.00485961, 0.00176849, 0.0360728, 0.00244255, 0.00715877, 0.174174, 0.152475, 0.0314886, 1.0993, 0.250404, 0.145887, 0.0441919, 2.33915, 0.354591, 0.000857332, 0.039051, 0.959794, 1.01203, 0.408211, 0.00771353, 0.0545449, 0.0197608, 0.019815, 0.0117979, 35.2917, 31.875, 36.9583, 30.2083, 38.5417, 28.5417, 0.656547
945, 939, 31.4167, 33.0844, 25.8374, 0.00548565, 0.0524058, 0.00756764, 0.00185423, 0.0358686, 0.00245417, 0.00719891, 0.179801, 0.171655, 0.0338148, 1.26306, 0.290171, 0.167619, 0.0482823, 2.35132, 0.355333, 0.000876729, 0.0443969, 0.965606, 1.01092, 0.183174, 0.00376546, 0.0239931, 0.00964404, 0.0187936, 0.0119113, 34.7917, 31.375, 36.4583, 29.7083, 38.0417, 28.125, -1.00438
956.5, 951, 32.7273, 32.3945, 25.3304, 0.00567858, 0.0546974, 0.00796352, 0.00203853, 0.0410171, 0.00286413, 0.00771249, 0.182077, 0.155656, 0.03251, 1.2005, 0.264427, 0.159316, 0.0451892, 2.30017, 0.352508, 0.000880256, 0.0403964, 0.964621, 0.995037, 0.182167, 0.00375976, 0.0236871, 0.00940751, 0.0177693, 0.0120427, 34.1364, 30.5909, 35.8636, 28.9545, 37.5, 27.2273, 0.193903
967.5, 962, 31.9091, 33.0406, 24.8749, 0.110396, 1.03245, 0.152909, 0.00165416, 0.0329467, 0.00218435, 0.00659485, 0.161636, 0.160296, 0.028977, 1.08953, 0.261726, 0.14459, 0.0437012, 2.31119, 0.357218, 0.000845342, 0.0406098, 0.967215, 0.988969, 0.20037, 0.00407443, 0.0263347, 0.0102275, 0.016917, 0.012154, 34.7727, 31.2273, 36.5, 29.5, 38.2273, 27.8636, -0.652854
980, 973, 31.5714, 31.2249, 24.2815, 0.0031245, 0.0341918, 0.00494578, 0.00175819, 0.0338158, 0.00234956, 0.00693206, 0.147761, 0.160133, 0.031343, 1.14372, 0.262078, 0.151782, 0.0438237, 2.27743, 0.355108, 0.000894463, 0.0414632, 1.01629, 0.986039, 0.175419, 0.00359135, 0.0228117, 0.00892061, 0.0153588, 0.0122784, 32.75, 29.6786, 34.25, 28.1786, 35.6786, 26.75, 0.232054
994, 987, 29.5714, 30.4557, 23.55, 0.00247441, 0.0259858, 0.00362988, 0.00164307, 0.0300475, 0.00213517, 0.00649152, 0.146238, 0.158964, 0.0309521, 1.15892, 0.266385, 0.153798, 0.0439589, 2.26789, 0.358539, 0.000844586, 0.0405691, 0.99478, 0.979433, 0.171869, 0.0034512, 0.0221503, 0.00877566, 0.0133709, 0.0124188, 31.9643, 28.9643, 33.4643, 27.4643, 34.8929, 26.0357, -0.599564
1008, 1001, 31.1429, 30.4034, 22.953, 0.00193399, 0.0214486, 0.00293368, 0.00161871, 0.0305085, 0.00209189, 0.00642251, 0.143988, 0.163091, 0.0304568, 1.15826, 0.264825, 0.15371, 0.0444447, 2.43901, 0.420467, 0.00102664, 0.0471071, 1.19224, 1.09854, 0.168511, 0.00339061, 0.0217323, 0.00859513, 0.0114281, 0.0125682, 31.8929, 28.8929, 33.3929, 27.3929, 34.8214, 25.9643, 0.501809
1022, 1015, 29.8571, 29.5022, 22.3357, 0.00221802, 0.0235999, 0.0033665, 0.00161063, 0.0309559, 0.00209347, 0.00628535, 0.139686, 0.167012, 0.0321119, 1.16816, 0.27575, 0.155025, 0.0447159, 2.34905, 0.390708, 0.000910258, 0.0440896, 1.07562, 1.03163, 0.165727, 0.0033487, 0.0212955, 0.00853162, 0.0102989, 0.0127091, 30.9643, 28.0357, 32.4643, 26.5357, 33.8214, 25.1786, 0.244501
1036, 1029, 27.0714, 28.618, 21.6281, 0.00280223, 0.0297623, 0.00412071, 0.00157447, 0.0300147, 0.00202609, 0.0062503, 0.137157, 0.160202, 0.0314603, 1.22035, 0.274626, 0.16195, 0.044985, 2.23154, 0.369834, 0.000891969, 0.041072, 1.03848, 0.985519, 0.161175, 0.00332545, 0.020714, 0.00822811, 0.0089708, 0.0128549, 30.1071, 27.1786, 31.5357, 25.75, 32.8929, 24.3214, -1.08174
1050, 1043, 28.7857, 27.9888, 20.9709, 0.0017671, 0.0188517, 0.00259175, 0.00154596, 0.0293479, 0.00204698, 0.00618184, 0.135606, 0.176504, 0.0315385, 1.21969, 0.288173, 0.161863, 0.0457024, 2.23065, 0.375847, 0.000888644, 0.0438102, 1.03418, 0.98797, 0.167789, 0.00345807, 0.0220081, 0.00861233, 0.00828843, 0.0129891, 29.4643, 26.5357, 30.8214, 25.1071, 32.25, 23.75, 0.563636
1064, 1057, 28.2143, 27.304, 20.1906, 0.00261778, 0.0325839, 0.00425471, 0.00158692, 0.0285019, 0.00202619, 0.0061202, 0.132236, 0.175885, 0.03335, 1.28739, 0.287799, 0.170848, 0.0461592, 2.22967, 0.386718, 0.000921064, 0.0393956, 1.04415, 0.984321, 0.163178, 0.00334804, 0.0215476, 0.00821617, 0.00748483, 0.0131212, 28.75, 25.8929, 30.1071, 24.4643, 31.4643, 23.1071, 0.65184
1078, 1071, 26.9286, 26.7349, 19.5716, 0.00175173, 0.0182608, 0.00248085, 0.00283799, 0.0544715, 0.00399881, 0.00943407, 0.133677, 0.17733, 0.033337, 1.28937, 0.294791, 0.171111, 0.047334, 2.24987, 0.389898, 0.000901113, 0.0419103, 1.04165, 0.99126, 0.155961, 0.00317121, 0.019954, 0.00764903, 0.00752289, 0.0132857, 28.1786, 25.3214, 29.5357, 23.9643, 30.8929, 22.6071, 0.140175
1092, 1085, 26.3571, 26.2054, 18.9265, 0.00219296, 0.0230506, 0.00315753, 0.00223949, 0.0618475, 0.0037722, 0.00681914, 0.133816, 0.180906, 0.0330503, 1.32967, 0.306028, 0.176458, 0.04787, 2.22833, 0.395719, 0.000946834, 0.0406809, 1.108, 0.990354, 0.150481, 0.00309982, 0.0194124, 0.00740403, 0.0101692, 0.0134249, 27.6071, 24.8214, 28.9643, 23.4643, 30.3214, 22.1071, 0.110891
1105.5, 1099, 26.6154, 25.5958, 18.184, 0.00296187, 0.0322539, 0.00439069, 0.00154638, 0.0288455, 0.00201875, 0.00596317, 0.135866, 0.189192, 0.0343435, 1.38109, 0.310004, 0.183282, 0.0485003, 2.25829, 0.401749, 0.000916716, 0.0427871, 1.12178, 1.0009, 0.157583, 0.00320461, 0.0206665, 0.0077195, 0.0224236, 0.0135608, 27.0385, 24.1923, 28.4231, 22.7308, 29.8077, 21.4231, 0.72659
1121, 1112, 24, 26.1266, 17.4717, 0.00218162, 0.0262534, 0.00338829, 0.00148521, 0.0269837, 0.00186434, 0.0057932, 0.116166, 0.198378, 0.0344838, 1.41385, 0.326151, 0.187629, 0.0500985, 2.25525, 0.403035, 0.000931686, 0.0447664, 1.16507, 1.01233, 0.822792, 0.0151859, 0.111681, 0.0383522, 0.377124, 0.0137062, 27.3611, 24.9167, 28.5833, 23.6944, 29.75, 22.5278, -1.76517
1137, 1130, 22.7143, 24.23, 16.6632, 0.00155579, 0.016219, 0.00218871, 0.00144822, 0.0270077, 0.00187021, 0.00576962, 0.0978235, 0.20505, 0.0366472, 1.48027, 0.338678, 0.196444, 0.0513839, 2.2591, 0.419407, 0.00100918, 0.0460454, 1.15171, 1.03239, 0.1511, 0.00300486, 0.0199191, 0.00696489, 0, 0.0138878, 25.6071, 22.8929, 26.8929, 21.5357, 28.1786, 20.3214, -1.15217
1151, 1144, 23.1429, 23.8639, 15.9494, 0.00219464, 0.0223043, 0.00310311, 0.00146835, 0.0265643, 0.00187095, 0.00565837, 0.0918708, 0.212754, 0.0381199, 1.56977, 0.357907, 0.208322, 0.0533808, 2.2925, 0.430181, 0.000994217, 0.042972, 1.21896, 1.04357, 0.230568, 0.00440839, 0.0305238, 0.010435, 0, 0.0140268, 25.1786, 22.5357, 26.5357, 21.25, 27.75, 19.9643, -0.552246
1164, 1158, 23, 23.4776, 15.3247, 0.00167962, 0.0193973, 0.00254092, 0.00142726, 0.0265777, 0.00188286, 0.0056322, 0.158498, 0.222052, 0.0380721, 1.66726, 0.374149, 0.221259, 0.055337, 2.32354, 0.435025, 0.00101735, 0.045766, 1.30165, 1.06358, 0.144852, 0.00283403, 0.0184505, 0.00631318, 0, 0.0141446, 24.875, 22.0417, 26.2917, 20.625, 27.7083, 19.2917, -0.341463
1174.5, 1170, 23.4444, 25.3591, 14.6902, 0.00175265, 0.0180535, 0.0024335, 0.00141562, 0.0269274, 0.0018768, 0.00560664, 2.69703, 0.231655, 0.0387614, 1.65017, 0.377475, 0.218992, 0.0568814, 2.33618, 0.448143, 0.00110949, 0.0400724, 1.27444, 1.06566, 0.133951, 0.00274361, 0.0172902, 0.00606774, 0, 0.0142556, 27.0556, 23.6111, 28.7222, 21.9444, 30.3889, 20.2778, -1.14065
1186.5, 1179, 23.4667, 22.502, 14.1557, 0.00144182, 0.0147867, 0.00203705, 0.0014808, 0.0265624, 0.00188703, 0.00560787, 0.0675469, 0.238631, 0.0393979, 1.75796, 0.408279, 0.233296, 0.0591592, 2.3721, 0.46245, 0.00105906, 0.0474089, 1.33341, 1.09868, 0.132956, 0.00267983, 0.0172342, 0.00588008, 0, 0.0143789, 23.7667, 21.2333, 24.9667, 20.0333, 26.1667, 18.8333, 0.787613
1201.5, 1194, 21.3333, 22.1212, 13.4738, 0.00144604, 0.014717, 0.0020428, 0.00143071, 0.0268257, 0.00186713, 0.00551562, 0.0570446, 0.256672, 0.0417212, 1.87972, 0.422321, 0.249454, 0.0623224, 2.40881, 0.479828, 0.0010707, 0.048452, 1.38519, 1.1222, 0.137397, 0.00271895, 0.0178096, 0.006232, 0, 0.0145485, 23.3667, 20.9, 24.5667, 19.6333, 25.7667, 18.5, -0.648773
