energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 471, 468.193, 446.5, 490.5, 424.5, 511.5, 403.5, 532.5
44, 476, 446.806, 425.5, 468.5, 404.5, 489.5, 383.5, 510.5
48, 472, 451.436, 429.5, 473.5, 408.5, 494.5, 387.5, 514.5
52, 532, 488.594, 466.5, 511.5, 443.5, 533.5, 422.5, 554.5
56, 555, 529.509, 506.5, 552.5, 483.5, 575.5, 460.5, 598.5
60, 625, 606.958, 581.5, 632.5, 557.5, 656.5, 533.5, 680.5
64, 654, 679.571, 653.5, 706.5, 627.5, 732.5, 601.5, 757.5
68, 759, 762.837, 734.5, 790.5, 707.5, 818.5, 680.5, 845.5
72, 869, 869.226, 839.5, 899.5, 809.5, 928.5, 781.5, 957.5
76, 915, 933.593, 902.5, 964.5, 872.5, 995.5, 842.5, 1024.5
80, 1002, 1010.44, 978.5, 1042.5, 946.5, 1074.5, 915.5, 1105.5
84, 1030, 1047.91, 1015.5, 1080.5, 982.5, 1113.5, 951.5, 1144.5
88, 1120, 1101.76, 1068.5, 1135.5, 1035.5, 1168.5, 1002.5, 1200.5
92, 1038, 1105.46, 1071.5, 1139.5, 1038.5, 1172.5, 1006.5, 1204.5
96, 1106, 1075.28, 1042.5, 1108.5, 1009.5, 1141.5, 977.5, 1173.5
100, 1107, 1088.58, 1055.5, 1122.5, 1022.5, 1154.5, 990.5, 1186.5
104, 1073, 1045.44, 1012.5, 1078.5, 980.5, 1110.5, 948.5, 1141.5
108, 978, 1016.72, 984.5, 1049.5, 952.5, 1080.5, 921.5, 1111.5
112, 953, 964.307, 932.5, 995.5, 901.5, 1026.5, 871.5, 1056.5
116, 970, 923.243, 892.5, 954.5, 862.5, 984.5, 832.5, 1013.5
120, 850, 879.501, 849.5, 909.5, 819.5, 939.5, 790.5, 968.5
124, 822, 832.638, 803.5, 861.5, 774.5, 890.5, 746.5, 918.5
128, 860, 773.38, 745.5, 801.5, 717.5, 829.5, 690.5, 856.5
132, 779, 706.437, 679.5, 733.5, 652.5, 759.5, 627.5, 785.5
136, 705, 703.636, 676.5, 730.5, 650.5, 757.5, 624.5, 782.5
140, 642, 654.928, 628.5, 680.5, 603.5, 706.5, 578.5, 731.5
144, 566, 572.162, 547.5, 596.5, 523.5, 620.5, 500.5, 643.5
148, 554, 553.73, 529.5, 577.5, 506.5, 601.5, 483.5, 624.5
152, 550, 527.91, 504.5, 551.5, 481.5, 574.5, 459.5, 596.5
156, 474, 465.549, 443.5, 487.5, 421.5, 509.5, 401.5, 530.5
160, 447, 429.728, 408.5, 450.5, 387.5, 471.5, 367.5, 491.5
164, 455, 411.425, 390.5, 432.5, 370.5, 452.5, 350.5, 472.5
168, 371, 379.293, 359.5, 399.5, 339.5, 418.5, 320.5, 437.5
172, 366, 352.397, 333.5, 371.5, 314.5, 390.5, 296.5, 408.5
176, 322, 315.347, 297.5, 333.5, 279.5, 351.5, 262.5, 368.5
180, 304, 310.062, 291.5, 328.5, 274.5, 345.5, 257.5, 362.5
184, 277, 274.921, 257.5, 291.5, 241.5, 308.5, 225.5, 324.5
188, 277, 264.284, 247.5, 281.5, 231.5, 297.5, 215.5, 313.5
192, 237, 249.635, 233.5, 265.5, 217.5, 281.5, 202.5, 297.5
196, 232, 223.102, 207.5, 238.5, 192.5, 253.5, 178.5, 267.5
200, 224, 208.471, 193.5, 223.5, 179.5, 237.5, 165.5, 251.5
204, 214, 190.548, 176.5, 204.5, 162.5, 218.5, 149.5, 232.5
208, 195, 187.448, 173.5, 201.5, 159.5, 215.5, 146.5, 228.5
212, 170, 166.155, 152.5, 179.5, 139.5, 192.5, 127.5, 204.5
216, 166, 162.571, 149.5, 175.5, 136.5, 188.5, 124.5, 200.5
220, 151, 146.416, 133.5, 158.5, 121.5, 171.5, 110.5, 182.5
224, 125, 129.016, 117.5, 140.5, 105.5, 152.5, 94.5, 163.5
228, 121, 126.988, 115.5, 138.5, 104.5, 149.5, 93.5, 160.5
232, 126, 124.724, 113.5, 136.5, 101.5, 147.5, 91.5, 158.5
236, 121, 109.362, 98.5, 120.5, 87.5, 130.5, 77.5, 140.5
240, 128, 112.236, 101.5, 123.5, 90.5, 133.5, 80.5, 144.5
244, 95, 96.7971, 86.5, 107.5, 76.5, 116.5, 67.5, 126.5
248, 106, 97.1323, 86.5, 107.5, 76.5, 117.5, 67.5, 126.5
