energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 554, 520.739, 497.5, 544.5, 474.5, 566.5, 452.5, 588.5
44, 519, 500.55, 477.5, 523.5, 455.5, 545.5, 433.5, 567.5
48, 499, 520.529, 497.5, 543.5, 474.5, 566.5, 452.5, 588.5
52, 501, 553.051, 529.5, 577.5, 505.5, 600.5, 482.5, 623.5
56, 559, 599.117, 574.5, 624.5, 549.5, 648.5, 525.5, 672.5
60, 616, 672.246, 645.5, 698.5, 620.5, 724.5, 594.5, 749.5
64, 724, 745.981, 718.5, 773.5, 690.5, 800.5, 664.5, 827.5
68, 828, 849.391, 819.5, 878.5, 790.5, 908.5, 762.5, 936.5
72, 955, 922.632, 891.5, 953.5, 861.5, 983.5, 831.5, 1013.5
76, 998, 1035.83, 1003.5, 1068.5, 971.5, 1100.5, 939.5, 1131.5
80, 1098, 1111.39, 1077.5, 1145.5, 1044.5, 1178.5, 1011.5, 1210.5
84, 1129, 1154.75, 1120.5, 1189.5, 1086.5, 1223.5, 1053.5, 1256.5
88, 1168, 1176.73, 1141.5, 1211.5, 1107.5, 1245.5, 1074.5, 1279.5
92, 1209, 1189.84, 1154.5, 1224.5, 1120.5, 1259.5, 1086.5, 1292.5
96, 1187, 1171.48, 1136.5, 1206.5, 1102.5, 1240.5, 1069.5, 1273.5
100, 1147, 1184.56, 1149.5, 1219.5, 1115.5, 1253.5, 1081.5, 1287.5
104, 1192, 1127.93, 1093.5, 1161.5, 1060.5, 1195.5, 1027.5, 1228.5
108, 1094, 1124.82, 1090.5, 1158.5, 1057.5, 1192.5, 1024.5, 1224.5
112, 1031, 1069.12, 1035.5, 1102.5, 1003.5, 1134.5, 971.5, 1166.5
116, 1006, 1000.89, 968.5, 1032.5, 937.5, 1064.5, 906.5, 1095.5
120, 954, 971.118, 939.5, 1002.5, 908.5, 1033.5, 878.5, 1064.5
124, 927, 926.86, 895.5, 957.5, 865.5, 988.5, 836.5, 1017.5
128, 849, 857.01, 827.5, 886.5, 798.5, 915.5, 769.5, 944.5
132, 850, 794.457, 765.5, 823.5, 737.5, 851.5, 710.5, 878.5
136, 752, 766.623, 738.5, 794.5, 710.5, 822.5, 683.5, 849.5
140, 660, 725.53, 698.5, 752.5, 671.5, 779.5, 645.5, 805.5
144, 647, 655.252, 629.5, 681.5, 603.5, 706.5, 578.5, 731.5
148, 605, 619.097, 593.5, 644.5, 568.5, 669.5, 544.5, 693.5
152, 582, 564.768, 540.5, 588.5, 516.5, 612.5, 493.5, 635.5
156, 532, 519.071, 495.5, 542.5, 473.5, 565.5, 450.5, 587.5
160, 524, 479.01, 456.5, 501.5, 434.5, 523.5, 413.5, 544.5
164, 441, 459.833, 437.5, 481.5, 416.5, 503.5, 395.5, 523.5
168, 412, 430.426, 409.5, 451.5, 388.5, 472.5, 368.5, 492.5
172, 393, 390.775, 370.5, 411.5, 350.5, 430.5, 331.5, 449.5
176, 378, 378.273, 358.5, 398.5, 338.5, 417.5, 320.5, 436.5
180, 314, 342.273, 323.5, 361.5, 304.5, 379.5, 286.5, 397.5
184, 363, 305.721, 287.5, 323.5, 270.5, 341.5, 253.5, 358.5
188, 288, 299.857, 282.5, 317.5, 264.5, 334.5, 247.5, 351.5
192, 265, 269.779, 252.5, 286.5, 236.5, 303.5, 220.5, 319.5
196, 241, 258.877, 242.5, 275.5, 226.5, 291.5, 210.5, 307.5
200, 255, 237.47, 221.5, 253.5, 206.5, 268.5, 191.5, 283.5
204, 209, 207.414, 192.5, 222.5, 178.5, 236.5, 164.5, 250.5
208, 209, 200.283, 185.5, 214.5, 171.5, 229.5, 157.5, 242.5
212, 170, 186.957, 172.5, 201.5, 159.5, 214.5, 145.5, 228.5
216, 199, 179.741, 165.5, 193.5, 152.5, 206.5, 139.5, 220.5
220, 161, 173.452, 159.5, 187.5, 146.5, 200.5, 133.5, 213.5
224, 162, 163.115, 149.5, 176.5, 137.5, 189.5, 124.5, 201.5
228, 159, 153.64, 140.5, 166.5, 128.5, 178.5, 116.5, 190.5
232, 125, 142.992, 130.5, 155.5, 118.5, 167.5, 107.5, 178.5
236, 124, 125.191, 113.5, 136.5, 102.5, 148.5, 91.5, 158.5
240, 129, 126.371, 114.5, 138.5, 103.5, 149.5, 92.5, 160.5
244, 110, 102.851, 92.5, 113.5, 82.5, 123.5, 72.5, 133.5
248, 89, 102.477, 91.5, 113.5, 81.5, 123.5, 71.5, 133.5
