energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 552, 492.202, 469.5, 514.5, 447.5, 536.5, 425.5, 558.5
44, 488, 485.59, 463.5, 508.5, 441.5, 530.5, 419.5, 551.5
48, 489, 537.743, 514.5, 561.5, 490.5, 584.5, 468.5, 607.5
52, 577, 575.908, 551.5, 600.5, 527.5, 624.5, 504.5, 647.5
56, 687, 675.243, 648.5, 701.5, 622.5, 727.5, 597.5, 752.5
60, 816, 792.712, 764.5, 821.5, 736.5, 849.5, 708.5, 876.5
64, 933, 917.73, 886.5, 948.5, 856.5, 978.5, 827.5, 1008.5
68, 1077, 1056.47, 1023.5, 1089.5, 991.5, 1121.5, 959.5, 1153.5
72, 1290, 1186.71, 1151.5, 1221.5, 1117.5, 1255.5, 1083.5, 1289.5
76, 1332, 1268.9, 1232.5, 1304.5, 1197.5, 1340.5, 1162.5, 1375.5
80, 1429, 1386.17, 1348.5, 1423.5, 1311.5, 1460.5, 1275.5, 1497.5
84, 1466, 1444.41, 1405.5, 1482.5, 1368.5, 1520.5, 1331.5, 1557.5
88, 1541, 1487.32, 1448.5, 1526.5, 1409.5, 1564.5, 1372.5, 1602.5
92, 1526, 1500.74, 1461.5, 1539.5, 1422.5, 1578.5, 1385.5, 1616.5
96, 1497, 1471.33, 1432.5, 1510.5, 1394.5, 1548.5, 1356.5, 1585.5
100, 1413, 1421.61, 1383.5, 1459.5, 1345.5, 1497.5, 1309.5, 1534.5
104, 1459, 1416.58, 1378.5, 1454.5, 1340.5, 1492.5, 1304.5, 1528.5
108, 1435, 1334.46, 1297.5, 1371.5, 1261.5, 1407.5, 1225.5, 1443.5
112, 1348, 1286.78, 1250.5, 1323.5, 1214.5, 1358.5, 1179.5, 1393.5
116, 1204, 1252.45, 1216.5, 1288.5, 1181.5, 1323.5, 1146.5, 1357.5
120, 1208, 1151.85, 1117.5, 1186.5, 1083.5, 1220.5, 1050.5, 1253.5
124, 1141, 1110.69, 1076.5, 1144.5, 1043.5, 1177.5, 1011.5, 1210.5
128, 1044, 1035.7, 1003.5, 1068.5, 970.5, 1100.5, 939.5, 1131.5
132, 1016, 1001.71, 969.5, 1033.5, 938.5, 1065.5, 907.5, 1096.5
136, 915, 917.033, 886.5, 947.5, 856.5, 977.5, 826.5, 1007.5
140, 880, 837.308, 807.5, 866.5, 779.5, 895.5, 750.5, 923.5
144, 800, 794.6, 765.5, 823.5, 737.5, 851.5, 710.5, 878.5
148, 727, 745.353, 717.5, 773.5, 690.5, 800.5, 663.5, 826.5
152, 702, 693.253, 666.5, 720.5, 640.5, 746.5, 614.5, 771.5
156, 652, 643.188, 617.5, 669.5, 592.5, 694.5, 567.5, 718.5
160, 607, 596.621, 571.5, 621.5, 547.5, 645.5, 523.5, 669.5
164, 575, 557.572, 533.5, 581.5, 509.5, 605.5, 486.5, 628.5
168, 543, 531.345, 507.5, 554.5, 484.5, 577.5, 462.5, 600.5
172, 510, 471.527, 449.5, 493.5, 427.5, 515.5, 406.5, 536.5
176, 437, 421.7, 400.5, 442.5, 380.5, 463.5, 360.5, 483.5
180, 416, 418.046, 397.5, 438.5, 376.5, 459.5, 356.5, 479.5
184, 374, 394.688, 374.5, 415.5, 354.5, 434.5, 335.5, 454.5
188, 336, 363.826, 344.5, 383.5, 325.5, 402.5, 306.5, 420.5
192, 330, 332.059, 313.5, 350.5, 295.5, 368.5, 277.5, 386.5
196, 328, 301.475, 283.5, 319.5, 266.5, 336.5, 249.5, 353.5
200, 283, 278.387, 261.5, 295.5, 244.5, 312.5, 228.5, 328.5
204, 255, 283.09, 265.5, 300.5, 249.5, 317.5, 232.5, 333.5
208, 272, 242.062, 226.5, 258.5, 210.5, 273.5, 195.5, 288.5
212, 207, 239.417, 223.5, 255.5, 208.5, 270.5, 192.5, 285.5
216, 217, 214.027, 198.5, 229.5, 184.5, 243.5, 170.5, 257.5
220, 204, 203.076, 188.5, 217.5, 174.5, 232.5, 160.5, 245.5
224, 210, 197.419, 182.5, 211.5, 168.5, 225.5, 155.5, 239.5
228, 173, 183.384, 169.5, 197.5, 155.5, 210.5, 142.5, 224.5
232, 163, 161.844, 148.5, 175.5, 135.5, 187.5, 123.5, 200.5
236, 189, 166.203, 152.5, 179.5, 139.5, 192.5, 127.5, 204.5
240, 141, 143.618, 131.5, 156.5, 119.5, 168.5, 107.5, 179.5
244, 157, 141.153, 128.5, 153.5, 116.5, 165.5, 105.5, 176.5
248, 118, 123.741, 112.5, 135.5, 101.5, 146.5, 90.5, 157.5
