energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 478, 479.911, 457.5, 502.5, 435.5, 524.5, 414.5, 545.5
44, 523, 494.122, 471.5, 516.5, 449.5, 538.5, 427.5, 560.5
48, 536, 519.613, 496.5, 542.5, 473.5, 565.5, 451.5, 587.5
52, 569, 552.205, 528.5, 576.5, 504.5, 599.5, 481.5, 622.5
56, 653, 610.066, 584.5, 635.5, 560.5, 659.5, 536.5, 683.5
60, 730, 687.68, 660.5, 714.5, 634.5, 740.5, 609.5, 766.5
64, 829, 782.472, 754.5, 810.5, 726.5, 838.5, 698.5, 865.5
68, 1009, 890.102, 859.5, 920.5, 830.5, 950.5, 801.5, 979.5
72, 999, 957.546, 926.5, 988.5, 895.5, 1019.5, 865.5, 1049.5
76, 1098, 1029.77, 997.5, 1062.5, 965.5, 1094.5, 934.5, 1125.5
80, 1131, 1095.54, 1061.5, 1129.5, 1028.5, 1162.5, 996.5, 1194.5
84, 1193, 1174.15, 1139.5, 1208.5, 1105.5, 1243.5, 1071.5, 1276.5
88, 1173, 1189.2, 1154.5, 1224.5, 1119.5, 1258.5, 1086.5, 1292.5
92, 1184, 1194.4, 1159.5, 1229.5, 1124.5, 1263.5, 1091.5, 1297.5
96, 1167, 1169.11, 1134.5, 1203.5, 1100.5, 1237.5, 1067.5, 1271.5
100, 1084, 1109.86, 1076.5, 1143.5, 1042.5, 1176.5, 1010.5, 1209.5
104, 1129, 1115.83, 1081.5, 1149.5, 1048.5, 1182.5, 1016.5, 1215.5
108, 1055, 1057.27, 1024.5, 1090.5, 991.5, 1122.5, 960.5, 1154.5
112, 1033, 1003.48, 971.5, 1035.5, 939.5, 1067.5, 908.5, 1097.5
116, 945, 976.727, 945.5, 1008.5, 913.5, 1039.5, 883.5, 1069.5
120, 866, 929.781, 898.5, 960.5, 868.5, 991.5, 838.5, 1020.5
124, 845, 858.408, 828.5, 888.5, 799.5, 917.5, 770.5, 945.5
128, 771, 809.624, 780.5, 838.5, 752.5, 866.5, 724.5, 894.5
132, 738, 758.019, 730.5, 786.5, 702.5, 813.5, 675.5, 840.5
136, 724, 707.035, 679.5, 734.5, 653.5, 760.5, 627.5, 786.5
140, 630, 656.531, 630.5, 682.5, 604.5, 708.5, 579.5, 733.5
144, 566, 625.097, 599.5, 650.5, 574.5, 675.5, 550.5, 699.5
148, 569, 563.054, 538.5, 587.5, 515.5, 610.5, 492.5, 633.5
152, 498, 516.292, 493.5, 539.5, 470.5, 562.5, 448.5, 584.5
156, 403, 487.161, 464.5, 509.5, 442.5, 531.5, 421.5, 553.5
160, 475, 435.168, 413.5, 456.5, 393.5, 477.5, 372.5, 497.5
164, 386, 420.592, 399.5, 441.5, 379.5, 462.5, 359.5, 481.5
168, 366, 382.824, 362.5, 402.5, 343.5, 422.5, 324.5, 441.5
172, 341, 361.126, 341.5, 380.5, 322.5, 399.5, 304.5, 418.5
176, 295, 334.013, 315.5, 352.5, 297.5, 370.5, 279.5, 388.5
180, 284, 309.216, 291.5, 327.5, 273.5, 344.5, 256.5, 361.5
184, 252, 273.335, 256.5, 290.5, 239.5, 306.5, 223.5, 322.5
188, 273, 265.877, 249.5, 282.5, 232.5, 298.5, 216.5, 314.5
192, 221, 247.012, 230.5, 263.5, 215.5, 278.5, 199.5, 294.5
196, 203, 223.417, 207.5, 238.5, 193.5, 253.5, 178.5, 268.5
200, 199, 208.792, 193.5, 223.5, 179.5, 238.5, 165.5, 252.5
204, 200, 184.941, 170.5, 199.5, 157.5, 212.5, 144.5, 225.5
208, 176, 184.513, 170.5, 198.5, 156.5, 212.5, 143.5, 225.5
212, 146, 174.148, 160.5, 187.5, 147.5, 200.5, 134.5, 213.5
216, 141, 169.296, 155.5, 182.5, 142.5, 195.5, 130.5, 208.5
220, 155, 138.082, 125.5, 150.5, 114.5, 162.5, 102.5, 173.5
224, 119, 138.223, 125.5, 150.5, 114.5, 162.5, 102.5, 173.5
228, 140, 141.173, 128.5, 153.5, 116.5, 165.5, 105.5, 176.5
232, 115, 123.158, 111.5, 134.5, 100.5, 145.5, 89.5, 156.5
236, 107, 115.721, 104.5, 126.5, 93.5, 137.5, 83.5, 148.5
240, 109, 111.28, 100.5, 122.5, 89.5, 132.5, 79.5, 143.5
244, 86, 98.2598, 87.5, 108.5, 77.5, 118.5, 68.5, 128.5
248, 84, 102.171, 91.5, 112.5, 81.5, 122.5, 71.5, 132.5
