energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 506, 538.745, 515.5, 562.5, 491.5, 585.5, 469.5, 608.5
44, 483, 527.708, 504.5, 551.5, 481.5, 574.5, 459.5, 596.5
48, 496, 547.637, 523.5, 571.5, 500.5, 594.5, 477.5, 617.5
52, 576, 571.4, 547.5, 595.5, 523.5, 619.5, 499.5, 642.5
56, 625, 632.843, 607.5, 658.5, 582.5, 683.5, 557.5, 708.5
60, 699, 716.391, 689.5, 743.5, 662.5, 770.5, 636.5, 796.5
64, 755, 805.518, 776.5, 834.5, 748.5, 862.5, 720.5, 890.5
68, 922, 926.377, 895.5, 957.5, 865.5, 987.5, 835.5, 1017.5
72, 1088, 1017.41, 985.5, 1049.5, 953.5, 1081.5, 922.5, 1112.5
76, 1097, 1098.17, 1064.5, 1131.5, 1031.5, 1164.5, 999.5, 1197.5
80, 1121, 1176.26, 1141.5, 1211.5, 1107.5, 1245.5, 1073.5, 1278.5
84, 1236, 1230.03, 1194.5, 1265.5, 1159.5, 1300.5, 1125.5, 1334.5
88, 1258, 1249.17, 1213.5, 1284.5, 1178.5, 1320.5, 1143.5, 1354.5
92, 1265, 1267.41, 1231.5, 1303.5, 1195.5, 1338.5, 1161.5, 1373.5
96, 1274, 1272.43, 1236.5, 1308.5, 1200.5, 1344.5, 1166.5, 1378.5
100, 1254, 1255.96, 1220.5, 1291.5, 1184.5, 1327.5, 1150.5, 1361.5
104, 1274, 1213.01, 1177.5, 1248.5, 1143.5, 1283.5, 1109.5, 1316.5
108, 1206, 1180.51, 1145.5, 1215.5, 1111.5, 1249.5, 1078.5, 1282.5
112, 1212, 1118.23, 1084.5, 1152.5, 1051.5, 1185.5, 1018.5, 1217.5
116, 1056, 1078.23, 1044.5, 1111.5, 1012.5, 1144.5, 980.5, 1176.5
120, 1082, 1016.63, 984.5, 1048.5, 952.5, 1080.5, 921.5, 1111.5
124, 951, 967.022, 935.5, 998.5, 904.5, 1029.5, 874.5, 1059.5
128, 898, 909.384, 878.5, 939.5, 848.5, 970.5, 819.5, 999.5
132, 844, 859.972, 830.5, 889.5, 800.5, 918.5, 772.5, 947.5
136, 787, 805.123, 776.5, 833.5, 748.5, 862.5, 720.5, 889.5
140, 786, 753.24, 725.5, 781.5, 697.5, 808.5, 671.5, 835.5
144, 678, 692.61, 665.5, 719.5, 639.5, 745.5, 614.5, 771.5
148, 620, 638.326, 612.5, 664.5, 587.5, 689.5, 562.5, 713.5
152, 573, 600.504, 575.5, 625.5, 551.5, 649.5, 527.5, 673.5
156, 584, 562.591, 538.5, 586.5, 514.5, 610.5, 491.5, 633.5
160, 511, 530.428, 506.5, 553.5, 483.5, 576.5, 461.5, 599.5
164, 480, 502.731, 479.5, 525.5, 457.5, 547.5, 435.5, 569.5
168, 459, 440.818, 419.5, 462.5, 398.5, 483.5, 378.5, 503.5
172, 441, 423.557, 402.5, 444.5, 381.5, 465.5, 361.5, 485.5
176, 359, 386.443, 366.5, 406.5, 346.5, 426.5, 327.5, 445.5
180, 378, 365.635, 346.5, 385.5, 326.5, 404.5, 308.5, 422.5
184, 357, 336.707, 317.5, 355.5, 299.5, 373.5, 281.5, 391.5
188, 326, 320.034, 301.5, 338.5, 283.5, 356.5, 266.5, 373.5
192, 340, 285.383, 268.5, 302.5, 251.5, 319.5, 234.5, 336.5
196, 281, 254.09, 237.5, 270.5, 221.5, 286.5, 206.5, 301.5
200, 275, 253.999, 237.5, 270.5, 221.5, 286.5, 206.5, 301.5
204, 243, 229.622, 213.5, 245.5, 198.5, 260.5, 184.5, 275.5
208, 200, 223.642, 208.5, 239.5, 193.5, 253.5, 178.5, 268.5
212, 218, 201.436, 186.5, 216.5, 172.5, 230.5, 158.5, 244.5
216, 194, 190.821, 176.5, 205.5, 162.5, 218.5, 149.5, 232.5
220, 191, 180.613, 166.5, 194.5, 153.5, 207.5, 140.5, 220.5
224, 171, 172.611, 158.5, 186.5, 145.5, 199.5, 133.5, 212.5
228, 167, 155.506, 142.5, 168.5, 130.5, 180.5, 117.5, 193.5
232, 156, 151.668, 138.5, 164.5, 126.5, 176.5, 114.5, 188.5
236, 125, 149.39, 136.5, 162.5, 124.5, 174.5, 112.5, 186.5
240, 133, 134.882, 122.5, 146.5, 111.5, 158.5, 99.5, 169.5
244, 102, 124.922, 113.5, 136.5, 102.5, 147.5, 91.5, 158.5
248, 115, 109.537, 98.5, 120.5, 88.5, 130.5, 77.5, 141.5
