energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 488, 424.407, 403.5, 445.5, 382.5, 466.5, 362.5, 486.5
44, 416, 421.718, 400.5, 442.5, 380.5, 463.5, 360.5, 483.5
48, 459, 430.352, 409.5, 451.5, 388.5, 472.5, 368.5, 492.5
52, 412, 444.135, 422.5, 465.5, 401.5, 486.5, 381.5, 507.5
56, 477, 480.887, 458.5, 503.5, 436.5, 525.5, 415.5, 546.5
60, 549, 527.669, 504.5, 551.5, 481.5, 574.5, 458.5, 596.5
64, 554, 592.045, 567.5, 616.5, 542.5, 641.5, 519.5, 664.5
68, 676, 659.916, 633.5, 686.5, 608.5, 711.5, 583.5, 736.5
72, 750, 728.16, 700.5, 755.5, 673.5, 782.5, 647.5, 808.5
76, 785, 788.191, 759.5, 816.5, 731.5, 844.5, 704.5, 872.5
80, 842, 856.365, 826.5, 886.5, 797.5, 915.5, 769.5, 943.5
84, 904, 878.831, 848.5, 908.5, 819.5, 938.5, 790.5, 967.5
88, 892, 907.225, 876.5, 937.5, 846.5, 967.5, 817.5, 997.5
92, 913, 935.547, 904.5, 966.5, 874.5, 997.5, 844.5, 1026.5
96, 929, 914.404, 883.5, 945.5, 853.5, 975.5, 824.5, 1004.5
100, 886, 885.674, 855.5, 915.5, 825.5, 945.5, 796.5, 974.5
104, 873, 903.044, 872.5, 933.5, 842.5, 963.5, 813.5, 992.5
108, 882, 877.544, 847.5, 907.5, 817.5, 937.5, 789.5, 965.5
112, 857, 845.716, 816.5, 875.5, 787.5, 904.5, 758.5, 932.5
116, 827, 793.513, 764.5, 822.5, 736.5, 850.5, 709.5, 877.5
120, 773, 749.468, 721.5, 777.5, 694.5, 804.5, 667.5, 831.5
124, 710, 695.083, 668.5, 721.5, 641.5, 748.5, 616.5, 773.5
128, 653, 656.092, 630.5, 682.5, 604.5, 707.5, 579.5, 732.5
132, 633, 630.139, 604.5, 655.5, 579.5, 680.5, 555.5, 705.5
136, 579, 585.29, 560.5, 609.5, 536.5, 634.5, 512.5, 657.5
140, 536, 533.124, 509.5, 556.5, 486.5, 579.5, 464.5, 602.5
144, 493, 516.679, 493.5, 539.5, 470.5, 562.5, 448.5, 584.5
148, 450, 469.138, 447.5, 491.5, 425.5, 512.5, 404.5, 533.5
152, 435, 427.207, 406.5, 448.5, 385.5, 468.5, 365.5, 489.5
156, 399, 407.055, 386.5, 427.5, 366.5, 447.5, 346.5, 467.5
160, 404, 379.217, 359.5, 399.5, 339.5, 418.5, 320.5, 437.5
164, 327, 348.632, 329.5, 367.5, 310.5, 386.5, 292.5, 404.5
168, 327, 322.982, 304.5, 341.5, 286.5, 359.5, 269.5, 376.5
172, 272, 296.807, 279.5, 314.5, 261.5, 331.5, 245.5, 348.5
176, 280, 276.12, 259.5, 293.5, 242.5, 309.5, 226.5, 325.5
180, 245, 269.382, 252.5, 286.5, 236.5, 302.5, 220.5, 318.5
184, 217, 235.207, 219.5, 251.5, 204.5, 266.5, 189.5, 281.5
188, 221, 215.871, 200.5, 231.5, 186.5, 245.5, 171.5, 259.5
192, 203, 207.382, 192.5, 222.5, 178.5, 236.5, 164.5, 250.5
196, 180, 198.879, 184.5, 213.5, 170.5, 227.5, 156.5, 241.5
200, 183, 179.124, 165.5, 192.5, 151.5, 206.5, 138.5, 219.5
204, 185, 171.861, 158.5, 185.5, 145.5, 198.5, 132.5, 211.5
208, 144, 155.834, 142.5, 168.5, 130.5, 181.5, 118.5, 193.5
212, 140, 152.787, 139.5, 165.5, 127.5, 177.5, 115.5, 189.5
216, 109, 143.695, 131.5, 156.5, 119.5, 168.5, 107.5, 179.5
220, 143, 131.935, 119.5, 143.5, 108.5, 155.5, 97.5, 166.5
224, 116, 117.437, 106.5, 128.5, 95.5, 139.5, 84.5, 150.5
228, 123, 114.773, 103.5, 125.5, 92.5, 136.5, 82.5, 147.5
232, 102, 115.13, 103.5, 126.5, 93.5, 137.5, 82.5, 147.5
236, 102, 99.7634, 89.5, 110.5, 79.5, 120.5, 69.5, 129.5
240, 98, 90.8955, 80.5, 100.5, 71.5, 110.5, 62.5, 119.5
244, 73, 86.9843, 77.5, 96.5, 67.5, 106.5, 58.5, 115.5
248, 60, 91.0969, 81.5, 101.5, 71.5, 110.5, 62.5, 119.5
