energy, data, model, 1sig_l, 1sig_u, 2sig_l, 2sig_u, 3sig_l, 3sig_u
40, 642, 590.257, 565.5, 615.5, 541.5, 639.5, 517.5, 662.5
44, 583, 599.699, 574.5, 624.5, 550.5, 649.5, 526.5, 672.5
48, 555, 612.871, 587.5, 638.5, 562.5, 662.5, 538.5, 686.5
52, 630, 690.57, 663.5, 717.5, 637.5, 743.5, 612.5, 769.5
56, 702, 761.159, 733.5, 789.5, 705.5, 816.5, 678.5, 843.5
60, 834, 881.007, 850.5, 911.5, 821.5, 940.5, 792.5, 969.5
64, 1001, 1008.97, 976.5, 1041.5, 945.5, 1072.5, 914.5, 1103.5
68, 1173, 1142.04, 1107.5, 1176.5, 1074.5, 1209.5, 1041.5, 1242.5
72, 1206, 1227.81, 1192.5, 1263.5, 1157.5, 1298.5, 1123.5, 1332.5
76, 1351, 1369.29, 1331.5, 1406.5, 1294.5, 1443.5, 1258.5, 1479.5
80, 1439, 1423.2, 1385.5, 1461.5, 1347.5, 1498.5, 1310.5, 1535.5
84, 1468, 1490.2, 1451.5, 1529.5, 1412.5, 1567.5, 1375.5, 1605.5
88, 1469, 1552.78, 1512.5, 1592.5, 1473.5, 1631.5, 1435.5, 1670.5
92, 1480, 1508.13, 1468.5, 1547.5, 1430.5, 1586.5, 1392.5, 1623.5
96, 1574, 1531.12, 1491.5, 1570.5, 1452.5, 1609.5, 1414.5, 1647.5
100, 1534, 1476.84, 1437.5, 1515.5, 1399.5, 1554.5, 1362.5, 1591.5
104, 1430, 1445.1, 1406.5, 1483.5, 1368.5, 1521.5, 1331.5, 1558.5
108, 1341, 1393.54, 1355.5, 1431.5, 1318.5, 1468.5, 1282.5, 1504.5
112, 1299, 1337.79, 1300.5, 1374.5, 1264.5, 1411.5, 1228.5, 1446.5
116, 1237, 1248.58, 1212.5, 1284.5, 1177.5, 1319.5, 1143.5, 1353.5
120, 1146, 1215.23, 1179.5, 1250.5, 1145.5, 1285.5, 1111.5, 1319.5
124, 1103, 1118.13, 1084.5, 1152.5, 1050.5, 1185.5, 1018.5, 1217.5
128, 1037, 1063.77, 1030.5, 1096.5, 998.5, 1129.5, 966.5, 1161.5
132, 993, 998.486, 966.5, 1030.5, 934.5, 1062.5, 904.5, 1092.5
136, 922, 936.953, 905.5, 968.5, 875.5, 998.5, 845.5, 1028.5
140, 859, 868.308, 838.5, 898.5, 809.5, 927.5, 780.5, 956.5
144, 817, 814.47, 785.5, 843.5, 757.5, 871.5, 729.5, 899.5
148, 735, 756.175, 728.5, 784.5, 700.5, 811.5, 674.5, 838.5
152, 665, 688.684, 661.5, 715.5, 635.5, 741.5, 610.5, 767.5
156, 606, 627.629, 602.5, 653.5, 577.5, 678.5, 552.5, 702.5
160, 582, 604.995, 579.5, 630.5, 555.5, 654.5, 531.5, 678.5
164, 540, 552.737, 528.5, 576.5, 505.5, 600.5, 482.5, 623.5
168, 501, 511.52, 488.5, 534.5, 465.5, 557.5, 443.5, 579.5
172, 437, 474.228, 451.5, 496.5, 430.5, 518.5, 409.5, 539.5
176, 475, 455.909, 434.5, 477.5, 412.5, 499.5, 392.5, 519.5
180, 402, 414.085, 393.5, 434.5, 372.5, 455.5, 353.5, 474.5
184, 390, 361.766, 342.5, 381.5, 323.5, 400.5, 304.5, 418.5
188, 367, 353.588, 334.5, 372.5, 315.5, 391.5, 297.5, 409.5
192, 341, 323.753, 305.5, 342.5, 287.5, 360.5, 269.5, 377.5
196, 313, 308.639, 290.5, 326.5, 273.5, 344.5, 256.5, 361.5
200, 279, 290.71, 273.5, 308.5, 256.5, 325.5, 239.5, 341.5
204, 255, 273.218, 256.5, 290.5, 239.5, 306.5, 223.5, 322.5
208, 249, 250.269, 233.5, 266.5, 218.5, 282.5, 202.5, 297.5
212, 248, 229.049, 213.5, 244.5, 198.5, 259.5, 183.5, 274.5
216, 195, 228.117, 212.5, 243.5, 197.5, 258.5, 182.5, 273.5
220, 202, 203.137, 188.5, 217.5, 174.5, 232.5, 160.5, 245.5
224, 197, 183.699, 169.5, 197.5, 156.5, 211.5, 142.5, 224.5
228, 172, 187.959, 173.5, 202.5, 160.5, 215.5, 146.5, 229.5
232, 155, 162.39, 149.5, 175.5, 136.5, 188.5, 124.5, 200.5
236, 176, 158.968, 145.5, 172.5, 133.5, 184.5, 121.5, 196.5
240, 133, 154.528, 141.5, 167.5, 129.5, 179.5, 117.5, 191.5
244, 134, 133.952, 121.5, 146.5, 110.5, 157.5, 99.5, 168.5
248, 100, 132.739, 120.5, 144.5, 109.5, 156.5, 98.5, 167.5
