energy,fwhm,fwhmerr,linetype
583.187,2.793295752957853,0.0020938891410291075,ok
727.33,2.8401754119878544,0.004753039015657924,ok
763.45,2.9176343577812673,0.0185283491670272,ok
785.37,2.908716225819856,0.010905164094617304,ok
860.53,2.9348927078402065,0.0062681937028440495,ok
893.41,2.9569802410838237,0.02505245168091593,ok
1078.63,3.110434825476162,0.017730290472835943,ok
1512.7,3.3556946159253798,0.026863383420425123,ok
1592.513,3.7307937919383325,0.014723711373566295,doppler
1620.738,3.3862600453732723,0.0088680318233156,ok
2103.512,4.55434149028712,0.008194964253675005,doppler
2614.511,3.8812755823590135,0.0027207659133770376,ok
3125.511,3.803134575300928,0.09337225283270864,sum
3197.698,4.258807341420211,0.0466743023066697,sum
