energy,fwhm,fwhmerr,linetype
583.187,1.8510320631426298,0.0013818351893923845,ok
727.33,1.9327526038085068,0.0029663900436753873,ok
763.45,1.9617754347708576,0.013797184300917698,ok
785.37,1.9742290988576119,0.008212360669371945,ok
860.53,2.002511109246321,0.003422736064338386,ok
893.41,1.97182206366942,0.018504713064443266,ok
1078.63,2.1014651922518564,0.014237133476139995,ok
1512.7,2.4148141567154284,0.025387497567267832,ok
1592.513,2.5915939971453725,0.006802439263764787,doppler
1620.738,2.412951391034818,0.008124187341183343,ok
2103.512,3.5863377389844446,0.008297374872809264,doppler
2614.511,2.88732355513112,0.002061983929373931,ok
