energy, cts
2231.4, 5317.91
2253.9, 5564.29
2269.5, 5803.22
2278.2, 6020.69
2297.1, 6221.03
2309.7, 6397.2
2319, 6608.69
2328.9, 6940.41
2343.6, 7225.67
2358.6, 7558.74
2378.4, 7116.3
2381.1, 6580.33
2384.1, 6105.71
2388.3, 5678.48
2398.2, 5340.34
2409.9, 5114.42
2421.9, 4858.39
2431.2, 4625.89
2440.2, 4349.82
2451.6, 4112.5
2458.8, 3857.6
2468.4, 3518.92
2478.6, 3337.5
2481, 3091.85
2489.1, 2878.46
2493, 2704.5
2499, 2459.86
2506.2, 2250.91
2512.8, 1990.8
2521.5, 1759.63
2535, 1624.31
2547.3, 1495.42
2567.4, 1362.22
2591.7, 1437.64
2598.9, 1627.95
2602.8, 1863.33
2605.8, 2167.5
2607, 2729.17
2608.2, 3213.33
2608.8, 4153.33
2609.4, 5753.33
2609.7, 7140
2610, 10083.3
2610.3, 13570
2610.6, 19500
2610.9, 27220
2611.2, 40900
2611.5, 59730
2611.8, 86096.7
2612.1, 119087
2612.4, 161283
2612.7, 211610
2613, 267643
2613.3, 323713
2613.6, 373290
2613.9, 413323
2614.2, 437572
2614.8, 418310
2615.1, 379197
2615.4, 327913
2615.7, 268977
2616, 210153
2616.3, 156127
2616.6, 110033
2616.9, 73950
2617.2, 46093.3
2617.5, 28203.3
2617.8, 16130
2618.1, 8876.67
2618.4, 4693.33
2618.7, 2346.67
2619, 1263.33
2619.3, 630
2619.6, 186.667
2620.5, 73.8462
2632.2, 54.096
2703, 66.8261
2772, 55.6397
2831.4, 41.934
2895, 30.9343
2974.2, 23.1727
3024, 16.4023
3092.1, 10.5263
3120.6, 25
3122.4, 47.963
3127.8, 9.9061
3191.7, 30.4167
3194.1, 95.2381
3196.2, 172.593
3198.9, 87.7778
3200.7, 12.6667
3202.2, 3.35196
3255.9, 1.96817
3375.3, 5.15152
3381.9, 1.1692
3470.85, 16.5854
3477, 4.7619
3479.1, 0.486322
3725.85, 0.247548
4893.3, 0
