energy,fwhm,fwhmerr,linetype
452.98,1.8448745598474172,0.06644949283150396,low
583.187,1.8276271966010496,0.002652912422550653,ok
727.33,2.0807046344024602,0.005064664147201632,ok
763.45,2.094505073002774,0.024711026487815174,ok
785.37,2.1621360221366044,0.01548680322057985,ok
860.53,2.0598944724019734,0.0074334107453249065,ok
893.41,2.052314298209966,0.02978521674782311,ok
1078.63,2.1585698451507676,0.021621825721469316,ok
1512.7,2.5159213061991963,0.035362957840094085,ok
1620.738,2.642684108363023,0.012422162791035222,ok
2614.511,3.1677072236354884,0.0036589511311393816,ok
3125.511,2.7177333841162916,0.3610638153464327,sum
3197.698,4.295410617050109,0.16507782176959263,sum
