energy, cts
1591.2, 58933.3
1591.5, 73690
1591.8, 87686.7
1592.1, 100254
1593, 93156.7
1593.3, 81066.7
1593.6, 64540
1593.9, 50200
1594.2, 39113.3
1594.5, 29513.3
1594.8, 23380
1595.1, 18980
1595.4, 16886.7
1595.7, 14540
1596.6, 12888.9
1601.1, 12339.7
1617, 13177.8
1617.9, 15276.7
1618.2, 17303.3
1618.5, 20703.3
1618.8, 26810
1619.1, 34193.3
1619.4, 43733.3
1619.7, 53356.7
1620, 64126.7
1620.3, 72486.7
1620.6, 75860
1621.2, 68923.3
1621.5, 59370
1621.8, 47923.3
1622.1, 37000
1622.4, 28573.3
1622.7, 21793.3
1623, 17900
1623.3, 15370
1623.6, 13112.2
1624.5, 11947.6
1677.3, 13034.2
1678.5, 14323.9
1680.3, 12981.3
1681.8, 12038.5
1725.9, 12321
1759.5, 12675.4
1803.9, 14211.7
1805.1, 16468.9
1806.9, 15433.3
1807.5, 13597.5
1808.7, 12763.5
1833.6, 12977.7
1854.3, 13186.9
1869.3, 13413.8
1894.2, 13868.9
1934.4, 13376.8
1971.3, 13218.3
2014.2, 13369.9
2033.1, 13552.6
2054.4, 13809.8
2069.1, 14013
2086.2, 14325.3
2097, 15178
2098.5, 16038.3
2099.1, 17823.3
2099.7, 20583.3
2100, 23090
2100.3, 26106.7
2100.6, 30820
2100.9, 37786.7
2101.2, 45873.3
2101.5, 55523.3
2101.8, 66703.3
2102.1, 77113.3
2102.4, 88873.3
2102.7, 96396.7
2103, 104532
2103.9, 99733.3
2104.2, 93900
2104.5, 83286.7
2104.8, 73243.3
2105.1, 61193.3
2105.4, 51950
2105.7, 42503.3
2106, 34976.7
2106.3, 28963.3
2106.6, 25563.3
2106.9, 22416.7
2107.2, 19493.3
2107.8, 17815
2108.4, 16081.7
2109.6, 15321.1
2137.2, 15606.3
2151.9, 15860.1
2166.3, 16234.3
2173.8, 16588.2
2196, 17090.6
2208.3, 17469.2
2226.6, 18052.3
2237.7, 18373.4
2246.7, 18760.6
2257.8, 19212.6
2269.8, 19818.9
2276.4, 20231.5
2284.5, 20606
2290.2, 21117.3
2303.4, 21723.7
2310.9, 22249
2319, 22778.2
2326.2, 23288.9
2333.7, 23892.2
2338.2, 24577
2346.9, 25240.9
2357.7, 25984.2
2376.6, 25395.8
2379, 24171.3
2380.5, 23130.6
2382.3, 21572.2
2384.1, 20208
2385.6, 19429.5
2387.7, 18728
2390.7, 18133.6
2394, 17416.7
2401.5, 16748
2410.5, 16060.6
2420.7, 15348.9
2430.3, 14877.1
2434.5, 14332.8
2444.1, 13943
2447.4, 13340.6
2455.2, 12643.1
2459.1, 12181.5
2464.5, 11623.3
2468.4, 11246.7
