energy,fwhm,fwhmerr,linetype
583.187,3.3856469660416586,0.004129624047234519,ok
727.33,3.5384711154627215,0.012481623685966493,ok
763.45,3.61461038787368,0.04694991442521323,ok
785.37,3.715757356220695,0.02815920808555,ok
860.53,3.7262881678445248,0.011659841631541467,ok
893.41,3.8012436686100686,0.06949965246054109,ok
1078.63,4.116867799544564,0.04956671346597517,ok
1512.7,4.695647410423374,0.09168687830058088,ok
1620.738,4.677917391683422,0.026089476312876468,ok
2614.511,5.806340869819925,0.00579743933138815,ok
3125.511,3.7295427486190347,0.21147815207577206,sum
3197.698,6.361396161957834,0.12705217363004062,sum
