xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1417.5, 1410, 108, 98.2992, 54.1283, 0.0380215, 0.142917, 0.0200542, 0.0317303, 0.261388, 0.0188723, 0.0341923, 0.200915, 0.713583, 0.235366, 4.80872, 1.15544, 0.638158, 0.111741, 19.8337, 2.83628, 0.00744832, 5.64134, 1.18567, 4.41922, 1.40332, 0.0719364, 0.178673, 0.0248627, 0, 0.157281, 108.5, 87.5, 118.5, 78.5, 128.5, 68.5, 0.97844
1432.5, 1425, 104, 87.7967, 49.1486, 0.0464753, 0.175987, 0.0224478, 0.0310577, 0.26269, 0.0191036, 0.0339194, 0.193314, 0.599949, 0.216208, 4.27699, 1.02346, 0.567593, 0.113199, 17.074, 2.37728, 0.00631943, 5.12031, 0.957416, 3.80373, 1.30269, 0.0681496, 0.173973, 0.0243579, 0, 0.15751, 97.5, 77.5, 106.5, 68.5, 116.5, 59.5, 1.72928
1447.5, 1440, 93, 79.7169, 45.0643, 0.0316255, 0.121267, 0.0164459, 0.0312879, 0.254174, 0.0184848, 0.033738, 0.193519, 0.609579, 0.170777, 3.5973, 0.877505, 0.477392, 0.107052, 15.1915, 1.98521, 0.00576081, 4.84494, 0.963757, 3.33068, 1.36125, 0.0685851, 0.17862, 0.0244014, 0, 0.157705, 89.5, 70.5, 98.5, 61.5, 106.5, 52.5, 1.48773
1462.5, 1455, 974, 834.318, 40.8693, 0.11048, 0.413103, 0.0584662, 0.0307787, 0.256258, 0.0183926, 0.0332709, 0.188966, 64.521, 28.9573, 487.623, 115.171, 64.7117, 4.95696, 14.137, 1.80603, 0.00464356, 4.67517, 0.824265, 3.10656, 1.41178, 0.0699192, 0.18056, 0.0245785, 0, 0.157896, 863.5, 804.5, 892.5, 776.5, 920.5, 748.5, 4.83586
1477.5, 1470, 65, 62.2092, 36.6906, 0.0296183, 0.115995, 0.0145555, 0.0295411, 0.249049, 0.0176825, 0.0326489, 0.186569, 0, 0, 0, 0, 0, 0, 13.2816, 1.639, 0.00451554, 4.40214, 0.643561, 2.94901, 1.47014, 0.0746918, 0.19396, 0.0263069, 0, 0.158103, 70.5, 53.5, 78.5, 45.5, 86.5, 38.5, 0.353831
1492.5, 1485, 63, 58.3333, 33.3066, 0.0911261, 0.342071, 0.047131, 0.028443, 0.245266, 0.0179065, 0.0326615, 0.173489, 0, 0, 0, 0, 0, 0, 12.7334, 1.50948, 0.00477158, 4.27853, 0.672093, 2.92067, 1.47797, 0.0764797, 0.191653, 0.0252304, 0, 0.158325, 66.5, 50.5, 74.5, 42.5, 81.5, 35.5, 0.611021
1507.5, 1500, 54, 55.4997, 29.9848, 0.0702437, 0.259293, 0.0376358, 0.0717128, 0.607185, 0.0391928, 0.0415646, 0.166094, 0, 0, 0, 0, 0, 0, 11.9323, 1.35297, 0.00415476, 4.07904, 0.523092, 2.68125, 2.89573, 0.148256, 0.389823, 0.0567794, 0, 0.158524, 63.5, 47.5, 70.5, 40.5, 78.5, 32.5, -0.201305
1522.5, 1515, 1128, 1115.4, 26.4458, 0.0140994, 0.0566914, 0.00790667, 0.0278025, 0.234147, 0.0168516, 0.0321456, 0.160958, 0, 0, 0, 0, 0, 0, 634.729, 132.086, 0.380737, 113.716, 55.6569, 149.867, 1.5087, 0.0788362, 0.199078, 0.0254043, 0, 0.158712, 1149.5, 1081.5, 1182.5, 1048.5, 1215.5, 1015.5, 0.377178
1537.5, 1530, 41, 31.3017, 23.6763, 0.0188082, 0.0741879, 0.00927956, 0.0263377, 0.21845, 0.0167031, 0.0315928, 0.166025, 0, 0, 0, 0, 0, 0, 0.234138, 0.382632, 0.000186208, 3.55332, 0.0285323, 0.0624632, 2.20428, 0.115008, 0.289087, 0.0354202, 0, 0.158912, 36.5, 24.5, 43.5, 20.5, 49.5, 15.5, 1.67772
1552.5, 1545, 30, 27.4059, 20.8803, 0.0354483, 0.135195, 0.0193138, 0.0258964, 0.220114, 0.0162602, 0.0317579, 0.178386, 0, 0, 0, 0, 0, 0, 0.296575, 0.359695, 8.1466e-05, 3.43128, 0.0285323, 0.0615309, 1.27217, 0.0652659, 0.167055, 0.0218773, 0, 0.159155, 32.5, 21.5, 38.5, 17.5, 43.5, 12.5, 0.517839
