xunit, xunit_low, fitted_data, total_model, Ac228_cables, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_cables, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_cables, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_far, K40_holders, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1147.5, 1140, 130, 138.244, 0.107999, 0.140896, 1.30811, 0.120232, 0.000307327, 0.113237, 1.82807, 0.0963576, 0.117758, 0.135753, 6.37577, 3.55883, 0.803596, 26.4937, 0.00082175, 6.80102, 0.819266, 62.8262, 6.60766, 5.65381e-05, 1.61605, 6.63239, 2.6404, 7.94209, 0.184272, 0.776402, 0.135356, 0.0613346, 150.5, 126.5, 162.5, 114.5, 173.5, 102.5, -0.701149
1162.5, 1155, 144, 141.345, 0.120408, 0.158213, 1.46406, 0.130844, 0.000302566, 0.110837, 1.80077, 0.0948575, 0.117259, 0.144502, 6.75301, 3.64644, 0.835166, 27.2373, 0.000841186, 7.07131, 0.838644, 63.4318, 6.79585, 5.88533e-05, 1.68628, 6.83879, 2.66778, 8.21826, 0.190934, 0.802015, 0.136256, 0.0526031, 153.5, 128.5, 165.5, 117.5, 177.5, 105.5, 0.223281
1177.5, 1170, 155, 156.39, 0.0910895, 0.118185, 1.09589, 0.100655, 0.000296725, 0.108339, 1.7571, 0.093477, 0.115541, 0.449165, 19.9302, 3.83081, 0.851817, 28.4361, 0.000860519, 7.40442, 0.857918, 64.0214, 7.08199, 5.87024e-05, 1.71088, 6.71888, 2.70285, 7.79622, 0.183577, 0.76506, 0.122313, 0.045155, 169.5, 143.5, 181.5, 130.5, 194.5, 118.5, -0.111169
1192.5, 1185, 153, 143.376, 0.0840583, 0.108494, 1.00673, 0.0929286, 0.000293059, 0.108083, 1.74007, 0.0925047, 0.1147, 0.0980824, 4.72397, 4.00204, 0.926989, 29.6758, 0.000878235, 7.67426, 0.875581, 64.2586, 7.27422, 6.02157e-05, 1.77497, 7.15134, 2.73212, 7.75747, 0.183769, 0.759228, 0.120248, 0.0381348, 155.5, 130.5, 167.5, 118.5, 179.5, 107.5, 0.803776
1207.5, 1200, 123, 146.919, 0.0812144, 0.103803, 0.976514, 0.0892953, 0.00028904, 0.105234, 1.72477, 0.0906196, 0.114498, 0.097384, 4.72291, 4.23101, 0.951148, 31.083, 0.000898732, 8.105, 0.896016, 65.1088, 7.43802, 6.18238e-05, 1.81769, 7.28698, 2.76686, 7.99589, 0.187341, 0.781911, 0.128018, 0.0336815, 159.5, 134.5, 171.5, 122.5, 183.5, 110.5, -1.97334
1222.5, 1215, 147, 150.498, 0.0784112, 0.0993957, 0.935193, 0.0861984, 0.000285399, 0.103823, 1.71292, 0.0890875, 0.113614, 0.107032, 5.23291, 4.37676, 0.998984, 32.551, 0.00092623, 8.42546, 0.92343, 65.3776, 7.72719, 6.38846e-05, 1.91382, 7.78628, 2.82202, 7.91468, 0.189339, 0.782554, 0.122806, 0.0258834, 163.5, 137.5, 175.5, 125.5, 187.5, 113.5, -0.285113
1237.5, 1230, 162, 158.336, 0.0848228, 0.108196, 1.01212, 0.0925614, 0.00028256, 0.102432, 1.67714, 0.0882521, 0.111951, 0.10466, 5.14933, 4.63719, 1.07156, 33.9163, 0.000951675, 8.95518, 0.948798, 66.8029, 8.08955, 6.55013e-05, 1.95654, 7.97302, 2.85938, 11.0199, 0.249774, 1.08723, 0.213972, 0.0224025, 171.5, 145.5, 183.5, 132.5, 196.5, 120.5, 0.291144
1252.5, 1245, 156, 158.03, 0.108568, 0.134174, 1.25749, 0.119841, 0.000277936, 0.102189, 1.66129, 0.0874342, 0.111261, 0.105414, 5.19089, 4.75785, 1.11525, 35.3901, 0.000965991, 9.31722, 0.963071, 67.591, 8.30971, 6.68119e-05, 2.01836, 7.93567, 2.92721, 7.74522, 0.185635, 0.763752, 0.11273, 0.017113, 171.5, 144.5, 183.5, 132.5, 195.5, 120.5, -0.161464
1267.5, 1260, 157, 161.897, 0.0659638, 0.0829751, 0.789213, 0.0718117, 0.000276957, 0.100891, 1.64204, 0.0864133, 0.110591, 0.107713, 5.31095, 5.0362, 1.16328, 36.679, 0.000966679, 9.58706, 0.963757, 69.0965, 8.70821, 7.01273e-05, 2.12873, 8.53915, 3.00695, 7.56583, 0.184078, 0.748356, 0.107531, 0.0121152, 175.5, 148.5, 187.5, 136.5, 200.5, 123.5, -0.384839
1282.5, 1275, 150, 167.564, 0.0807426, 0.0991295, 0.944357, 0.0884856, 0.000275009, 0.100081, 1.63137, 0.0863325, 0.110679, 0.109, 5.41347, 5.07124, 1.21343, 38.0037, 0.000969981, 9.90526, 0.967049, 70.7516, 9.23057, 7.31107e-05, 2.2501, 8.95392, 3.09064, 8.308, 0.197683, 0.818391, 0.129848, 0.00781754, 180.5, 154.5, 193.5, 141.5, 206.5, 128.5, -1.35687
1297.5, 1290, 163, 169.57, 0.0618971, 0.0783527, 0.744312, 0.0673383, 0.00027356, 0.0991837, 1.61738, 0.0853461, 0.109455, 0.110584, 5.49572, 5.19071, 1.25896, 38.5606, 0.000959415, 10.1633, 0.956515, 72.1222, 9.61428, 7.60294e-05, 2.354, 9.32348, 3.17252, 7.36846, 0.179457, 0.724905, 0.104102, 0.00538671, 183.5, 156.5, 196.5, 143.5, 208.5, 130.5, -0.50452
1312.5, 1305, 172, 170.93, 0.0643632, 0.0807535, 0.767763, 0.0700591, 0.000270706, 0.0978258, 1.61292, 0.0844856, 0.107969, 0.110763, 5.50953, 5.19748, 1.26261, 38.6866, 0.000937307, 10.1312, 0.934474, 72.2386, 9.96893, 7.82196e-05, 2.45077, 9.81295, 3.20989, 7.50128, 0.182266, 0.739139, 0.103258, 0.00281976, 184.5, 157.5, 197.5, 144.5, 210.5, 131.5, 0.0818385
1327.5, 1320, 177, 183.849, 0.0608041, 0.076704, 0.726913, 0.0663897, 0.000267225, 0.095679, 1.55992, 0.0831194, 0.107787, 0.429756, 19.1799, 5.07443, 1.2552, 38.0032, 0.000900326, 9.95497, 0.897605, 71.5521, 10.3467, 8.05951e-05, 2.60225, 10.1687, 3.24098, 7.35903, 0.178843, 0.722309, 0.10335, 0.00124458, 197.5, 169.5, 211.5, 156.5, 224.5, 143.5, -0.505143
1342.5, 1335, 170, 166.483, 0.066122, 0.0842961, 0.795936, 0.0722594, 0.000284024, 0.102688, 1.68661, 0.0888687, 0.107634, 0.0798154, 4.11717, 4.85183, 1.20746, 36.2732, 0.000858954, 9.51067, 0.856358, 71.3759, 10.728, 8.36173e-05, 2.68478, 10.4046, 3.24768, 7.15945, 0.174206, 0.70396, 0.102454, 0.000155573, 179.5, 153.5, 192.5, 140.5, 205.5, 127.5, 0.272545
1357.5, 1350, 154, 162.696, 0.06388, 0.0809168, 0.763673, 0.0703667, 0.000258244, 0.0928008, 1.52773, 0.0806946, 0.106548, 0.0655996, 3.47891, 4.64914, 1.1499, 34.6715, 0.000808036, 9.22276, 0.805593, 70.2315, 10.9753, 8.25222e-05, 2.70355, 10.7388, 3.23601, 7.01971, 0.170404, 0.688461, 0.100769, 0, 175.5, 149.5, 188.5, 136.5, 201.5, 124.5, -0.681739
1372.5, 1365, 169, 166.264, 0.122112, 0.165934, 1.51253, 0.131581, 0.000265038, 0.0952078, 1.55731, 0.082467, 0.107539, 0.0699385, 3.72516, 4.51335, 1.11891, 33.3941, 0.000773223, 8.82501, 0.770886, 68.6104, 11.0067, 8.44796e-05, 2.70776, 10.6857, 3.19037, 12.2358, 0.290212, 1.17029, 0.173506, 0, 179.5, 152.5, 192.5, 140.5, 205.5, 127.5, 0.212189
1387.5, 1380, 168, 155.411, 0.055742, 0.0704717, 0.656495, 0.0613969, 0.000254552, 0.0921488, 1.50087, 0.0797239, 0.10661, 0.0766407, 4.06098, 4.35446, 1.10457, 32.3691, 0.000746132, 8.66004, 0.743877, 66.5466, 10.8244, 8.36346e-05, 2.68608, 10.4184, 3.10328, 6.88308, 0.166247, 0.680609, 0.107928, 0, 168.5, 142.5, 180.5, 130.5, 192.5, 117.5, 1.00984
1402.5, 1395, 139, 152.036, 0.0555335, 0.0702315, 0.653614, 0.061286, 0.000255331, 0.0904253, 1.48481, 0.0794968, 0.106206, 0.0760138, 4.05932, 4.3234, 1.08291, 31.9744, 0.000726541, 8.68535, 0.724345, 63.2861, 10.4512, 8.0746e-05, 2.57247, 10.2081, 2.94802, 7.92823, 0.183501, 0.78046, 0.149753, 0, 164.5, 139.5, 177.5, 126.5, 189.5, 114.5, -1.05725
1417.5, 1410, 134, 145.764, 0.0549592, 0.0697134, 0.64548, 0.0609004, 0.000251346, 0.0905362, 1.48049, 0.0788554, 0.105876, 0.0749246, 3.99155, 4.39786, 1.07868, 32.3281, 0.000722585, 8.86569, 0.720401, 59.5559, 9.91913, 7.70986e-05, 2.4757, 9.62621, 2.79484, 6.47701, 0.15748, 0.627534, 0.0855626, 0, 158.5, 133.5, 170.5, 121.5, 182.5, 109.5, -0.974413
1432.5, 1425, 141, 143.03, 0.075658, 0.100281, 0.915381, 0.0831745, 0.000252001, 0.0898625, 1.4735, 0.0789545, 0.105395, 0.0746732, 3.96634, 4.5468, 1.10313, 33.4863, 0.000739998, 9.1066, 0.737761, 56.3367, 9.64664, 7.44084e-05, 2.40222, 9.42963, 2.65883, 5.82257, 0.13987, 0.566479, 0.0820231, 0, 155.5, 130.5, 167.5, 118.5, 179.5, 107.5, -0.169727
1447.5, 1440, 171, 142.604, 0.0517276, 0.065644, 0.611119, 0.0569317, 0.000249375, 0.0898443, 1.45931, 0.0781122, 0.106082, 0.0740261, 3.92158, 4.86537, 1.17445, 35.5001, 0.000781559, 9.69915, 0.779197, 53.9948, 9.39273, 7.32444e-05, 2.30448, 9.24878, 2.56763, 5.7795, 0.137981, 0.562056, 0.0823637, 0, 155.5, 130.5, 166.5, 118.5, 178.5, 106.5, 2.37789
