xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
2587.5, 2580, 4, 3.00811, 0, 0, 0, 0.144714, 2.45866, 0.130161, 0.145997, 8.55977e-05, 0, 0, 0, 0, 0, 0, 0.0143605, 0.0308966, 0.00218794, 0.01682, 0.0110959, 0.00773797, 0.0401096, 0.00107279, 0.00384831, 0.000364399, 0, 4.5, 0.5, 6.5, 0, 9.5, 0, 0.597865
2602.5, 2595, 2, 3.15422, 0, 0, 0, 0.148101, 2.55925, 0.137908, 0.165625, 0.000188315, 0, 0, 0, 0, 0, 0, 0.0121752, 0.0330553, 0.00192609, 0.0179935, 0.0142661, 0.00764474, 0.049905, 0.00123096, 0.00460908, 0.000349355, 0, 4.5, 0.5, 6.5, 0, 9.5, 0, -0.6083
2617.5, 2610, 19, 13.5193, 0, 0, 0, 0.638252, 10.6621, 0.660005, 1.43881, 8.55977e-05, 0, 0, 0, 0, 0, 0, 0.0140483, 0.0245554, 0.00190281, 0.0179935, 0.0142661, 0.00755152, 0.0351604, 0.000884821, 0.00336231, 0.000330968, 0, 17.5, 9.5, 21.5, 6.5, 25.5, 3.5, 1.44008
2632.5, 2625, 2, 1.9148, 0, 0, 0, 0.0878197, 1.60473, 0.0744688, 0.0245265, 3.42391e-05, 0, 0, 0, 0, 0, 0, 0.0109265, 0.0246903, 0.00177479, 0.0179935, 0.0174364, 0.0078312, 0.037635, 0.000942128, 0.00364978, 0.000339326, 0, 3.5, 0.5, 4.5, 0, 7.5, 0, 0.102554
2647.5, 2640, 1, 1.87883, 0, 0, 0, 0.0884506, 1.58893, 0.0737415, 0.0240577, 5.13586e-05, 0, 0, 0, 0, 0, 0, 0.0112386, 0.0256347, 0.00160022, 0.0109525, 0.0110959, 0.00764474, 0.0314484, 0.000809176, 0.00284296, 0.000329296, 0, 3.5, 0.5, 4.5, 0, 7.5, 0, -0.640559
2662.5, 2655, 1, 2.51704, 0, 0, 0, 0.125956, 2.13029, 0.102872, 0.0346264, 1.71195e-05, 0, 0, 0, 0, 0, 0, 0.0127996, 0.0221268, 0.0013791, 0.0105614, 0.0110959, 0.00661923, 0.0522766, 0.00138683, 0.00465832, 0.000379443, 0, 4.5, 0.5, 5.5, 0, 8.5, 0, -1.0056
2677.5, 2670, 0, 2.53077, 0, 0, 0, 0.129081, 2.16788, 0.104662, 0.0346653, 0, 0, 0, 0, 0, 0, 0, 0.0121752, 0.0205078, 0.00130927, 0.00743208, 0.0110959, 0.00633954, 0.031964, 0.000717485, 0.00260472, 0.000334311, 0, 4.5, 0.5, 5.5, 0, 8.5, 0, -2.21709
2692.5, 2685, 4, 2.94572, 0, 0, 0, 0.147165, 2.46445, 0.120178, 0.0393881, 1.71195e-05, 0, 0, 0, 0, 0, 0, 0.00936553, 0.0222617, 0.00127436, 0.0125172, 0.0063405, 0.006526, 0.103006, 0.00269572, 0.0095374, 0.00099959, 0, 4.5, 0.5, 6.5, 0, 9.5, 0, 0.634964
2707.5, 2700, 2, 2.68493, 0, 0, 0, 0.141428, 2.29687, 0.115574, 0.0436472, 0, 0, 0, 0, 0, 0, 0, 0.00811679, 0.0202379, 0.0011638, 0.00821441, 0.00951076, 0.00661923, 0.030108, 0.000605163, 0.00257772, 0.000255748, 0, 4.5, 0.5, 6.5, 0, 8.5, 0, -0.359402
2722.5, 2715, 2, 2.95656, 0, 0, 0, 0.152183, 2.44079, 0.122882, 0.0471662, 0, 0, 0, 0, 0, 0, 0, 0.00811679, 0.021722, 0.0010707, 0.00860557, 0.0063405, 0.00466143, 0.126928, 0.0035049, 0.0121072, 0.000478065, 0, 4.5, 0.5, 6.5, 0, 9.5, 0, -0.50768
