energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
80, 6.71814, 5.76391, 8.31815, 6.50609, 14.323, 41.6293
81, 7.08441, 6.03379, 8.36635, 6.14946, 13.7833, 41.4173
82, 6.75669, 5.50367, 8.45309, 5.91813, 14.1303, 40.7618
83, 7.10368, 5.77355, 8.28924, 5.95668, 14.4387, 41.5618
84, 6.84344, 5.8603, 8.62659, 6.27476, 14.3905, 41.9956
85, 6.96874, 5.54222, 8.46273, 6.26512, 14.2652, 41.504
86, 6.89163, 6.21693, 8.28924, 6.535, 13.7833, 41.7161
87, 6.78561, 5.60005, 8.1543, 6.03379, 14.4965, 41.0703
88, 6.94946, 5.53258, 8.17357, 5.97596, 14.2652, 40.8968
89, 7.31573, 5.92777, 8.17357, 6.02415, 14.1688, 41.61
90, 6.73741, 5.83138, 8.56876, 5.94705, 13.3495, 40.4341
91, 7.23862, 5.99524, 8.59767, 5.89885, 13.3302, 41.0606
92, 6.8338, 5.77355, 7.96152, 6.12054, 14.5158, 41.2052
93, 6.81452, 5.69644, 8.09646, 6.04343, 14.1592, 40.81
94, 6.8338, 5.71572, 8.48201, 6.10126, 14.0435, 41.1763
95, 6.97838, 5.79283, 8.42418, 5.91813, 14.3616, 41.4751
96, 6.90127, 5.40728, 7.99044, 5.76391, 14.1303, 40.1932
97, 6.81452, 5.99524, 8.13502, 5.06993, 13.7833, 39.798
98, 6.64103, 5.66752, 7.73019, 5.69644, 13.2146, 38.9498
99, 6.68922, 5.92777, 8.07719, 5.76391, 13.8218, 40.2799
100, 7.08441, 5.78319, 8.24104, 5.45547, 13.3784, 39.9426
101, 7.01694, 5.49403, 7.93261, 5.89885, 12.9061, 39.2486
102, 7.04585, 5.96632, 7.97116, 5.33017, 13.5037, 39.8173
103, 6.51573, 5.65789, 8.1543, 5.15668, 13.9857, 39.4703
104, 7.02657, 5.83138, 7.64345, 5.58078, 13.7351, 39.8173
105, 6.26512, 5.35909, 8.19285, 5.64825, 13.3881, 38.8534
106, 5.9856, 5.0121, 7.91333, 5.53258, 13.2917, 37.7353
107, 6.2362, 5.85066, 7.30609, 4.88679, 12.6652, 36.9449
108, 6.41934, 5.35909, 8.14466, 5.51331, 12.7712, 38.2076
109, 5.96632, 5.52294, 7.8073, 5.20487, 13.0989, 37.6004
110, 6.35187, 5.20487, 7.58562, 4.89643, 12.9929, 37.0317
111, 5.94705, 5.36873, 7.69164, 4.79041, 12.3664, 36.1642
112, 5.77355, 5.59042, 7.8073, 5.0121, 13.2242, 37.4076
113, 5.6868, 5.388, 7.99044, 4.68438, 12.7327, 36.4823
114, 6.30368, 5.41692, 7.51814, 5.19523, 11.9905, 36.4244
115, 5.82174, 5.07957, 7.41212, 4.69402, 12.2025, 35.21
116, 5.75427, 4.85788, 7.27718, 4.46269, 11.8266, 34.1786
117, 5.53258, 4.98318, 7.14224, 4.99282, 12.4242, 35.075
118, 5.5615, 5.1374, 7.19043, 5.15668, 11.4411, 34.4871
119, 6.24584, 5.31089, 7.75911, 4.26992, 12.4724, 36.0582
120, 6.08199, 5.05065, 7.52778, 4.23137, 11.47, 34.3618
121, 5.79283, 4.73258, 7.15188, 4.54944, 11.7302, 33.957
122, 5.57114, 4.49161, 6.7085, 3.98076, 11.2001, 31.9521
123, 5.735, 4.70366, 6.90127, 4.241, 11.6049, 33.1859
124, 5.32053, 4.62655, 6.9591, 4.1639, 11.0748, 32.1449
125, 4.80968, 4.56872, 6.66994, 4.03859, 10.8338, 30.9208
126, 5.44584, 4.63619, 6.92055, 3.9904, 10.6025, 31.5955
127, 4.77113, 4.65547, 6.84344, 3.62413, 10.7664, 30.6605
128, 4.87716, 4.588, 6.91091, 3.87474, 10.2652, 30.516
129, 5.17595, 4.79041, 6.91091, 3.55666, 10.1591, 30.5931
130, 4.89643, 4.31811, 6.87236, 3.64341, 10.7085, 30.4388
131, 5.0121, 4.18317, 6.91091, 3.8651, 10.1591, 30.1304
132, 4.8386, 4.43378, 6.35187, 3.57594, 10.2459, 29.4461
133, 4.89643, 4.43378, 6.68922, 3.54702, 9.72539, 29.2918
134, 4.63619, 4.33739, 6.13982, 3.21931, 9.48443, 27.8171
135, 4.60727, 4.48197, 6.5832, 3.64341, 9.71576, 29.0316
136, 4.48197, 4.29884, 6.40006, 3.8651, 9.34949, 28.3955
137, 4.69402, 4.12534, 6.44825, 3.68196, 9.06997, 28.0195
138, 3.88437, 3.88437, 6.17837, 3.27714, 9.22419, 26.4484
