energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
3194, 4, 6, 1, 0, 3, 14
3209, 5, 0, 1, 0, 2, 8
3224, 5, 1, 1, 0, 0, 7
3239, 0, 4, 0, 0, 0, 4
3254, 1, 0, 0, 0, 5, 6
3269, 0, 6, 2, 0, 2, 10
3284, 3, 3, 1, 0, 0, 7
3299, 2, 2, 2, 0, 1, 7
3314, 2, 1, 1, 0, 0, 4
3329, 2, 5, 0, 0, 2, 9
3344, 6, 2, 0, 1, 0, 9
3359, 4, 2, 0, 0, 0, 6
3374, 1, 2, 0, 0, 2, 5
3389, 1, 0, 1, 0, 0, 2
3404, 3, 1, 0, 0, 3, 7
3419, 2, 0, 0, 0, 0, 2
3434, 2, 3, 1, 0, 2, 8
3449, 2, 1, 1, 0, 2, 6
3464, 1, 3, 0, 0, 1, 5
3479, 2, 5, 1, 1, 1, 10
3494, 4, 1, 0, 0, 3, 8
3509, 2, 1, 0, 0, 0, 3
3524, 2, 1, 1, 0, 3, 7
3539, 0, 1, 2, 0, 2, 5
3554, 5, 3, 1, 0, 1, 10
3569, 2, 2, 1, 0, 0, 5
3584, 5, 2, 0, 0, 3, 10
3599, 4, 2, 0, 0, 2, 8
3614, 3, 3, 0, 0, 0, 6
3629, 5, 4, 1, 0, 2, 12
3644, 2, 1, 0, 0, 2, 5
3659, 6, 2, 0, 1, 5, 14
3674, 4, 2, 4, 0, 2, 12
3689, 4, 5, 1, 0, 3, 13
3704, 1, 3, 0, 0, 3, 7
3719, 6, 3, 1, 0, 0, 10
3734, 3, 1, 0, 1, 2, 7
3749, 4, 2, 1, 0, 0, 7
3764, 6, 4, 2, 0, 3, 15
3779, 2, 4, 0, 0, 1, 7
3794, 2, 4, 1, 0, 0, 7
3809, 3, 2, 1, 0, 2, 8
3824, 4, 0, 0, 0, 1, 5
3839, 2, 2, 1, 1, 2, 8
3854, 3, 0, 0, 0, 1, 4
3869, 5, 3, 0, 0, 2, 10
3884, 1, 5, 2, 0, 3, 11
3899, 1, 1, 1, 0, 0, 3
3914, 7, 1, 2, 0, 2, 12
3929, 3, 3, 1, 0, 3, 10
3944, 2, 0, 1, 0, 3, 6
3959, 4, 0, 3, 1, 1, 9
3974, 3, 3, 0, 0, 1, 7
3989, 6, 5, 1, 0, 1, 13
4004, 4, 5, 0, 0, 0, 9
4019, 6, 6, 1, 1, 1, 15
4034, 2, 3, 0, 0, 5, 10
4049, 3, 7, 1, 1, 5, 17
4064, 1, 2, 4, 0, 2, 9
4079, 2, 3, 1, 0, 0, 6
4094, 0, 6, 1, 1, 1, 9
4109, 1, 5, 2, 0, 0, 8
4124, 2, 3, 0, 0, 1, 6
4139, 4, 3, 1, 1, 1, 10
4154, 2, 5, 3, 0, 5, 15
4169, 1, 5, 1, 0, 4, 11
4184, 3, 5, 1, 0, 4, 13
4199, 4, 7, 0, 0, 1, 12
4214, 1, 6, 2, 0, 3, 12
4229, 7, 9, 1, 0, 2, 19
4244, 1, 4, 1, 2, 1, 9
4259, 2, 4, 3, 0, 3, 12
4274, 4, 8, 1, 0, 0, 13
4289, 3, 3, 1, 0, 1, 8
4304, 3, 7, 1, 0, 1, 12
4319, 7, 5, 1, 0, 5, 18
4334, 4, 6, 2, 1, 2, 15
4349, 3, 4, 2, 0, 2, 11
4364, 2, 6, 2, 1, 1, 12
4379, 8, 6, 2, 0, 3, 19
4394, 6, 7, 1, 1, 0, 15
4409, 5, 2, 1, 0, 3, 11
4424, 9, 8, 0, 0, 3, 20
4439, 5, 10, 1, 0, 7, 23
4454, 3, 10, 2, 0, 2, 17
4469, 5, 4, 2, 1, 0, 12
4484, 1, 6, 5, 0, 0, 12
4499, 3, 7, 1, 0, 1, 12
4514, 3, 3, 1, 0, 2, 9
4529, 6, 7, 3, 0, 2, 18
4544, 5, 6, 2, 0, 3, 16
4559, 6, 8, 3, 1, 5, 23
4574, 4, 13, 9, 0, 7, 33
4589, 3, 5, 3, 0, 2, 13
4604, 7, 11, 2, 0, 6, 26
4619, 4, 7, 7, 0, 3, 21
4634, 4, 8, 2, 0, 5, 19
4649, 6, 15, 3, 1, 3, 28
4664, 4, 12, 3, 1, 4, 24
4679, 5, 6, 4, 2, 4, 21
4694, 6, 16, 3, 0, 2, 27
4709, 8, 4, 1, 1, 0, 14
4724, 5, 15, 5, 0, 3, 28
4739, 9, 18, 3, 0, 6, 36
4754, 4, 24, 4, 0, 3, 35
4769, 10, 14, 3, 0, 5, 32
4784, 4, 10, 4, 0, 7, 25
4799, 7, 6, 4, 1, 2, 20
4814, 6, 16, 7, 1, 5, 35
4829, 5, 16, 3, 0, 7, 31
4844, 12, 17, 4, 0, 8, 41
4859, 10, 18, 5, 0, 5, 38
4874, 10, 14, 2, 1, 2, 29
4889, 9, 15, 7, 1, 3, 35
