energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
3944, 0, 0, 0, 0, 0, 0
3959, 0, 0, 0, 0, 0, 0
3974, 0, 0, 0, 0, 0, 0
3989, 0, 1, 0, 0, 0, 1
4004, 0, 0, 0, 0, 0, 0
4019, 0, 0, 0, 0, 0, 0
4034, 0, 0, 0, 0, 0, 0
4049, 0, 0, 0, 0, 0, 0
4064, 0, 0, 0, 0, 0, 0
4079, 0, 0, 0, 0, 0, 0
4094, 0, 1, 0, 0, 0, 1
4109, 0, 0, 0, 0, 0, 0
4124, 0, 1, 0, 0, 0, 1
4139, 0, 1, 0, 0, 0, 1
4154, 0, 0, 0, 0, 0, 0
4169, 0, 0, 0, 0, 0, 0
4184, 0, 0, 0, 0, 0, 0
4199, 0, 0, 0, 0, 0, 0
4214, 0, 0, 0, 0, 0, 0
4229, 0, 1, 0, 0, 0, 1
4244, 0, 0, 0, 0, 0, 0
4259, 0, 0, 0, 0, 0, 0
4274, 0, 0, 0, 0, 0, 0
4289, 0, 0, 0, 0, 0, 0
4304, 0, 0, 0, 0, 0, 0
4319, 0, 0, 0, 0, 0, 0
4334, 0, 1, 0, 0, 0, 1
4349, 0, 1, 0, 0, 0, 1
4364, 0, 1, 0, 0, 0, 1
4379, 0, 0, 0, 0, 0, 0
4394, 0, 1, 0, 0, 0, 1
4409, 0, 0, 0, 0, 0, 0
4424, 0, 0, 0, 0, 0, 0
4439, 0, 1, 1, 0, 0, 2
4454, 0, 0, 1, 0, 0, 1
4469, 0, 0, 0, 0, 0, 0
4484, 0, 1, 0, 0, 0, 1
4499, 0, 0, 0, 0, 0, 0
4514, 0, 0, 0, 0, 0, 0
4529, 0, 1, 0, 0, 0, 1
4544, 0, 2, 1, 0, 0, 3
4559, 0, 0, 0, 0, 0, 0
4574, 0, 0, 0, 0, 0, 0
4589, 0, 0, 0, 0, 0, 0
4604, 0, 0, 0, 0, 0, 0
4619, 0, 0, 0, 0, 0, 0
4634, 0, 0, 0, 0, 0, 0
4649, 0, 0, 0, 0, 0, 0
4664, 0, 0, 0, 0, 0, 0
4679, 0, 0, 1, 0, 0, 1
4694, 0, 1, 0, 0, 0, 1
4709, 0, 0, 0, 0, 0, 0
4724, 0, 0, 0, 0, 0, 0
4739, 0, 0, 0, 0, 0, 0
4754, 0, 0, 0, 0, 0, 0
4769, 0, 1, 0, 0, 0, 1
4784, 0, 0, 0, 0, 0, 0
4799, 0, 0, 0, 0, 0, 0
4814, 0, 1, 0, 0, 0, 1
4829, 0, 1, 0, 0, 0, 1
4844, 0, 2, 0, 0, 0, 2
4859, 0, 2, 1, 0, 0, 3
4874, 0, 0, 0, 0, 0, 0
4889, 0, 0, 0, 0, 0, 0
4904, 0, 0, 0, 0, 0, 0
4919, 0, 0, 0, 0, 0, 0
4934, 0, 0, 0, 0, 0, 0
4949, 0, 0, 0, 0, 0, 0
4964, 0, 2, 0, 0, 0, 2
4979, 0, 0, 0, 0, 0, 0
4994, 0, 0, 0, 0, 0, 0
5009, 0, 1, 0, 0, 0, 1
5024, 0, 2, 0, 0, 0, 2
5039, 0, 2, 0, 0, 0, 2
5054, 0, 5, 0, 0, 0, 5
5069, 0, 4, 0, 0, 0, 4
5084, 0, 3, 0, 0, 0, 3
5099, 0, 4, 1, 0, 0, 5
5114, 0, 3, 1, 0, 0, 4
5129, 0, 4, 0, 0, 0, 4
5144, 0, 6, 0, 0, 0, 6
5159, 0, 7, 0, 0, 0, 7
5174, 0, 5, 1, 0, 0, 6
5189, 0, 3, 1, 0, 0, 4
5204, 0, 6, 1, 0, 0, 7
5219, 0, 1, 0, 0, 0, 1
5234, 0, 0, 0, 0, 0, 0
5249, 0, 0, 0, 0, 0, 0
5264, 0, 0, 0, 0, 0, 0
5279, 0, 0, 0, 0, 0, 0
5294, 0, 0, 0, 0, 0, 0
5309, 0, 0, 0, 0, 0, 0
5324, 0, 0, 0, 0, 0, 0
