energy, EnrBEGe, EnrCoax, EnrCoax_2, EnrInvCoax, EnrBEGe_2, EnrAll
0, 0, 0, 0, 0, 0, 0
5, 13, 1, 313, 31346, 92, 31765
10, 2709, 391, 4512, 123441, 8225, 139278
15, 30990, 8340, 23020, 71323, 87928, 221601
20, 36334, 26728, 42481, 36908, 102276, 244727
25, 22094, 25231, 31707, 20287, 57290, 156609
30, 13574, 14695, 19237, 12183, 33992, 93681
35, 8983, 7819, 12714, 8353, 22868, 60737
40, 7299, 5224, 9678, 7100, 18454, 47755
45, 6878, 4715, 8667, 7149, 17760, 45169
50, 7091, 4792, 8529, 7763, 19016, 47191
55, 8071, 5354, 9310, 9012, 22012, 53759
60, 9777, 6063, 10259, 10323, 26111, 62533
65, 11435, 7032, 12217, 11477, 31440, 73601
70, 13282, 7983, 13779, 12349, 36345, 83738
75, 14773, 8908, 15842, 13288, 40148, 92959
80, 15792, 9877, 16944, 13726, 42971, 99310
85, 16703, 10437, 17898, 14094, 44858, 103990
90, 16654, 10761, 18508, 14065, 45652, 105640
95, 16668, 10963, 18637, 13287, 45463, 105018
100, 16649, 10919, 18525, 13103, 44673, 103869
105, 15639, 10318, 18203, 12440, 43180, 99780
110, 15124, 10006, 17464, 11649, 40734, 94977
115, 14060, 9539, 16564, 11195, 38475, 89833
120, 13266, 9024, 15833, 10301, 35778, 84202
125, 11984, 8606, 14835, 9401, 33176, 78002
130, 11141, 8094, 14092, 8656, 31124, 73107
135, 10239, 7484, 13189, 8131, 28514, 67557
140, 10546, 7109, 12300, 7643, 25965, 63563
145, 16193, 7774, 11530, 6791, 23561, 65849
150, 24020, 9934, 10582, 6202, 21819, 72557
155, 25085, 10200, 9904, 5648, 19582, 70419
160, 24210, 10425, 9199, 5242, 18125, 67201
165, 22776, 10341, 8482, 4953, 16162, 62714
170, 20522, 10791, 7812, 4441, 15199, 58765
175, 19095, 12020, 7209, 4096, 13571, 55991
180, 17410, 12735, 6671, 3745, 12462, 53023
185, 15798, 12737, 6348, 3288, 11220, 49391
190, 14478, 12780, 5692, 3093, 10409, 46452
195, 13098, 11918, 5547, 2865, 9424, 42852
200, 12140, 11201, 5061, 2592, 8657, 39651
205, 10843, 10601, 4861, 2448, 7710, 36463
210, 10102, 9934, 4510, 2281, 7087, 33914
215, 9381, 9300, 4210, 2067, 6486, 31444
220, 8492, 8627, 3959, 1896, 6154, 29128
225, 7835, 8339, 3704, 1803, 5607, 27288
230, 7110, 7621, 3573, 1687, 5058, 25049
235, 7013, 7346, 3370, 1667, 4964, 24360
240, 6108, 6883, 3155, 1441, 4427, 22014
245, 5642, 6611, 2872, 1249, 3986, 20360
250, 5306, 6038, 2713, 1264, 3718, 19039
255, 4796, 5728, 2644, 1123, 3376, 17667
260, 4531, 5442, 2470, 1019, 3113, 16575
265, 4229, 5204, 2379, 1030, 2913, 15755
270, 3817, 4948, 2232, 906, 2724, 14627
275, 3538, 4711, 2193, 863, 2540, 13845
280, 3296, 4329, 1915, 783, 2418, 12741
285, 3082, 4250, 1960, 747, 2234, 12273
290, 2872, 3985, 1850, 786, 2125, 11618
295, 2787, 3968, 1787, 722, 1971, 11235
300, 2581, 3640, 1581, 596, 1779, 10177
305, 2491, 3363, 1568, 579, 1682, 9683
310, 2250, 3318, 1505, 554, 1567, 9194
315, 2095, 3121, 1348, 543, 1486, 8593
320, 1975, 2914, 1280, 506, 1386, 8061
325, 1885, 2846, 1262, 427, 1326, 7746
330, 1685, 2667, 1202, 410, 1192, 7156
335, 1684, 2549, 1197, 445, 1243, 7118
340, 1558, 2513, 1158, 404, 1094, 6727
345, 1429, 2365, 1103, 409, 1001, 6307
350, 1711, 2358, 1145, 443, 1117, 6774
355, 1299, 2073, 1002, 336, 920, 5630
360, 1305, 1948, 915, 331, 885, 5384
365, 1200, 1981, 925, 329, 822, 5257
370, 1117, 1831, 831, 274, 798, 4851
375, 1044, 1827, 772, 280, 777, 4700
380, 1008, 1692, 728, 264, 779, 4471
385, 993, 1623, 724, 261, 633, 4234
390, 974, 1501, 670, 247, 696, 4088
395, 916, 1471, 645, 236, 652, 3920
400, 868, 1359, 613, 248, 567, 3655
405, 889, 1263, 584, 230, 551, 3517
410, 849, 1222, 569, 207, 583, 3430
415, 785, 1162, 544, 198, 558, 3247
420, 781, 1109, 501, 221, 541, 3153
425, 752, 1027, 458, 184, 482, 2903
430, 750, 1041, 419, 209, 496, 2915
435, 689, 972, 446, 176, 505, 2788
440, 638, 902, 394, 192, 482, 2608
445, 678, 875, 406, 160, 478, 2597
450, 659, 863, 382, 182, 474, 2560
455, 646, 799, 356, 183, 488, 2472
460, 671, 790, 319, 159, 432, 2371
465, 627, 725, 318, 173, 423, 2266
470, 579, 703, 348, 154, 412, 2196
475, 651, 693, 307, 175, 464, 2290
480, 602, 606, 301, 155, 402, 2066
485, 553, 582, 258, 155, 427, 1975
490, 565, 577, 250, 173, 394, 1959
495, 569, 601, 252, 157, 377, 1956
