par, 0_30_40, 0_30_40_err, 0_30_0, 0_30_0_err, 0_30_-30, 0_30_-30_err, 0_20_0, 0_20_0_err, 0_20_-30, 0_20_-30_err, 0_0_20, 0_0_20_err, 0_0_-27, 0_0_-27_err, 0_0_-40, 0_0_-40_err, 0_0_-70, 0_0_-70_err, 0_0_-95, 0_0_-95_err, 11_0_-24, 11_0_-24_err, 7_0_-5, 7_0_-5_err, -7_0_6, -7_0_6_err
0.5, 0.924845, 0.0142949, 0.87275, 0.0135124, 0.888685, 0.0128053, 0.919048, 0.00915386, 0.938595, 0.00737471, 0.8928, 0.0126904, 0.928458, 0.00668611, 0.955021, 0.00614186, 0.99334, 0.00458643, 1.00038, 0.00308713, 0.708009, 0.013524, 0.556303, 0.0216206, 0.603694, 0.0178476
0.75, 0.950708, 0.0144934, 0.920469, 0.0138767, 0.937235, 0.0131503, 0.963312, 0.00937149, 0.974754, 0.00751519, 0.936474, 0.0129969, 0.949442, 0.0067611, 0.979491, 0.00621985, 1.00138, 0.00460487, 0.999385, 0.00292726, 0.852454, 0.0148391, 0.736134, 0.0248706, 0.769921, 0.0201552
1.0, 1, 0.0148642, 1, 0.0144635, 1, 0.0135832, 1, 0.00954808, 1, 0.00761172, 1, 0.0134303, 1, 0.00693841, 1, 0.00628447, 1, 0.00460171, 1, 0.00292815, 1, 0.0160717, 1, 0.0289868, 1, 0.0229696
1.25, 1.07073, 0.0153806, 1.0743, 0.0149909, 1.05852, 0.0139748, 1.06909, 0.00987204, 1.04266, 0.0077721, 1.04566, 0.0137333, 1.03782, 0.00706814, 1.02613, 0.00636584, 1.01702, 0.00464051, 1.00691, 0.00293813, 1.19897, 0.0175973, 1.35882, 0.0337888, 1.28338, 0.0260208
1.5, 1.1439, 0.0158972, 1.15969, 0.015575, 1.13919, 0.0144972, 1.14402, 0.0102117, 1.08177, 0.00791627, 1.10955, 0.0141464, 1.11207, 0.00731602, 1.04165, 0.00641368, 1.03089, 0.0046719, 1.01016, 0.00294281, 1.52842, 0.0198673, 1.93193, 0.0402877, 1.73246, 0.0302312
