xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1230, 1225, 27.1, 28.3623, 25.4515, 0.0150671, 0.00113094, 1.81122, 0.0695473, 0.168977, 0.768504, 0.00456911, 0.0189173, 0.0528533, 30.05, 26.65, 31.75, 24.95, 33.45, 23.35, -0.749516
1240, 1235, 25.3, 27.4263, 24.3876, 0.0250028, 0.0010617, 1.84058, 0.0735902, 0.164798, 0.816078, 0.00496637, 0.0593397, 0.0533232, 29.15, 25.75, 30.75, 24.05, 32.35, 22.45, -1.28394
1250, 1245, 27.2, 26.1656, 23.401, 0.0544438, 0.00097515, 1.54022, 0.0773925, 0.170431, 0.841479, 0.00541281, 0.0206574, 0.0535787, 27.85, 24.55, 29.45, 22.85, 31.05, 21.35, 0.639455
1260, 1255, 24.4, 25.2546, 22.4975, 0.0125795, 0.00098669, 1.52892, 0.0758042, 0.181333, 0.878075, 0.0049987, 0.0203897, 0.0540434, 26.85, 23.65, 28.45, 22.05, 30.05, 20.45, -0.537774
1270, 1265, 23.2, 24.5596, 21.6687, 0.0127602, 0.000839552, 1.62378, 0.0821573, 0.175155, 0.917253, 0.00571562, 0.0188281, 0.0544599, 26.15, 22.95, 27.75, 21.35, 29.25, 19.85, -0.867586
1280, 1275, 22.6, 23.5864, 20.6101, 0.0168517, 0.000859747, 1.6712, 0.0800396, 0.178789, 0.938134, 0.00591459, 0.0296699, 0.0548516, 25.15, 22.05, 26.75, 20.45, 28.15, 18.95, -0.642294
1290, 1285, 26.6, 23.0748, 19.9895, 0.0390129, 0.000954954, 1.66104, 0.0836493, 0.20568, 1.01542, 0.00619576, 0.018025, 0.0552775, 24.65, 21.55, 26.15, 19.95, 27.65, 18.55, 2.32068
1300, 1295, 23.4, 22.088, 18.9691, 0.0129823, 0.000937644, 1.71524, 0.0840825, 0.187874, 1.03694, 0.00660452, 0.0185604, 0.0556221, 23.65, 20.55, 25.15, 19.05, 26.55, 17.65, 0.882791
1310, 1305, 21.2, 21.0809, 18.1015, 0.0144788, 0.000972265, 1.69604, 0.0797508, 0.189146, 0.917253, 0.00600089, 0.0198543, 0.0559084, 22.55, 19.55, 24.05, 18.15, 25.45, 16.75, 0.0819991
1320, 1315, 21.7, 20.1944, 17.2558, 0.0146131, 0.00103862, 1.65539, 0.0824942, 0.171521, 0.931676, 0.00617419, 0.0193635, 0.0563031, 21.65, 18.75, 23.05, 17.35, 24.45, 15.95, 1.05952
1330, 1325, 20.7, 19.6937, 16.6162, 0.0146375, 0.102382, 1.68249, 0.0810984, 0.180788, 0.932107, 0.00674268, 0.0204789, 0.0567079, 21.15, 18.25, 22.55, 16.85, 23.95, 15.45, 0.717098
1340, 1335, 20.8, 18.5776, 15.7013, 0.0174888, 0.00414294, 1.582, 0.0759486, 0.174973, 0.936412, 0.00704891, 0.0212374, 0.0570532, 19.95, 17.15, 21.35, 15.85, 22.65, 14.45, 1.63052
1350, 1345, 18.5, 17.843, 15.0124, 0.0180723, 0.000375058, 1.49166, 0.0787401, 0.181515, 0.974299, 0.00782863, 0.0206127, 0.057435, 19.25, 16.45, 20.55, 15.15, 21.85, 13.85, 0.491868
1360, 1355, 17.3, 16.9127, 14.2021, 0.0222565, 0.000328897, 1.36971, 0.0797027, 0.179334, 0.973438, 0.00756885, 0.0204789, 0.0577923, 18.25, 15.55, 19.55, 14.25, 20.85, 13.05, 0.297839
1370, 1365, 16.8, 16.1663, 13.5403, 0.0461046, 0.000354862, 1.24098, 0.0807615, 0.180243, 0.979681, 0.00819268, 0.0314545, 0.0582151, 17.45, 14.85, 18.75, 13.55, 19.95, 12.35, 0.498418
1380, 1375, 15.3, 15.9547, 12.9566, 0.0268679, 0.000444299, 1.19468, 0.0789807, 0.178426, 0.975375, 0.0091955, 0.475566, 0.0585167, 17.25, 14.65, 18.55, 13.35, 19.75, 12.15, -0.518293
1390, 1385, 16, 14.5607, 12.1727, 0.0155334, 0.00049046, 1.04337, 0.0819648, 0.167887, 0.988722, 0.00948618, 0.0216389, 0.0589451, 15.85, 13.35, 17.05, 12.15, 18.15, 10.95, 1.19276
1400, 1395, 12.9, 13.8534, 11.4833, 0.0163439, 0.000510655, 1.06257, 0.0760448, 0.167706, 0.949974, 0.00917659, 0.0284652, 0.0593055, 15.05, 12.65, 16.25, 11.45, 17.35, 10.35, -0.810028
1410, 1405, 14.3, 13.2854, 10.9525, 0.0155236, 0.000470265, 1.02643, 0.0763817, 0.169704, 0.937919, 0.00791282, 0.0389054, 0.0596571, 14.45, 12.05, 15.65, 10.95, 16.75, 9.85, 0.880265
1420, 1415, 13.8, 12.5072, 10.2545, 0.0156555, 0.000530851, 1.03208, 0.0746009, 0.157712, 0.881734, 0.00788782, 0.022442, 0.0599889, 13.65, 11.35, 14.75, 10.25, 15.85, 9.15, 1.156
1430, 1425, 13.9, 11.8465, 9.60342, 0.0340841, 0.000530851, 1.01627, 0.0743603, 0.146992, 0.880658, 0.00870254, 0.0211035, 0.0604217, 12.95, 10.75, 14.05, 9.65, 15.15, 8.55, 1.88664
1440, 1435, 12.3, 11.2582, 9.10875, 0.0151184, 0.000525081, 0.965458, 0.0716169, 0.138634, 0.867742, 0.00806118, 0.0214605, 0.0608391, 12.35, 10.15, 13.45, 9.05, 14.45, 8.05, 0.981851
1450, 1445, 10.4, 10.6415, 8.49301, 0.0174571, 0.000522196, 1.01063, 0.0686329, 0.129731, 0.829424, 0.00912604, 0.0217728, 0.0612469, 11.75, 9.55, 12.75, 8.55, 13.75, 7.55, -0.23415
1460, 1455, 178.8, 184.101, 8.04708, 0.123791, 0.000516425, 174.781, 0.0680553, 0.12319, 0.864513, 0.00867892, 0.0232897, 0.0615796, 188.45, 179.75, 192.75, 175.45, 196.85, 171.35, -1.23555
1472.5, 1465, 9.06667, 8.73586, 7.35879, 0.0203564, 0.000552008, 0.19121, 0.067927, 0.123917, 0.876568, 0.00821376, 0.0262939, 0.0620394, 9.5, 7.96667, 10.3, 7.16667, 11.0333, 6.43333, 0.433472
1487.5, 1480, 7.73333, 7.92666, 6.65657, 0.026933, 0.000534698, 0, 0.0676061, 0.122584, 0.952772, 0.00837203, 0.0286437, 0.0626451, 8.7, 7.16667, 9.43333, 6.43333, 10.1, 5.76667, -0.265944
1502.5, 1495, 7.13333, 7.39914, 6.00353, 0.105592, 0.000492383, 0, 0.0648787, 0.115438, 0.997548, 0.0108682, 0.0375372, 0.0632569, 8.16667, 6.63333, 8.83333, 5.96667, 9.5, 5.3, -0.378458
1515, 1510, 7.5, 6.98103, 5.39837, 0.010236, 0.00048469, 0, 0.0676221, 0.114105, 1.15491, 0.134201, 0.0373885, 0.0637162, 7.85, 6.05, 8.65, 5.25, 9.55, 4.45, 0.621126
1525, 1520, 73.2, 75.7729, 5.06368, 0.00998942, 0.000519311, 0, 3.19047, 9.33628, 58.0681, 0.00637384, 0.0334176, 0.0641229, 78.55, 72.95, 81.35, 70.25, 83.95, 67.55, -0.9347
1537.5, 1530, 5, 4.87651, 4.58126, 0.0149483, 0.000557778, 0, 0.050504, 0.0760701, 0.0144947, 0.00576261, 0.0683522, 0.0645639, 5.5, 4.3, 6.03333, 3.7, 6.63333, 3.16667, 0.216584
1552.5, 1545, 4.26667, 4.3144, 4.04508, 0.0301033, 0.000698184, 0, 0.0500227, 0.0707404, 0.00932824, 0.00538361, 0.0378049, 0.0652388, 4.9, 3.76667, 5.43333, 3.23333, 5.96667, 2.7, -0.088996
1567.5, 1560, 3.33333, 3.79787, 3.5551, 0.0121051, 0.000646253, 0, 0.050119, 0.069408, 0.00818015, 0.00533818, 0.0311719, 0.0658026, 4.36667, 3.23333, 4.83333, 2.76667, 5.3, 2.3, -0.923208
1582.5, 1575, 4.86667, 3.75256, 3.13564, 0.385149, 0.000605862, 0, 0.0501511, 0.0652895, 0.00731908, 0.00480672, 0.037329, 0.0662677, 4.3, 3.23333, 4.76667, 2.7, 5.3, 2.23333, 2.22746
1597.5, 1590, 2.33333, 3.02765, 2.75208, 0.0383579, 0.000580858, 0, 0.0506965, 0.0704981, 0.00818015, 0.00486968, 0.0355741, 0.0668092, 3.5, 2.56667, 3.96667, 2.16667, 4.43333, 1.76667, -1.58534
