bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, Zn65, alpha
-15, -7.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 7.5, 0, 3117.24, 0, 0, 0, 0, 0, 0, 0, 0, 3117.24
15, 22.5, 0, 4.16827, 0, 0, 0, 0, 0, 0, 0, 0, 4.16827
30, 37.5, 47623, 1248.46, 116.467, 182.72, 817.775, 9.3035, 20.0081, 16.9002, 79.7251, 1.54694, 4.01834
45, 52.5, 145816, 3704.71, 375.754, 548.487, 2403.35, 27.1589, 58.5466, 49.2204, 233.646, 4.56179, 3.98357
60, 67.5, 219186, 4198.3, 423.992, 643.051, 2735.93, 28.6327, 61.1146, 53.3835, 243.525, 4.6996, 3.97536
75, 82.5, 295308, 5534.9, 471.778, 837.809, 3738.59, 35.3351, 76.0513, 65.7248, 300.253, 5.33297, 4.02506
90, 97.5, 313338, 6949.19, 521.732, 1010.76, 4809.98, 43.1835, 96.2487, 79.5674, 377.61, 6.15218, 3.96388
105, 112.5, 283616, 7775.51, 572.935, 1094.57, 5418.81, 48.5451, 105.581, 90.0765, 434.309, 6.7103, 3.9732
120, 127.5, 234478, 8059.31, 626.391, 1119.65, 5561.59, 52.0398, 128.338, 94.3742, 465.847, 7.13356, 3.95074
135, 142.5, 186484, 7882.22, 686.757, 1086.3, 5340.97, 52.0385, 114.923, 93.7294, 496.339, 7.21952, 3.94812
150, 157.5, 181758, 9346.84, 944.525, 1350.13, 6113.04, 59.9053, 148.57, 108.203, 611.427, 7.06502, 3.96392
165, 172.5, 173389, 10742.5, 1256.01, 1597.42, 6859.08, 67.6673, 167.454, 126.827, 657.069, 6.85621, 4.09444
180, 187.5, 147362, 10712.9, 1459.06, 1588.52, 6632.13, 67.5568, 168.69, 134.86, 650.785, 6.66131, 4.65925
195, 202.5, 120007, 10434.7, 1628.48, 1525.84, 6244.18, 67.3606, 230.584, 127.335, 600.26, 6.7045, 3.9105
210, 217.5, 95538, 9910.53, 1734.92, 1512, 5780.67, 73.8166, 162.217, 113.172, 521.83, 7.99772, 3.91598
225, 232.5, 77493, 9419.04, 1842.34, 1459.82, 5321.95, 68.0138, 130.895, 103.023, 481.521, 7.56303, 3.92552
240, 247.5, 62061, 8934.25, 1954.73, 1288.96, 4732.63, 59.2115, 113.68, 94.3575, 680.264, 6.49273, 3.93354
255, 262.5, 50548, 8051.98, 2066.83, 1131.03, 4218.57, 52.2286, 119.35, 83.9158, 370.309, 5.79454, 3.94481
270, 277.5, 41583, 7560.86, 2164.41, 1003.47, 3780.81, 46.4232, 118.171, 94.6887, 343.681, 5.24963, 3.95403
285, 292.5, 35422, 7731.69, 2273.28, 896.488, 3406.16, 41.8707, 85.1017, 78.8316, 941.158, 4.84509, 3.96399
300, 307.5, 29237, 6894.83, 2387.45, 811.57, 3261.74, 38.2951, 79.4051, 64.7699, 243.09, 4.53241, 3.97486
315, 322.5, 24550, 6473.01, 2498.56, 742.384, 2785.23, 35.0434, 108.438, 64.9434, 230.122, 4.29908, 3.98806
330, 337.5, 21163, 6398.17, 2602.68, 675.108, 2549.92, 32.5398, 250.182, 58.6999, 220.916, 4.12761, 3.99725
345, 352.5, 18867, 7093.41, 2694.13, 625.329, 2349.28, 30.5396, 52.1879, 55.3778, 1278.62, 3.93831, 4.00951
360, 367.5, 15615, 5809.62, 2784.43, 581.769, 2172.2, 28.712, 49.426, 53.9037, 131.347, 3.80729, 4.02183
375, 382.5, 13516, 5714.7, 2881.64, 541.587, 2020.12, 27.0816, 47.5063, 53.1691, 135.873, 3.69143, 4.03333
390, 397.5, 11743, 5610.74, 2963.16, 506.103, 1882.96, 25.8873, 45.8579, 52.0962, 127.046, 3.58893, 4.04547
405, 412.5, 10288, 5572.82, 3059.45, 484.773, 1767.88, 24.7581, 57.9353, 44.057, 126.387, 3.51543, 4.05833
420, 427.5, 9041, 5491.18, 3138.5, 457.354, 1663.9, 23.7767, 42.091, 40.1712, 117.869, 3.45206, 4.07187
435, 442.5, 8089, 5453.02, 3224.69, 445.769, 1571.18, 22.9035, 42.639, 37.5051, 100.859, 3.39185, 4.08481
450, 457.5, 7493, 5439.43, 3299.45, 418.612, 1486.89, 22.1656, 66.721, 38.9695, 99.1872, 3.33762, 4.09685
465, 472.5, 6835, 5384.02, 3373.39, 400.511, 1411.89, 21.4537, 42.8928, 33.6122, 92.8776, 3.28005, 4.11045
480, 487.5, 6092, 5366.67, 3443.69, 382.96, 1345.58, 20.8918, 37.9109, 32.4219, 95.8559, 3.24105, 4.12277
495, 502.5, 5893, 5392.4, 3490.63, 379.015, 1331.64, 20.4483, 41.3424, 42.301, 79.6354, 3.25334, 4.13625
510, 517.5, 6360, 5501.12, 3548.33, 390.796, 1339.43, 20.2251, 39.2064, 72.4992, 82.7482, 3.73036, 4.15301
525, 532.5, 5328, 5283.91, 3594.82, 346.457, 1173.5, 19.4024, 36.4591, 27.9793, 77.7131, 3.42131, 4.1636
540, 547.5, 5215, 5282.91, 3655.12, 336.097, 1128.68, 19.0515, 38.8276, 25.7228, 71.8094, 3.42166, 4.177
555, 562.5, 5224, 5280.59, 3701.83, 329.33, 1087.02, 18.7064, 43.1118, 24.6488, 68.3121, 3.43068, 4.19026
570, 577.5, 5516, 5483.75, 3729.55, 319.181, 1048.65, 18.4892, 40.2515, 246.078, 73.9398, 3.41245, 4.20528
585, 592.5, 5168, 5232.02, 3753.42, 313.908, 1013, 18.1824, 36.3868, 24.3181, 65.1624, 3.42055, 4.21726
600, 607.5, 5851, 5755.84, 3785.53, 305.195, 980.803, 17.9541, 36.9774, 14.7688, 606.947, 3.43304, 4.2331
615, 622.5, 5166, 5185.48, 3810.95, 299.992, 951.162, 17.7622, 37.9692, 14.2844, 45.6791, 3.4425, 4.24649
630, 637.5, 5134, 5152.35, 3815.15, 293.527, 923.453, 17.63, 36.0665, 13.9978, 44.8095, 3.45594, 4.26071
645, 652.5, 5190, 5133.21, 3825.7, 288.425, 899.538, 17.5405, 37.2168, 13.8153, 43.217, 3.48193, 4.27452
660, 667.5, 5328, 5129.46, 3840.51, 284.192, 875.581, 17.4883, 39.6339, 12.8113, 51.4543, 3.4987, 4.28947
675, 682.5, 5063, 5098.38, 3844.53, 279.017, 855.101, 17.4259, 40.3318, 12.1769, 41.9373, 3.55018, 4.30411
690, 697.5, 5050, 5061.11, 3826.34, 278.953, 834.108, 17.4121, 40.3307, 11.9054, 44.152, 3.59298, 4.31953
705, 712.5, 5073, 5023.21, 3818.25, 274.053, 814.281, 17.3438, 37.2547, 11.4849, 42.5776, 3.63364, 4.33417
720, 727.5, 5048, 5061.28, 3802.33, 271.341, 796.964, 17.4028, 35.9934, 87.875, 41.326, 3.70368, 4.34837
735, 742.5, 4853, 4931.74, 3777.27, 267.174, 779.945, 17.5148, 32.3231, 8.67041, 40.7108, 3.76692, 4.36441
750, 757.5, 4709, 4896.04, 3754.11, 265.857, 764.015, 17.5831, 35.3349, 11.2398, 39.6523, 3.86759, 4.37832
765, 772.5, 4843, 4883.49, 3713.09, 265.252, 750.234, 17.7109, 35.0774, 8.15876, 85.6057, 3.96507, 4.39262
780, 787.5, 4894, 4825.63, 3687.12, 259.933, 737.014, 17.9373, 39.6094, 15.5179, 60.0264, 4.06825, 4.40735
795, 802.5, 4662, 4730.84, 3631.01, 260.113, 723.666, 18.1672, 31.2592, 7.20722, 50.764, 4.22173, 4.42718
810, 817.5, 4599, 4664.43, 3598.63, 258.184, 713.714, 18.9602, 20.258, 7.20692, 38.6574, 4.39045, 4.43831
825, 832.5, 4602, 4609.21, 3535.15, 254.216, 702.775, 18.8156, 34.8876, 7.13245, 47.2296, 4.55246, 4.45251
840, 847.5, 4562, 4538.7, 3497.66, 256.12, 691.748, 19.2706, 19.1384, 6.96758, 38.5363, 4.78966, 4.46846
855, 862.5, 4514, 4497.04, 3436.51, 256.748, 682.509, 19.7309, 14.8251, 40.5211, 36.7063, 5.01508, 4.48274
870, 877.5, 4429, 4394.04, 3376.17, 254.47, 673.93, 20.3021, 16.447, 5.88267, 37.0994, 5.24327, 4.49939
885, 892.5, 4310, 4344.8, 3312.47, 259.769, 681.399, 21.0746, 14.3317, 8.1823, 37.5838, 5.47348, 4.51364
900, 907.5, 4526, 4483.62, 3244.88, 259.469, 665.716, 21.8698, 238.704, 5.57445, 37.6301, 5.24856, 4.52921
915, 922.5, 4176, 4156.1, 3162.74, 258.953, 652.784, 22.8249, 9.6269, 5.59393, 34.6487, 4.38475, 4.54363
930, 937.5, 4004, 4104.56, 3085.19, 261.305, 647.968, 23.791, 10.5972, 5.28307, 61.838, 4.0304, 4.55806
945, 952.5, 4042, 4037.76, 3015.69, 295.297, 643.359, 24.7223, 11.7297, 6.2095, 32.3826, 3.78766, 4.57418
960, 967.5, 4063, 4086.35, 2938.29, 264.678, 639.965, 21.6021, 173.546, 4.98779, 35.1551, 3.53793, 4.58916
975, 982.5, 3810, 3831.99, 2855.7, 268.497, 636.589, 19.6757, 7.43166, 5.22009, 31.083, 3.18536, 4.60589
990, 997.5, 3763, 3736.06, 2762.64, 272.04, 634.181, 19.1666, 5.00928, 4.83695, 30.9022, 2.6663, 4.62033
1005, 1012.5, 3687, 3725.16, 2678.4, 275.123, 705.018, 18.8862, 5.91344, 4.74623, 30.3012, 2.13776, 4.63645
1020, 1027.5, 3484, 3589.97, 2604.7, 277.794, 642.051, 18.4594, 5.94314, 4.75567, 29.7725, 1.84612, 4.65226
1035, 1042.5, 3452, 3492.45, 2512.12, 284.356, 633.21, 18.0848, 5.49152, 4.65456, 28.3478, 1.51853, 4.66643
1050, 1057.5, 3385, 3407.08, 2418.25, 291.558, 633.297, 17.7055, 5.88907, 4.60748, 29.7632, 1.33532, 4.68222
1065, 1072.5, 3307, 3339.89, 2339.54, 295.702, 637.758, 17.7021, 6.12718, 7.74664, 29.4099, 1.20622, 4.69826
1080, 1087.5, 3278, 3259.65, 2248.68, 306.752, 641.342, 17.7576, 4.481, 7.6002, 27.1611, 1.1646, 4.71384
1095, 1102.5, 3224, 3185.71, 2161.35, 315.295, 645.786, 18.05, 6.0432, 5.04137, 28.3407, 1.0706, 4.7285
1110, 1117.5, 3337, 3353.84, 2077.62, 323.723, 650.824, 16.2676, 8.22051, 4.40131, 154.092, 113.947, 4.74443
1125, 1132.5, 3056, 3066.67, 1986.87, 335.016, 659.583, 13.2067, 3.9161, 4.35513, 27.4287, 31.5323, 4.75986
1140, 1147.5, 2916, 2972.23, 1893.96, 350.371, 670.008, 12.2609, 4.94184, 4.2887, 31.5203, 0.108047, 4.77589
1155, 1162.5, 2882, 2916.93, 1810.79, 364.387, 681.932, 13.3562, 4.62363, 4.31943, 32.6325, 0.0988747, 4.79067
1170, 1177.5, 2979, 3018.5, 1713.47, 381.112, 696.387, 189.619, 3.90496, 4.28971, 24.8223, 0.0879188, 4.80657
1185, 1192.5, 2866, 2797.24, 1637.03, 403.046, 713.864, 7.46636, 3.58878, 4.28481, 23.0697, 0.0756055, 4.82114
1200, 1207.5, 2814, 2749.28, 1545.49, 424.545, 735.446, 6.49429, 3.6088, 4.27697, 24.5199, 0.0655222, 4.83892
1215, 1222.5, 2715, 2718.16, 1466.06, 451.044, 759.505, 5.64303, 3.86237, 4.28663, 22.8468, 0.0556716, 4.85458
1230, 1237.5, 2725, 2712.96, 1387.91, 447.932, 788.774, 4.99934, 4.3339, 4.28293, 69.816, 0.0434746, 4.86964
1245, 1252.5, 2493, 2503.42, 1304.85, 327.701, 823.638, 4.44042, 9.2487, 4.29856, 24.3179, 0.0344772, 4.88403
1260, 1267.5, 2395, 2422.94, 1231.92, 290.072, 862.386, 4.17504, 3.54182, 4.34528, 21.5625, 0.0265657, 4.90352
1275, 1282.5, 2427, 2379.53, 1152.61, 272.722, 901.512, 3.94249, 6.43867, 4.41767, 32.9535, 0.0177816, 4.92072
1290, 1297.5, 2340, 2280.77, 1081.36, 248.929, 912.89, 3.97491, 3.43359, 4.33163, 20.9019, 0.0137288, 4.9361
1305, 1312.5, 1986, 1967.53, 1006.32, 226.443, 696.68, 3.87965, 3.68195, 4.33466, 21.2279, 0.0064766, 4.94953
1320, 1327.5, 1989, 1948.54, 941.328, 198.598, 606.983, 168.051, 3.47115, 4.33096, 20.8109, 0.002579, 4.96746
1335, 1342.5, 1778, 1640.76, 871.625, 165.809, 563.403, 5.80589, 3.73781, 4.50404, 20.8948, 0.000465384, 4.98218
1350, 1357.5, 1521, 1510.57, 810.559, 140.626, 524.382, 1.44705, 3.95956, 4.35895, 20.2419, 0, 4.99845
1365, 1372.5, 1522, 1441.12, 753.528, 118.468, 480.569, 1.41466, 4.72203, 4.43269, 72.9735, 0, 5.01455
1380, 1387.5, 1279, 1270.14, 693.363, 104.139, 431.233, 1.45534, 2.97363, 4.43575, 27.5073, 0, 5.03037
1395, 1402.5, 1204, 1168.05, 636.708, 95.2496, 375.154, 1.47935, 2.91557, 4.23178, 47.2687, 0, 5.04612
1410, 1417.5, 1019, 1037.52, 585.22, 89.309, 328.151, 1.41846, 2.61061, 4.11096, 21.6409, 0, 5.06075
1425, 1432.5, 942, 936.52, 531.224, 87.1288, 284.161, 1.36771, 2.9919, 4.03803, 20.5302, 0, 5.0788
1440, 1447.5, 866, 864.155, 485.002, 92.4809, 253.575, 1.32646, 2.19879, 3.96336, 20.5126, 0, 5.09558
1455, 1462.5, 6546, 6627.73, 443.913, 5907.72, 238.61, 1.31319, 6.19206, 3.86851, 21.0018, 0, 5.11093
1470, 1477.5, 670, 656.988, 396.631, 0.166955, 225.868, 1.2758, 1.97581, 3.85371, 22.0896, 0, 5.12735
1485, 1492.5, 558, 619.085, 359.43, 0, 221.897, 1.21521, 5.17447, 3.80157, 22.4218, 0, 5.14498
1500, 1507.5, 574, 594.428, 323.341, 0, 215.775, 1.14222, 3.81514, 6.60427, 38.589, 0, 5.1609
1515, 1522.5, 10214, 10217.1, 286.104, 0, 9897.14, 1.12824, 1.0379, 3.74291, 22.7587, 0, 5.17746
1530, 1537.5, 374, 343.646, 256.434, 0, 46.3881, 1.14697, 1.24633, 3.57233, 29.6656, 0, 5.19316
1545, 1552.5, 295, 277.432, 225.578, 0, 21.1311, 1.23277, 2.09708, 3.5754, 18.6056, 0, 5.21252
1560, 1567.5, 257, 247.666, 198.87, 0, 20.6999, 1.13409, 1.06, 3.59435, 17.0791, 0, 5.22806
1575, 1582.5, 264, 249.145, 175.402, 0, 20.7104, 1.02272, 21.5525, 3.65793, 21.5578, 0, 5.24128
1590, 1597.5, 200, 207.735, 153.262, 0, 21.0633, 0.943222, 1.8451, 6.89212, 18.472, 0, 5.25695
1605, 1612.5, 183, 181.895, 131.714, 0, 20.6598, 0.885101, 0.557523, 7.49567, 15.3104, 0, 5.27253
1620, 1627.5, 209, 177.763, 112.559, 0, 20.5056, 0.842296, 11.9063, 13.2172, 13.445, 0, 5.28828
1635, 1642.5, 149, 142.22, 96.6265, 0, 20.1913, 0.812394, 3.58063, 3.68456, 12.02, 0, 5.30451
1650, 1657.5, 141, 133.11, 82.1261, 0, 19.6826, 0.788881, 0.275718, 3.68763, 21.2299, 0, 5.3195
1665, 1672.5, 126, 110.925, 70.1406, 0, 19.2818, 0.762204, 1.42998, 4.08751, 9.8881, 0, 5.33487
1680, 1687.5, 102, 99.6372, 57.5827, 0, 18.565, 0.736745, 0.680684, 3.88099, 12.84, 0, 5.35111
1695, 1702.5, 78, 84.4293, 47.6782, 0, 17.5855, 0.727685, 0.390768, 3.73932, 8.94023, 0, 5.36767
1710, 1717.5, 77, 73.7928, 38.3289, 0, 16.5675, 0.698984, 0.258702, 3.75772, 8.7991, 0, 5.38191
1725, 1732.5, 125, 107.092, 32.4662, 0, 16.0095, 0.693786, 0.344265, 3.79133, 48.3885, 0, 5.39819
1740, 1747.5, 63, 58.4326, 25.6016, 0, 15.1612, 0.67605, 0.186742, 3.81985, 7.57264, 0, 5.41449
1755, 1762.5, 213, 235.714, 19.6634, 0, 14.9932, 0.668436, 0.160451, 3.89741, 190.902, 0, 5.42911
1770, 1777.5, 47, 45.5995, 15.7114, 0, 14.2654, 0.656356, 0.0582944, 3.95317, 5.51098, 0, 5.44392
1785, 1792.5, 46, 40.7892, 11.7449, 0, 13.8464, 0.645118, 0.0801438, 3.9543, 5.05627, 0, 5.46205
1800, 1807.5, 46, 38.7597, 9.21227, 0, 13.3951, 0.642918, 0.0636384, 4.85802, 5.10938, 0, 5.47842
1815, 1822.5, 25, 35.0762, 6.51211, 0, 12.8775, 0.625664, 0.30963, 3.98624, 5.27073, 0, 5.49429
1830, 1837.5, 41, 41.1507, 4.92894, 0, 17.2544, 0.626583, 0.174577, 3.99358, 8.66191, 0, 5.51068
1845, 1852.5, 53, 55.7361, 3.53977, 0, 11.7842, 0.619525, 0.0537097, 4.0476, 30.1653, 0, 5.52613
1860, 1867.5, 27, 30.4411, 2.02333, 0, 11.5036, 0.618716, 0.0504443, 4.12096, 6.5836, 0, 5.54046
1875, 1882.5, 28, 29.2278, 1.54342, 0, 11.1476, 0.605542, 0.291878, 4.20277, 5.87833, 0, 5.55834
1890, 1897.5, 35, 29.379, 0.905749, 0, 10.7502, 0.604766, 0.0380473, 4.25942, 7.24723, 0, 5.57364
1905, 1912.5, 33, 28.3373, 0.422128, 0, 12.1181, 0.615915, 0.077624, 4.33944, 5.17518, 0, 5.58892
1920, 1927.5, 38, 42.8805, 0.286737, 0, 26.4185, 0.600389, 0.138355, 4.39241, 5.44026, 0, 5.60385
1935, 1942.5, 22, 26.9173, 0.104577, 0, 9.7811, 0.600707, 0.0412803, 4.31153, 6.45859, 0, 5.61946
1950, 1957.5, 29, 25.8856, 0.111345, 0, 9.29298, 0.604142, 0.491754, 4.27197, 5.47833, 0, 5.63504
1965, 1972.5, 32, 24.8646, 0.0328779, 0, 8.98338, 0.597129, 0.101334, 4.2773, 5.22031, 0, 5.65231
1980, 1987.5, 29, 24.0012, 0, 0, 8.9054, 0.595225, 0.00378361, 4.32027, 4.50988, 0, 5.6666
1995, 2002.5, 19, 23.5354, 0, 0, 8.58737, 0.583223, 0.00262488, 4.30781, 4.37081, 0, 5.6836
2010, 2017.5, 7, 24.3453, 0, 0, 8.25832, 0.581384, 0.00398226, 4.36413, 5.43849, 0, 5.69897
2025, 2032.5, 0, 22.5287, 0, 0, 8.11948, 0.571854, 0.00987325, 4.43975, 3.67241, 0, 5.71529
2040, 2047.5, 1, 22.4993, 0, 0, 7.8624, 0.56091, 4.81191e-05, 4.47811, 3.86624, 0, 5.73157
2055, 2062.5, 14, 21.5793, 0, 0, 7.51993, 0.569272, 0.00063454, 4.56293, 3.17795, 0, 5.74854
2070, 2077.5, 16, 21.4428, 0, 0, 7.46995, 0.565978, 0, 4.63386, 3.0092, 0, 5.76377
2085, 2092.5, 30, 21.439, 0, 0, 7.23808, 0.553285, 1.28668e-05, 4.81614, 3.05001, 0, 5.78145
2100, 2107.5, 40, 30.0515, 0, 0, 6.97501, 0.549817, 2.23854e-05, 13.6595, 3.06669, 0, 5.80042
2115, 2122.5, 35, 33.471, 0, 0, 6.76504, 0.545123, 0.000387774, 5.10351, 15.2416, 0, 5.81535
2130, 2137.5, 17, 20.1799, 0, 0, 6.75234, 0.546293, 0, 5.17054, 1.87819, 0, 5.83251
2145, 2152.5, 22, 20.4053, 0, 0, 6.58513, 0.548339, 0, 5.2959, 2.12801, 0, 5.84792
2160, 2167.5, 13, 19.9705, 0, 0, 6.33227, 0.552518, 0, 5.40485, 1.81551, 0, 5.86537
2175, 2182.5, 15, 20.0667, 0, 0, 6.04948, 0.562192, 0, 5.58231, 1.98941, 0, 5.88333
2190, 2197.5, 52, 59.3724, 0, 0, 5.82322, 0.572289, 0, 5.66688, 41.4109, 0, 5.89919
2205, 2212.5, 42, 31.9813, 0, 0, 5.51221, 0.591909, 0, 5.83215, 14.1302, 0, 5.9148
