bin_low_edge, bin_center, fitted_data, total_model, Nnbb, K40, K42, Co60, Ac228, Bi212Tl208, Pb214Bi214, Zn65, alpha
3015, 3022.5, 10, 7.79253, 0, 0, 0.209527, 0, 0, 0.589012, 0.00399293, 0, 6.99
3030, 3037.5, 5, 7.71388, 0, 0, 0.185384, 0, 0, 0.511091, 0.00317067, 0, 7.01424
3045, 3052.5, 6, 7.82049, 0, 0, 0.171212, 0, 0, 0.445083, 0.166985, 0, 7.03721
3060, 3067.5, 7, 7.6399, 0, 0, 0.168931, 0, 0, 0.405246, 0.00211484, 0, 7.06361
3075, 3082.5, 4, 7.64342, 0, 0, 0.152005, 0, 0, 0.362109, 0.040982, 0, 7.08833
3090, 3097.5, 7, 7.59768, 0, 0, 0.154164, 0, 0, 0.325245, 0.00387456, 0, 7.1144
3105, 3112.5, 7, 7.58022, 0, 0, 0.138684, 0, 0, 0.297924, 0.000235158, 0, 7.14338
3120, 3127.5, 7, 8.22182, 0, 0, 0.134093, 0, 0, 0.919513, 0.000587103, 0, 7.16763
3135, 3142.5, 4, 7.55601, 0, 0, 0.117391, 0, 0, 0.245712, 0.00176131, 0, 7.19114
3150, 3157.5, 6, 7.57894, 0, 0, 0.110214, 0, 0, 0.24046, 0.00728039, 0, 7.22099
3165, 3172.5, 7, 7.60182, 0, 0, 0.126716, 0, 0, 0.227585, 0.000235158, 0, 7.24729
3180, 3187.5, 6, 7.85692, 0, 0, 0.120515, 0, 0, 0.447106, 0.013153, 0, 7.27615
3195, 3202.5, 14, 11.0014, 0, 0, 0.104486, 0, 0, 3.5959, 0, 0, 7.30098
3210, 3217.5, 8, 7.54493, 0, 0, 0.09625, 0, 0, 0.118915, 0, 0, 7.32976
3225, 3232.5, 7, 7.57436, 0, 0, 0.093924, 0, 0, 0.122112, 0, 0, 7.35833
3240, 3247.5, 5, 7.55446, 0, 0, 0.0538141, 0, 0, 0.112836, 0, 0, 7.38781
3255, 3262.5, 6, 7.60388, 0, 0, 0.0732127, 0, 0, 0.115523, 0, 0, 7.41514
3270, 3277.5, 10, 7.62265, 0, 0, 0.0731573, 0, 0, 0.103395, 0, 0, 7.4461
3285, 3292.5, 7, 7.6181, 0, 0, 0.0494473, 0, 0, 0.0924647, 0, 0, 7.47618
3300, 3307.5, 7, 7.63761, 0, 0, 0.041118, 0, 0, 0.0908353, 0, 0, 7.50565
3315, 3322.5, 5, 7.65575, 0, 0, 0.0335529, 0, 0, 0.0815916, 0, 0, 7.5406
3330, 3337.5, 11, 7.69059, 0, 0, 0.0373141, 0, 0, 0.0822067, 0, 0, 7.57107
3345, 3352.5, 7, 7.68833, 0, 0, 0.0192855, 0, 0, 0.0683848, 0, 0, 7.60066
3360, 3367.5, 6, 7.71771, 0, 0, 0.0186737, 0, 0, 0.0660349, 0, 0, 7.633
3375, 3382.5, 5, 7.77459, 0, 0, 0.0119735, 0, 0, 0.0969628, 0, 0, 7.66565
3390, 3397.5, 2, 7.76166, 0, 0, 0.0133497, 0, 0, 0.0487548, 0, 0, 7.69955
3405, 3412.5, 6, 7.7839, 0, 0, 0.00453696, 0, 0, 0.047252, 0, 0, 7.73211
3420, 3427.5, 4, 7.8213, 0, 0, 0.0088915, 0, 0, 0.04356, 0, 0, 7.76885
3435, 3442.5, 7, 8.58738, 0, 0, 0.744962, 0, 0, 0.0404009, 0, 0, 7.80201
3450, 3457.5, 6, 7.91344, 0, 0, 0.0344199, 0, 0, 0.039816, 0, 0, 7.83921
3465, 3472.5, 7, 8.44969, 0, 0, 0, 0, 0, 0.573463, 0, 0, 7.87622
