counts, pvalue
400, 0.450183
450, 0.441578
500, 0.420442
550, 0.407257
600, 0.381644
650, 0.353538
700, 0.331339
750, 0.307217
800, 0.285236
850, 0.259499
900, 0.223009
950, 0.212863
1000, 0.187671
1050, 0.158458
1100, 0.149606
1150, 0.125391
1200, 0.114695
1250, 0.0974821
1300, 0.0808459
1350, 0.0714863
1400, 0.0618182
1450, 0.0567276
1500, 0.043632
