counts, pvalue
400, 0.395848
450, 0.368308
500, 0.343651
550, 0.320449
600, 0.275497
650, 0.258788
700, 0.228252
750, 0.208779
800, 0.176944
850, 0.146317
900, 0.13017
950, 0.117117
1000, 0.0934494
1050, 0.0800486
1100, 0.0712985
1150, 0.0544314
1200, 0.0456385
1250, 0.037438
1300, 0.0331548
1350, 0.0279211
1400, 0.0234438
1450, 0.0196158
1500, 0.0149057
