counts, pvalue
50, 0.508047
100, 0.487311
150, 0.436353
170, 0.402897
200, 0.355917
220, 0.312755
250, 0.262399
300, 0.177828
350, 0.110546
400, 0.0587395
450, 0.0285627
500, 0.0110036
