counts, pvalue
400, 0.343959
450, 0.289382
500, 0.254413
550, 0.201847
600, 0.161138
650, 0.123969
700, 0.102232
750, 0.0759806
800, 0.0586965
850, 0.0425379
900, 0.0287386
950, 0.0224431
1000, 0.0148377
