xunit, xunit_low, fitted_data, total_model, Nnbb_semicoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
21.5, 21, 0, 0.00814507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00814507, 0.5, 0, 0.5, 0, 1.5, 0, -0.291457
22.5, 22, 0, 0.00803086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00803086, 0.5, 0, 0.5, 0, 1.5, 0, -0.291191
23.5, 23, 0, 0.00775917, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00775917, 0.5, 0, 0.5, 0, 1.5, 0, -0.277451
24.5, 24, 0, 0.00757771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00757771, 0.5, 0, 0.5, 0, 1.5, 0, -0.277053
25.5, 25, 0, 0.00738476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00738476, 0.5, 0, 0.5, 0, 1.5, 0, -0.276619
26.5, 26, 0, 0.00726013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00726013, 0.5, 0, 0.5, 0, 1.5, 0, -0.276332
27.5, 27, 0, 0.00711766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00711766, 0.5, 0, 0.5, 0, 1.5, 0, -0.275998
28.5, 28, 0, 0.00695628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00695628, 0.5, 0, 0.5, 0, 1.5, 0, -0.275611
29.5, 29, 0, 0.00695625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00695625, 0.5, 0, 0.5, 0, 1.5, 0, -0.275611
30.5, 30, 0, 0.00687344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00687344, 0.5, 0, 0.5, 0, 1.5, 0, -0.275409
31.5, 31, 0, 0.00679163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00679163, 0.5, 0, 0.5, 0, 1.5, 0, -0.275207
32.5, 32, 0, 0.0067367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0067367, 0.5, 0, 0.5, 0, 1.5, 0, -0.27507
33.5, 33, 0, 0.0066956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0066956, 0.5, 0, 0.5, 0, 1.5, 0, -0.274967
34.5, 34, 0, 0.00661787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00661787, 0.5, 0, 0.5, 0, 1.5, 0, -0.27477
35.5, 35, 0, 0.00658067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00658067, 0.5, 0, 0.5, 0, 1.5, 0, -0.274674
36.5, 36, 0, 0.00652394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00652394, 0.5, 0, 0.5, 0, 1.5, 0, -0.274528
37.5, 37, 0, 0.00649322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00649322, 0.5, 0, 0.5, 0, 1.5, 0, -0.274448
38.5, 38, 0, 0.00638621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00638621, 0.5, 0, 0.5, 0, 1.5, 0, -0.274168
39.5, 39, 0, 0.00645012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00645012, 0.5, 0, 0.5, 0, 1.5, 0, -0.274336
40.5, 40, 2105, 24.0621, 2.52405, 0.0329813, 0.330346, 0.0390983, 0.0157923, 0.281843, 0.0198552, 0.0679346, 0.187359, 0.297048, 0.0791487, 2.25699, 0.63797, 0.328857, 0.118761, 8.85596, 1.13331, 0.00109223, 0.113598, 2.68416, 2.5346, 1.21827, 0.0277316, 0.165016, 0.0719527, 0.0318944, 0.00644596, 28.5, 18.5, 34.5, 14.5, 39.5, 10.5, 3.42641
41.5, 41, 1985, 24.2503, 2.60498, 0.0330078, 0.329315, 0.0394693, 0.0158894, 0.274604, 0.0191991, 0.06817, 0.186931, 0.310309, 0.0737127, 2.27066, 0.587844, 0.33085, 0.119753, 8.79805, 1.12939, 0.00120688, 0.105267, 2.90009, 2.52534, 1.22482, 0.0278091, 0.161778, 0.0726019, 0.0328788, 0.00634647, 28.5, 18.5, 34.5, 14.5, 40.5, 10.5, 3.4276
42.5, 42, 1936, 23.9998, 2.61654, 0.0328933, 0.329913, 0.0388252, 0.015962, 0.261356, 0.0197124, 0.068192, 0.179624, 0.2997, 0.0756697, 2.15667, 0.646173, 0.314241, 0.119208, 8.68816, 1.14388, 0.00124913, 0.109054, 2.79379, 2.53432, 1.25365, 0.0273349, 0.161813, 0.0722876, 0.0331151, 0.00641888, 28.5, 18.5, 34.5, 14.5, 39.5, 10.5, 3.42601
43.5, 43, 1909, 24.5864, 2.71159, 0.0324458, 0.331109, 0.0395323, 0.0161817, 0.270609, 0.0199747, 0.0678505, 0.185384, 0.307657, 0.0739301, 2.30714, 0.657109, 0.336165, 0.118956, 8.78687, 1.17194, 0.00105602, 0.101481, 2.99643, 2.51732, 1.23177, 0.0273531, 0.164701, 0.0725507, 0.0329969, 0.00633742, 29.5, 19.5, 34.5, 14.5, 40.5, 10.5, 3.4297
44.5, 44, 1767, 24.3027, 2.77496, 0.0326924, 0.328985, 0.0394063, 0.0155069, 0.258269, 0.0192291, 0.0671341, 0.182487, 0.305889, 0.0737127, 2.27066, 0.621565, 0.33085, 0.118508, 8.65131, 1.17676, 0.0012793, 0.131016, 2.83697, 2.52465, 1.23995, 0.0280188, 0.162181, 0.0718605, 0.0325441, 0.00633922, 28.5, 18.5, 34.5, 14.5, 40.5, 10.5, 3.42793
45.5, 45, 1776, 24.4762, 2.77111, 0.0324106, 0.328532, 0.0392873, 0.0157353, 0.272309, 0.0196143, 0.068047, 0.182125, 0.312077, 0.0828452, 2.15212, 0.625211, 0.313577, 0.119558, 8.7566, 1.10314, 0.00120085, 0.106024, 3.08944, 2.53626, 1.24813, 0.0276222, 0.163546, 0.0722329, 0.0311266, 0.00632335, 29.5, 19.5, 34.5, 14.5, 40.5, 10.5, 3.42902
46.5, 46, 1740, 24.5996, 2.84989, 0.0323789, 0.328058, 0.0389863, 0.0155512, 0.261141, 0.0193733, 0.0673086, 0.184791, 0.336831, 0.0702336, 2.17035, 0.622477, 0.316234, 0.11984, 8.77305, 1.15926, 0.00139999, 0.113598, 3.06951, 2.5118, 1.23688, 0.0280371, 0.161691, 0.0713411, 0.0332923, 0.0062691, 29.5, 19.5, 34.5, 14.5, 40.5, 10.5, 3.42979
47.5, 47, 1766, 24.4854, 2.89399, 0.0318328, 0.326882, 0.0390213, 0.0157053, 0.266804, 0.0192583, 0.067597, 0.176628, 0.328874, 0.0769743, 2.11564, 0.628856, 0.308262, 0.119208, 8.67368, 1.15413, 0.00124913, 0.124957, 3.07615, 2.52119, 1.21418, 0.0278365, 0.166538, 0.0721509, 0.0315007, 0.00629063, 29.5, 19.5, 34.5, 14.5, 40.5, 10.5, 3.42908
48.5, 48, 1719, 24.8696, 2.93595, 0.0322873, 0.327841, 0.0388883, 0.0158177, 0.259358, 0.0195083, 0.0680556, 0.18094, 0.300584, 0.0754522, 2.22507, 0.610629, 0.324206, 0.115495, 8.83227, 1.1653, 0.0012974, 0.0946647, 3.18578, 2.50765, 1.24915, 0.0272939, 0.165576, 0.0717785, 0.0325835, 0.00620178, 29.5, 19.5, 35.5, 15.5, 40.5, 10.5, 3.43145
49.5, 49, 1691, 24.6728, 3.10037, 0.0325832, 0.325594, 0.0391053, 0.0161788, 0.263837, 0.0193295, 0.0675496, 0.18094, 0.308541, 0.0754522, 2.12932, 0.608806, 0.310255, 0.116283, 8.52431, 1.17616, 0.00120085, 0.102238, 3.22897, 2.50074, 1.24527, 0.0273121, 0.162951, 0.0717511, 0.03154, 0.0062405, 29.5, 19.5, 34.5, 14.5, 40.5, 10.5, 3.43024
50.5, 50, 1686, 25.2758, 3.11964, 0.0317834, 0.323109, 0.0382792, 0.0154386, 0.263488, 0.0199047, 0.0673302, 0.183211, 0.326222, 0.0702336, 2.30258, 0.639793, 0.3355, 0.116905, 8.6217, 1.2003, 0.00115861, 0.108296, 3.40171, 2.5252, 1.26163, 0.0276267, 0.165016, 0.0713616, 0.0322094, 0.00618556, 30.5, 19.5, 35.5, 15.5, 41.5, 11.5, 3.43392
