xunit, xunit_low, fitted_data, total_model, Nnbb_invcoax, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, alpha_high_energy_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
781.5, 776, 29.2727, 28.9089, 22.3656, 0.0291136, 0.14141, 0.0160288, 0.0131274, 0.0983981, 0.00738566, 0.00685392, 0.0896816, 0.107616, 0.050822, 0.826525, 0.201748, 0.12043, 0.0203594, 2.91663, 0.295727, 0.000410889, 0.43532, 0.122913, 0.440145, 0.316006, 0.0165166, 0.0427214, 0.00628987, 0.211115, 0.0100117, 30.5909, 27.2273, 32.2273, 25.5909, 33.7727, 24.0455, 0.224401
792.5, 787, 28, 28.5833, 22.1902, 0.0562807, 0.251913, 0.0308242, 0.00443597, 0.0370252, 0.00263267, 0.00437085, 0.0917972, 0.106651, 0.0527395, 0.818649, 0.204648, 0.119282, 0.0199502, 2.87625, 0.291174, 0.000409244, 0.430501, 0.127443, 0.431288, 0.172886, 0.00811902, 0.0223733, 0.00501171, 0.216424, 0.0100207, 30.2273, 26.9545, 31.8636, 25.3182, 33.4091, 23.7727, -0.361824
803.5, 798, 26.0909, 28.1809, 21.9139, 0.0183036, 0.0924842, 0.0103157, 0.00406759, 0.0341154, 0.0024213, 0.00424053, 0.0920097, 0.111554, 0.0508023, 0.819893, 0.201996, 0.119464, 0.0196622, 2.8461, 0.292381, 0.000435027, 0.442411, 0.128349, 0.433084, 0.256252, 0.0125369, 0.0345796, 0.00647531, 0.222992, 0.0100363, 29.8636, 26.5, 31.4091, 24.9545, 32.9545, 23.4091, -1.30576
814.5, 809, 31.8182, 27.9249, 21.8731, 0.018121, 0.0913118, 0.0101578, 0.00404153, 0.0333249, 0.00238148, 0.00416166, 0.093461, 0.111473, 0.0507825, 0.808701, 0.196942, 0.117833, 0.0195013, 2.78694, 0.284728, 0.000421312, 0.434081, 0.125933, 0.422557, 0.161099, 0.00730119, 0.0206854, 0.00469675, 0.231097, 0.0100399, 29.5909, 26.3182, 31.1364, 24.6818, 32.6818, 23.1364, 2.44351
825.5, 820, 30.5455, 27.6695, 21.5904, 0.021809, 0.10629, 0.0122173, 0.00403475, 0.0335646, 0.00237254, 0.0042199, 0.097773, 0.105687, 0.0533918, 0.81409, 0.198765, 0.118618, 0.0189137, 2.77222, 0.291037, 0.000409244, 0.43353, 0.116269, 0.418335, 0.172886, 0.00817083, 0.0225769, 0.0048505, 0.237062, 0.0100478, 29.3182, 26.0455, 30.8636, 24.5, 32.4091, 22.9545, 1.8133
836.5, 831, 27.2727, 27.5976, 21.3233, 0.0427322, 0.199012, 0.0231344, 0.00395935, 0.0333966, 0.00232443, 0.0041003, 0.0961721, 0.111071, 0.0513953, 0.810359, 0.199428, 0.118074, 0.0189764, 2.75715, 0.284069, 0.000432284, 0.426439, 0.122913, 0.414441, 0.248685, 0.0122057, 0.0322204, 0.00518534, 0.246387, 0.0100577, 29.2273, 25.9545, 30.7727, 24.4091, 32.3182, 22.8636, -0.205098
847.5, 842, 28.1818, 27.1553, 21.186, 0.0141504, 0.0727719, 0.00802458, 0.00383885, 0.0325874, 0.0022508, 0.0040036, 0.0971865, 0.104401, 0.0512569, 0.818235, 0.201333, 0.119222, 0.0188907, 2.71719, 0.286099, 0.000403758, 0.433048, 0.124725, 0.404554, 0.15699, 0.00725891, 0.020057, 0.00453896, 0.256167, 0.0100664, 28.7727, 25.5, 30.3182, 23.9545, 31.8636, 22.4091, 0.653358
858.5, 853, 27.6364, 27.2478, 20.9488, 0.0126806, 0.0659737, 0.00729906, 0.0434879, 0.322449, 0.0232778, 0.0140627, 0.099727, 0.111071, 0.0514348, 0.83523, 0.202991, 0.121698, 0.0186681, 2.67316, 0.27894, 0.000398821, 0.425199, 0.129255, 0.401212, 0.154722, 0.00713621, 0.0199823, 0.00447497, 0.264366, 0.0100753, 28.8636, 25.5909, 30.4091, 24.0455, 31.9545, 22.5, 0.2469
869.5, 864, 26.9091, 26.6429, 20.739, 0.0142361, 0.0732995, 0.00821105, 0.00336329, 0.0272805, 0.00193404, 0.00350276, 0.102166, 0.107294, 0.0523837, 0.811188, 0.203322, 0.118195, 0.0187449, 2.64253, 0.285962, 0.000408695, 0.425475, 0.127443, 0.400961, 0.158403, 0.00735881, 0.0205041, 0.00445665, 0.275225, 0.0100853, 28.2273, 25.0455, 29.7727, 23.5, 31.3182, 21.9545, 0.171018
880.5, 875, 26.5455, 26.2344, 20.3537, 0.0127563, 0.0673485, 0.00736716, 0.00327159, 0.0273357, 0.00187088, 0.00348786, 0.104715, 0.112518, 0.0524232, 0.834815, 0.201831, 0.121638, 0.0183773, 2.6052, 0.284563, 0.000377426, 0.423478, 0.116873, 0.396363, 0.157827, 0.00737414, 0.0203116, 0.00438241, 0.284066, 0.0100951, 27.8636, 24.6818, 29.3182, 23.1364, 30.8636, 21.5909, 0.201428
