xunit, xunit_low, fitted_data, total_model, Ac228_central_fiber_shroud, Ac228_holders, Ac228_mini_shrouds, Bi212Tl208_central_fiber_shroud, Bi212Tl208_holders, Bi212Tl208_mini_shrouds, Bi212Tl208_outer_fiber_shroud, Co60_holders, K40_cables, K40_central_fiber_shroud, K40_close, K40_holders, K40_mini_shrouds, K40_outer_fiber_shroud, K42_above_array, K42_inside_ms, K42_nplus_bege, K42_nplus_invcoax, K42_nplus_semicoax, K42_outside_ms, Pb214Bi214_cables, Pb214Bi214_central_fiber_shroud, Pb214Bi214_mini_shrouds, Pb214Bi214_outer_fiber_shroud, Zn65_invcoax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
1801, 1770, 0.774194, 0.46535, 0.000177916, 0.00178769, 0.000144959, 0.005884, 0.0993353, 0.00542507, 0.00755218, 0.104837, 0, 0, 0, 0, 0, 0, 0.0239496, 0.0289957, 0.000626996, 0.0136928, 0.0196908, 0.00924667, 0.127268, 0.00303056, 0.0120066, 0.00169742, 0, 0.556452, 0.379032, 0.653226, 0.298387, 0.733871, 0.217742, 3.15506
1837.5, 1832, 0.545455, 0.702878, 0.000273054, 0.00279525, 0.000215745, 0.00559705, 0.095856, 0.00523927, 0.00752287, 0.0999874, 0, 0, 0, 0, 0, 0, 0.0308084, 0.118472, 0.000921895, 0.046575, 0.0937705, 0.0280029, 0.147136, 0.00337039, 0.0139983, 0.00233595, 0, 0.954545, 0.409091, 1.22727, 0.227273, 1.59091, 0.0454545, -0.583852
1848, 1843, 0.8, 0.850544, 0.000148565, 0.00158, 0.000124547, 0.00567675, 0.0972758, 0.00532312, 0.00757901, 0.0987946, 0, 0, 0, 0, 0, 0, 0.019182, 0.0172441, 0.000563615, 0.00950433, 0.0139523, 0.00578338, 0.502657, 0.0123928, 0.0468604, 0.00590153, 0, 1.15, 0.55, 1.45, 0.25, 1.85, 0.05, -0.117951
2026.5, 1853, 0.37464, 0.363216, 5.45007e-05, 0.000556993, 4.4419e-05, 0.00652027, 0.111233, 0.00612184, 0.00858265, 0.0858827, 0, 0, 0, 0, 0, 0, 0.0137137, 0.0110033, 0.000353735, 0.00707666, 0.00618922, 0.00384571, 0.0900355, 0.0021327, 0.00848251, 0.00138609, 0, 0.396254, 0.329971, 0.427954, 0.298271, 0.459654, 0.266571, 0.353096
2204, 2200, 1.25, 0.939632, 0, 0, 0, 0.00771759, 0.130058, 0.00716003, 0.00963281, 0.0789659, 0, 0, 0, 0, 0, 0, 0.00736187, 0.0071662, 0.000231571, 0.00444924, 0.00415248, 0.00240974, 0.597709, 0.0132237, 0.0561263, 0.0132682, 0, 1.3125, 0.5625, 1.6875, 0.3125, 2.0625, 0.0625, 0.913092
2409, 2208, 0.291045, 0.287517, 0, 0, 0, 0.00956674, 0.161514, 0.00888722, 0.0110367, 0.0595299, 0, 0, 0, 0, 0, 0, 0.00522998, 0.004502, 0.000139392, 0.00269771, 0.00233448, 0.00152184, 0.018144, 0.000427901, 0.00170145, 0.000284009, 0, 0.314677, 0.25995, 0.34204, 0.232587, 0.366915, 0.207711, 0.131916
2615, 2610, 1.8, 1.28279, 0, 0, 0, 0.0608548, 1.01026, 0.0636199, 0.139895, 6.58324e-06, 0, 0, 0, 0, 0, 0, 0.00088836, 0.00187075, 6.54735e-05, 0.00132531, 0.000996594, 0.00038694, 0.0023212, 5.31195e-05, 0.000225101, 2.3917e-05, 0, 1.65, 0.85, 2.05, 0.55, 2.45, 0.35, 1.39781
2905, 2620, 0.0912281, 0.123466, 0, 0, 0, 0.00633374, 0.106238, 0.00506468, 0.00146003, 2.30991e-07, 0, 0, 0, 0, 0, 0, 0.000604939, 0.00108307, 1.90296e-05, 0.000357401, 0.000617772, 0.000259536, 0.00126133, 3.20973e-05, 0.000118463, 1.49856e-05, 0, 0.139474, 0.107895, 0.153509, 0.0938596, 0.167544, 0.0780702, -2.19042
3197.5, 3190, 0.133333, 0.394152, 0, 0, 0, 0.0220607, 0.352291, 0.0159062, 0.00198591, 0, 0, 0, 0, 0, 0, 0, 0.000504501, 0.000744279, 2.61492e-06, 0.000176707, 0.000221465, 0.00025796, 0, 0, 1.06055e-07, 1.13891e-07, 0, 0.566667, 0.233333, 0.766667, 0.1, 0.966667, 0, -1.77157
3602.5, 3205, 0.0113208, 0.00742449, 0, 0, 0, 0.000320631, 0.00615616, 0.000229178, 2.38795e-05, 0, 0, 0, 0, 0, 0, 0, 0.000165132, 0.000196222, 8.76699e-07, 7.1445e-05, 0.000190126, 7.08348e-05, 0, 0, 0, 0, 0, 0.0106918, 0.00440252, 0.0144654, 0.00188679, 0.018239, 0, 1.2359
4025.22, 4000, 0, 9.94186e-06, 0, 0, 0, 4.06911e-07, 9.26119e-06, 2.72158e-07, 1.60341e-09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000628931, 0, 0.000628931, 0, 0.00188679, 0, -0.277761
