xunit, xunit_low, fitted_data, total_model, Nnbb_bege, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, alpha_high_energy_bege, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
38.5, 38, 0, 0.137006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.137006, 0.5, 0, 1.5, 0, 2.5, 0, -0.612004
39.5, 39, 0, 0.137137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.137137, 0.5, 0, 1.5, 0, 2.5, 0, -0.612015
40.5, 40, 645, 6.18912, 4.4958, 0.0618401, 0.000288757, 0.124211, 0.130007, 0.00726616, 0.346577, 0.111122, 0.774899, 0.13711, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.18948
41.5, 41, 553, 6.25871, 4.63676, 0.0624017, 0.000231006, 0.158086, 0.134822, 0.0145323, 0.309982, 0.05425, 0.750635, 0.137011, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.19175
42.5, 42, 544, 6.13116, 4.51078, 0.0634759, 0.00020213, 0.158086, 0.124229, 0.0145323, 0.335814, 0.039639, 0.747299, 0.137103, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.18756
43.5, 43, 503, 6.20837, 4.54602, 0.0624749, 0.000115503, 0.18067, 0.108821, 0.0108992, 0.333661, 0.0352564, 0.79344, 0.13702, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.19011
44.5, 44, 479, 6.05895, 4.50285, 0.0607904, 0.000144379, 0.112919, 0.123748, 0.0181654, 0.292761, 0.0384187, 0.772066, 0.137089, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.18513
45.5, 45, 525, 6.14893, 4.57245, 0.0614251, 0.000288757, 0.203254, 0.108339, 0.00544962, 0.281998, 0.0386008, 0.740047, 0.137085, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.18815
46.5, 46, 485, 6.14338, 4.598, 0.0641595, 0.000144379, 0.101627, 0.126637, 0.0127158, 0.331509, 0.039302, 0.732327, 0.136968, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.18796
47.5, 47, 459, 6.28052, 4.66143, 0.0636712, 0.000288757, 0.101627, 0.13097, 0.00726616, 0.346577, 0.0363082, 0.79536, 0.137023, 8.5, 3.5, 11.5, 1.5, 14.5, 0, 3.19245
