xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K42_inside_ms, K42_nplus_coax, K42_outside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
47.5, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
48.5, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
49.5, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
50.5, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
51.5, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
52.5, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
53.5, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
54.5, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
55.5, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
56.5, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
57.5, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
58.5, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
59.5, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
60.5, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
61.5, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
62.5, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
63.5, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
64.5, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
65.5, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
66.5, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
67.5, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
68.5, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
69.5, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
70.5, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
71.5, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
72.5, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
73.5, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
74.5, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
75.5, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
76.5, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
77.5, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
78.5, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
79.5, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0
80.5, 80, 0, 0.000466559, 8.13793e-06, 0, 0, 0, 0, 0, 0, 0.000458421, 0.5, 0, 0.5, 0, 0.5, 0, -0.18002
81.5, 81, 0, 0.00165576, 0.000122069, 0, 0, 0, 0, 0, 4.38257e-05, 0.00148987, 0.5, 0, 0.5, 0, 0.5, 0, -0.217058
82.5, 82, 0, 0.0035415, 0.000179035, 0, 0.00102653, 0, 0, 0, 4.38257e-05, 0.0022921, 0.5, 0, 0.5, 0, 1.5, 0, -0.239232
83.5, 83, 0, 0.00547948, 0.000162759, 0, 0, 0, 0, 0.00107633, 0, 0.00424039, 0.5, 0, 0.5, 0, 1.5, 0, -0.258595
84.5, 84, 0, 0.00724116, 0.000219724, 0, 0, 0.000240754, 0, 0.00215265, 4.38257e-05, 0.00458421, 0.5, 0, 0.5, 0, 1.5, 0, -0.276288
85.5, 85, 1, 0.00898334, 0.000358069, 0, 0.00102653, 0, 0, 0.00107633, 0.000219129, 0.00630328, 0.5, 0, 0.5, 0, 1.5, 0, 0.272314
86.5, 86, 0, 0.00937952, 0.000406897, 1.44379e-05, 0, 0, 0, 0.00215265, 4.38257e-05, 0.0067617, 0.5, 0, 0.5, 0, 1.5, 0, -0.294101
87.5, 87, 0, 0.01443, 0.000439448, 0, 0, 0, 0, 0.00538163, 0.000242751, 0.00836618, 0.5, 0, 0.5, 0, 1.5, 0, -0.329285
88.5, 88, 1, 0.0102007, 0.000455724, 0, 0, 0.000240754, 0, 0.00215265, 0.000131477, 0.00722013, 0.5, 0, 0.5, 0, 1.5, 0, 0.284977
89.5, 89, 1, 0.0164146, 0.000545241, 0, 0.00102653, 0, 0, 0.00430531, 0, 0.0105375, 0.5, 0, 0.5, 0, 1.5, 0, 0.311331
90.5, 90, 0, 0.0214604, 0.000504552, 0, 0.00513267, 0, 0, 0.00430531, 0.000286576, 0.0112313, 0.5, 0, 0.5, 0, 1.5, 0, -0.351764
91.5, 91, 0, 0.0145726, 0.000675448, 0, 0.00102653, 0, 0, 0.00107633, 0.000219129, 0.0115751, 0.5, 0, 0.5, 0, 1.5, 0, -0.329504
92.5, 92, 0, 0.0174232, 0.00066731, 0, 0.00102653, 0.000240754, 0, 0.00215265, 0.00039785, 0.0129381, 0.5, 0, 0.5, 0, 1.5, 0, -0.333445
93.5, 93, 0, 0.0184627, 0.000634759, 0, 0, 0.000240754, 0, 0.00538163, 0.000286576, 0.0119189, 0.5, 0, 0.5, 0, 1.5, 0, -0.348216
94.5, 94, 0, 0.0175626, 0.000927724, 0, 0, 0.000240754, 0, 0.00215265, 0.000374228, 0.0138672, 0.5, 0, 0.5, 0, 1.5, 0, -0.333619
95.5, 95, 0, 0.0227613, 0.000952138, 0, 0.00102653, 0, 0.000908269, 0.00322898, 0.000262954, 0.0163824, 0.5, 0, 0.5, 0, 1.5, 0, -0.36672
96.5, 96, 1, 0.0198981, 0.00104166, 1.44379e-05, 0.00205307, 0.000240754, 0, 0.00107633, 0.000573153, 0.0148987, 0.5, 0, 0.5, 0, 1.5, 0, 0.322108
97.5, 97, 0, 0.0231236, 0.000944, 0, 0.00205307, 0, 0, 0.00322898, 0.000394431, 0.0165031, 0.5, 0, 0.5, 0, 1.5, 0, -0.36712
98.5, 98, 0, 0.0232831, 0.00104166, 0, 0, 0.000240754, 0, 0.00322898, 0.000549531, 0.0182222, 0.5, 0, 0.5, 0, 1.5, 0, -0.367294
99.5, 99, 2, 0.0321152, 0.00110676, 0, 0.00205307, 0, 0, 0.00753428, 0.000219129, 0.021202, 0.5, 0, 0.5, 0, 1.5, 0, 0.383776
100.5, 100, 2, 0.0297831, 0.00132648, 0, 0.00102653, 0.000240754, 0, 0.00645796, 0.000573153, 0.0201582, 0.5, 0, 0.5, 0, 1.5, 0, 0.370368
101.5, 101, 0, 0.0339901, 0.00131835, 0, 0.00410613, 0, 0, 0.00538163, 0.000262954, 0.022921, 0.5, 0, 0.5, 0, 1.5, 0, -0.404407
102.5, 102, 0, 0.0335947, 0.00139972, 0, 0.00102653, 0, 0, 0.00538163, 0.000350606, 0.0254362, 0.5, 0, 0.5, 0, 1.5, 0, -0.404085
103.5, 103, 2, 0.0317105, 0.00149738, 0, 0.00205307, 0, 0, 0.00430531, 0.000131477, 0.0237233, 0.5, 0, 0.5, 0, 1.5, 0, 0.381478
104.5, 104, 0, 0.0432904, 0.00139159, 0, 0.0061592, 0.000240754, 0, 0.0118396, 0.000394431, 0.0232648, 0.5, 0, 0.5, 0, 1.5, 0, -0.424848
105.5, 105, 0, 0.0389269, 0.00139972, 1.44379e-05, 0.00102653, 0, 0, 0.00753428, 0.00030678, 0.0286452, 0.5, 0, 0.5, 0, 1.5, 0, -0.408016
106.5, 106, 2, 0.0385334, 0.00163572, 0, 0.00102653, 0, 0, 0.00645796, 0.000418054, 0.0289951, 0.5, 0, 0.5, 0, 1.5, 0, 0.404545
107.5, 107, 1, 0.0380086, 0.00144041, 0, 0.00102653, 0.000722263, 0.00181654, 0.00322898, 0.000549531, 0.0292243, 0.5, 0, 0.5, 0, 1.5, 0, 0.376469
