time, best, up, low
2016-06-11, 0.0662914, 0.069146, 0.0634368
2016-06-12, 0.066107, 0.0689405, 0.0632735
2016-06-14, 0.0659239, 0.0687365, 0.0631113
2016-06-15, 0.0657421, 0.068534, 0.0629502
2016-06-16, 0.0655615, 0.068333, 0.06279
2016-06-18, 0.0653822, 0.0681335, 0.062631
2016-06-19, 0.0652042, 0.0679354, 0.0624729
2016-06-20, 0.0650273, 0.0677388, 0.0623158
2016-06-22, 0.0648517, 0.0675437, 0.0621598
2016-06-23, 0.0646774, 0.06735, 0.0620047
2016-06-25, 0.0645042, 0.0671577, 0.0618507
2016-06-26, 0.0643322, 0.0669669, 0.0616976
2016-06-27, 0.0641614, 0.0667774, 0.0615455
2016-06-29, 0.0639919, 0.0665894, 0.0613943
2016-06-30, 0.0638235, 0.0664028, 0.0612441
2016-07-02, 0.0636562, 0.0662175, 0.0610949
2016-07-03, 0.0634901, 0.0660337, 0.0609466
2016-07-04, 0.0633252, 0.0658512, 0.0607993
2016-07-06, 0.0631614, 0.06567, 0.0606529
2016-07-07, 0.0629988, 0.0654902, 0.0605074
2016-07-09, 0.0628373, 0.0653118, 0.0603628
2016-07-10, 0.0626769, 0.0651347, 0.0602192
2016-07-11, 0.0625176, 0.0649589, 0.0600764
2016-07-13, 0.0623595, 0.0647844, 0.0599346
2016-07-14, 0.0622024, 0.0646112, 0.0597936
2016-07-16, 0.0620464, 0.0644394, 0.0596535
2016-07-17, 0.0618915, 0.0642688, 0.0595143
2016-07-18, 0.0617377, 0.0640995, 0.0593759
2016-07-20, 0.061585, 0.0639315, 0.0592385
2016-07-21, 0.0614333, 0.0637647, 0.0591018
2016-07-22, 0.0612826, 0.0635992, 0.0589661
2016-07-24, 0.061133, 0.0634349, 0.0588311
2016-07-25, 0.0609845, 0.0632719, 0.058697
2016-07-27, 0.060837, 0.0631102, 0.0585638
2016-07-28, 0.0606905, 0.0629496, 0.0584313
2016-07-29, 0.060545, 0.0627903, 0.0582997
2016-07-31, 0.0604005, 0.0626321, 0.0581689
2016-08-01, 0.0602571, 0.0624752, 0.0580389
2016-08-03, 0.0601146, 0.0623195, 0.0579097
2016-08-04, 0.0599731, 0.0621649, 0.0577813
2016-08-05, 0.0598326, 0.0620116, 0.0576537
2016-08-07, 0.0596931, 0.0618594, 0.0575268
2016-08-08, 0.0595546, 0.0617083, 0.0574008
2016-08-10, 0.059417, 0.0615584, 0.0572755
2016-08-11, 0.0592803, 0.0614097, 0.057151
2016-08-12, 0.0591446, 0.0612621, 0.0570272
2016-08-14, 0.0590099, 0.0611156, 0.0569042
2016-08-15, 0.0588761, 0.0609703, 0.0567819
2016-08-17, 0.0587432, 0.060826, 0.0566604
2016-08-18, 0.0586113, 0.0606829, 0.0565396
2016-08-19, 0.0584802, 0.0605409, 0.0564196
2016-08-21, 0.0583501, 0.0604, 0.0563002
2016-08-22, 0.0582209, 0.0602601, 0.0561816
2016-08-23, 0.0580926, 0.0601214, 0.0560638
2016-08-25, 0.0579651, 0.0599837, 0.0559466
2016-08-26, 0.0578386, 0.059847, 0.0558301
2016-08-28, 0.0577129, 0.0597115, 0.0557143
2016-08-29, 0.0575881, 0.0595769, 0.0555993
2016-08-30, 0.0574642, 0.0594435, 0.0554849
2016-09-01, 0.0573411, 0.059311, 0.0553712
2016-09-02, 0.0572189, 0.0591796, 0.0552582
2016-09-04, 0.0570975, 0.0590492, 0.0551458
2016-09-05, 0.056977, 0.0589198, 0.0550342
2016-09-06, 0.0568573, 0.0587914, 0.0549232
2016-09-08, 0.0567385, 0.0586641, 0.0548128
2016-09-09, 0.0566204, 0.0585377, 0.0547032
2016-09-11, 0.0565032, 0.0584123, 0.0545941
2016-09-12, 0.0563868, 0.0582879, 0.0544858
2016-09-13, 0.0562712, 0.0581644, 0.054378
2016-09-15, 0.0561564, 0.0580419, 0.054271
2016-09-16, 0.0560425, 0.0579204, 0.0541645
2016-09-18, 0.0559293, 0.0577998, 0.0540587
2016-09-19, 0.0558168, 0.0576802, 0.0539535
2016-09-20, 0.0557052, 0.0575615, 0.0538489
2016-09-22, 0.0555944, 0.0574437, 0.053745
2016-09-23, 0.0554843, 0.0573269, 0.0536417
2016-09-24, 0.055375, 0.057211, 0.0535389
2016-09-26, 0.0552664, 0.057096, 0.0534368
2016-09-27, 0.0551586, 0.0569819, 0.0533353
2016-09-29, 0.0550515, 0.0568687, 0.0532344
2016-09-30, 0.0549452, 0.0567563, 0.0531341
2016-10-01, 0.0548396, 0.0566449, 0.0530344
2016-10-03, 0.0547348, 0.0565343, 0.0529353
2016-10-04, 0.0546307, 0.0564247, 0.0528367
2016-10-06, 0.0545273, 0.0563158, 0.0527388
2016-10-07, 0.0544246, 0.0562079, 0.0526414
2016-10-08, 0.0543227, 0.0561008, 0.0525446
2016-10-10, 0.0542214, 0.0559945, 0.0524483
2016-10-11, 0.0541209, 0.0558891, 0.0523527
2016-10-13, 0.054021, 0.0557845, 0.0522576
2016-10-14, 0.0539219, 0.0556807, 0.052163
2016-10-15, 0.0538234, 0.0555777, 0.0520691
2016-10-17, 0.0537256, 0.0554756, 0.0519756
2016-10-18, 0.0536285, 0.0553742, 0.0518827
2016-10-20, 0.0535321, 0.0552737, 0.0517904
2016-10-21, 0.0534363, 0.055174, 0.0516986
2016-10-22, 0.0533412, 0.055075, 0.0516074
2016-10-24, 0.0532468, 0.0549769, 0.0515167
2016-10-25, 0.053153, 0.0548795, 0.0514265
2016-10-26, 0.0530599, 0.0547828, 0.0513369
2016-10-28, 0.0529674, 0.054687, 0.0512478
2016-10-29, 0.0528755, 0.0545919, 0.0511592
2016-10-31, 0.0527843, 0.0544975, 0.0510712
2016-11-01, 0.0526938, 0.0544039, 0.0509836
2016-11-02, 0.0526038, 0.054311, 0.0508966
2016-11-04, 0.0525145, 0.0542189, 0.0508101
2016-11-05, 0.0524258, 0.0541275, 0.0507241
2016-11-07, 0.0523377, 0.0540368, 0.0506387
2016-11-08, 0.0522503, 0.0539469, 0.0505537
2016-11-09, 0.0521634, 0.0538576, 0.0504692
2016-11-11, 0.0520772, 0.0537691, 0.0503853
2016-11-12, 0.0519915, 0.0536812, 0.0503018
2016-11-14, 0.0519064, 0.053594, 0.0502189
2016-11-15, 0.051822, 0.0535076, 0.0501364
2016-11-16, 0.0517381, 0.0534218, 0.0500544
2016-11-18, 0.0516548, 0.0533367, 0.0499729
2016-11-19, 0.0515721, 0.0532522, 0.0498919
2016-11-21, 0.0514899, 0.0531684, 0.0498114
2016-11-22, 0.0514083, 0.0530853, 0.0497314
2016-11-23, 0.0513273, 0.0530029, 0.0496518
2016-11-25, 0.0512469, 0.052921, 0.0495727
2016-11-26, 0.051167, 0.0528399, 0.0494941
2016-11-28, 0.0510877, 0.0527593, 0.049416
2016-11-29, 0.0510089, 0.0526794, 0.0493383
2016-11-30, 0.0509306, 0.0526002, 0.0492611
2016-12-02, 0.0508529, 0.0525215, 0.0491844
2016-12-03, 0.0507758, 0.0524435, 0.0491081
2016-12-04, 0.0506992, 0.0523661, 0.0490323
2016-12-06, 0.0506231, 0.0522892, 0.0489569
2016-12-07, 0.0505475, 0.052213, 0.048882
2016-12-09, 0.0504725, 0.0521374, 0.0488076
2016-12-10, 0.050398, 0.0520624, 0.0487336
2016-12-11, 0.050324, 0.0519879, 0.04866
2016-12-13, 0.0502505, 0.0519141, 0.0485869
2016-12-14, 0.0501775, 0.0518408, 0.0485143
2016-12-16, 0.0501051, 0.0517681, 0.048442
2016-12-17, 0.0500331, 0.051696, 0.0483703
2016-12-18, 0.0499617, 0.0516244, 0.0482989
2016-12-20, 0.0498907, 0.0515534, 0.048228
2016-12-21, 0.0498202, 0.0514829, 0.0481575
2016-12-23, 0.0497502, 0.051413, 0.0480875
2016-12-24, 0.0496807, 0.0513436, 0.0480179
2016-12-25, 0.0496117, 0.0512748, 0.0479487
2016-12-27, 0.0495432, 0.0512065, 0.0478799
2016-12-28, 0.0494751, 0.0511387, 0.0478116
2016-12-30, 0.0494076, 0.0510714, 0.0477437
2016-12-31, 0.0493404, 0.0510047, 0.0476761
2017-01-01, 0.0492738, 0.0509385, 0.0476091
2017-01-03, 0.0492076, 0.0508728, 0.0475424
2017-01-04, 0.0491419, 0.0508076, 0.0474761
2017-01-05, 0.0490766, 0.0507429, 0.0474103
2017-01-07, 0.0490118, 0.0506788, 0.0473448
2017-01-08, 0.0489474, 0.0506151, 0.0472798
2017-01-10, 0.0488835, 0.0505519, 0.0472151
2017-01-11, 0.04882, 0.0504892, 0.0471509
2017-01-12, 0.048757, 0.0504269, 0.047087
2017-01-14, 0.0486944, 0.0503652, 0.0470236
2017-01-15, 0.0486322, 0.0503039, 0.0469605
2017-01-17, 0.0485705, 0.0502431, 0.0468979
2017-01-18, 0.0485092, 0.0501828, 0.0468356
2017-01-19, 0.0484483, 0.0501229, 0.0467737
2017-01-21, 0.0483879, 0.0500635, 0.0467122
2017-01-22, 0.0483278, 0.0500045, 0.0466511
2017-01-24, 0.0482682, 0.049946, 0.0465904
2017-01-25, 0.048209, 0.049888, 0.0465301
2017-01-26, 0.0481502, 0.0498303, 0.0464701
2017-01-28, 0.0480918, 0.0497732, 0.0464105
2017-01-29, 0.0480339, 0.0497164, 0.0463513
2017-01-31, 0.0479763, 0.0496601, 0.0462925
2017-02-01, 0.0479191, 0.0496042, 0.046234
2017-02-02, 0.0478623, 0.0495488, 0.0461759
2017-02-04, 0.0478059, 0.0494937, 0.0461182
2017-02-05, 0.04775, 0.0494391, 0.0460608
2017-02-06, 0.0476943, 0.0493849, 0.0460038
2017-02-08, 0.0476391, 0.0493311, 0.0459471
2017-02-09, 0.0475843, 0.0492777, 0.0458908
2017-02-11, 0.0475298, 0.0492248, 0.0458349
2017-02-12, 0.0474758, 0.0491722, 0.0457793
2017-02-13, 0.0474221, 0.04912, 0.0457241
2017-02-15, 0.0473687, 0.0490682, 0.0456693
2017-02-16, 0.0473158, 0.0490168, 0.0456147
2017-02-18, 0.0472632, 0.0489658, 0.0455606
2017-02-19, 0.047211, 0.0489152, 0.0455067
2017-02-20, 0.0471591, 0.048865, 0.0454533
2017-02-22, 0.0471076, 0.0488151, 0.0454001
2017-02-23, 0.0470565, 0.0487656, 0.0453473
2017-02-25, 0.0470057, 0.0487165, 0.0452948
2017-02-26, 0.0469553, 0.0486678, 0.0452427
2017-02-27, 0.0469052, 0.0486194, 0.0451909
2017-03-01, 0.0468554, 0.0485714, 0.0451395
2017-03-02, 0.046806, 0.0485237, 0.0450883
2017-03-04, 0.046757, 0.0484765, 0.0450375
2017-03-05, 0.0467083, 0.0484295, 0.0449871
2017-03-06, 0.0466599, 0.0483829, 0.0449369
2017-03-08, 0.0466119, 0.0483367, 0.0448871
2017-03-09, 0.0465642, 0.0482908, 0.0448376
2017-03-10, 0.0465168, 0.0482452, 0.0447884
2017-03-12, 0.0464698, 0.0482, 0.0447395
2017-03-13, 0.0464231, 0.0481551, 0.044691
2017-03-15, 0.0463767, 0.0481106, 0.0446428
2017-03-16, 0.0463306, 0.0480664, 0.0445948
2017-03-17, 0.0462849, 0.0480225, 0.0445472
2017-03-19, 0.0462394, 0.047979, 0.0444999
