par, 0_30_40, 0_30_40_err, 0_30_0, 0_30_0_err, 0_30_-30, 0_30_-30_err, 0_20_0, 0_20_0_err, 0_20_-30, 0_20_-30_err, 0_0_20, 0_0_20_err, 0_0_-27, 0_0_-27_err, 0_0_-40, 0_0_-40_err, 0_0_-70, 0_0_-70_err, 0_0_-95, 0_0_-95_err, 11_0_-24, 11_0_-24_err, 7_0_-5, 7_0_-5_err, -7_0_6, -7_0_6_err
0.3, 0.696949, 0.01241, 0.739013, 0.0124344, 0.79915, 0.0121434, 0.651821, 0.00771016, 0.74376, 0.00656591, 0.725682, 0.0114417, 0.926336, 0.00667848, 0.894202, 0.00594353, 0.977149, 0.00454907, 0.99169, 0.0029161, 0.821705, 0.0145691, 0.743698, 0.024998, 0.759895, 0.0200235
0.4, 0.854996, 0.0137447, 0.864587, 0.013449, 0.902714, 0.0129059, 0.827325, 0.00868551, 0.869006, 0.00709648, 0.8549, 0.0124183, 0.962516, 0.0068074, 0.944726, 0.00610874, 0.989319, 0.00457718, 0.999913, 0.00292803, 0.894832, 0.0152034, 0.877312, 0.0271507, 0.881794, 0.0215696
0.45, 0.929488, 0.0143308, 0.927376, 0.0139286, 0.947942, 0.0132251, 0.915216, 0.00913479, 0.925071, 0.00732147, 0.929074, 0.0129455, 0.978484, 0.00686352, 0.96975, 0.00618892, 0.992213, 0.00458384, 1.00652, 0.00293758, 0.957364, 0.0157254, 0.939497, 0.0280964, 0.934037, 0.0221993
0.5, 1, 0.0148642, 1, 0.0144635, 1, 0.0135832, 1, 0.00954808, 1, 0.00761172, 1, 0.0134303, 1, 0.00693841, 1, 0.00628447, 1, 0.00460171, 1, 0.00292815, 1, 0.0160717, 1, 0.0289868, 1, 0.0229696
0.55, 1.06698, 0.0153536, 1.05107, 0.014828, 1.04431, 0.0138807, 1.09273, 0.00998044, 1.06645, 0.00786012, 1.06533, 0.0138618, 1.00815, 0.00696658, 1.01643, 0.00633576, 1.01853, 0.00464394, 1.00421, 0.00293424, 1.02765, 0.0162922, 1.06555, 0.0299216, 1.05963, 0.0236444
0.6, 1.16976, 0.0160758, 1.09293, 0.0151202, 1.08677, 0.0141599, 1.18354, 0.0103864, 1.12838, 0.00808467, 1.12308, 0.0142324, 1.02615, 0.00702834, 1.05044, 0.00644062, 1.03036, 0.00492335, 1.00872, 0.00294074, 1.07442, 0.0166587, 1.12353, 0.0307248, 1.09393, 0.024024
0.7, 1.32096, 0.0170826, 1.21871, 0.0159662, 1.16264, 0.0146456, 1.36178, 0.01114, 1.27173, 0.00858181, 1.26602, 0.0151103, 1.05485, 0.00712576, 1.09012, 0.00656079, 1.04444, 0.00470236, 1.0109, 0.00294389, 1.15556, 0.017276, 1.21345, 0.0319305, 1.20211, 0.0251836
