par, 0_30_40, 0_30_40_err, 0_30_0, 0_30_0_err, 0_30_-30, 0_30_-30_err, 0_20_0, 0_20_0_err, 0_20_-30, 0_20_-30_err, 0_0_20, 0_0_20_err, 0_0_-27, 0_0_-27_err, 0_0_-40, 0_0_-40_err, 0_0_-70, 0_0_-70_err, 0_0_-95, 0_0_-95_err, 11_0_-24, 11_0_-24_err, 7_0_-5, 7_0_-5_err, -7_0_6, -7_0_6_err
0.3, 1.06923, 0.0190389, 1.13377, 0.0190765, 1.22603, 0.01863, 1, 0.0118286, 1.14105, 0.0100732, 1.11331, 0.0175535, 1.42115, 0.0102459, 1.37185, 0.00911834, 1.49911, 0.00697901, 1.52141, 0.00447378, 1.26063, 0.0223514, 1.14095, 0.038351, 1.1658, 0.0307194
0.4, 1.03345, 0.0166135, 1.04504, 0.0162561, 1.09112, 0.0155996, 1, 0.0104983, 1.05038, 0.00857762, 1.03333, 0.0150101, 1.16341, 0.0082282, 1.1419, 0.00738373, 1.1958, 0.0055325, 1.20861, 0.00353915, 1.0816, 0.0183765, 1.06042, 0.0328174, 1.06584, 0.0260715
0.45, 1.01559, 0.0156583, 1.01329, 0.015219, 1.03576, 0.0144503, 1, 0.00998102, 1.01077, 0.00799972, 1.01514, 0.0141448, 1.06913, 0.00749934, 1.05959, 0.00676226, 1.08413, 0.00500848, 1.09977, 0.00320971, 1.04605, 0.0171822, 1.02653, 0.0306992, 1.02057, 0.0242558
0.5, 1, 0.0148642, 1, 0.0144635, 1, 0.0135832, 1, 0.00954808, 1, 0.00761172, 1, 0.0134303, 1, 0.00693841, 1, 0.00628447, 1, 0.00460171, 1, 0.00292815, 1, 0.0160717, 1, 0.0289868, 1, 0.0229696
0.55, 0.976435, 0.0140508, 0.961877, 0.0135698, 0.955688, 0.0127028, 1, 0.00913352, 0.975957, 0.00719313, 0.97493, 0.0126855, 0.922604, 0.00637542, 0.93018, 0.00579812, 0.932099, 0.00424986, 0.918993, 0.00268524, 0.940445, 0.0149097, 0.975127, 0.0273826, 0.969713, 0.021638
0.6, 0.98836, 0.0135828, 0.92344, 0.0127755, 0.918235, 0.0119641, 1, 0.0087757, 0.953397, 0.00683094, 0.948921, 0.0120253, 0.867017, 0.00593842, 0.887547, 0.00544184, 0.870575, 0.00415986, 0.85229, 0.0024847, 0.907802, 0.0140753, 0.949298, 0.0259602, 0.92429, 0.0202985
0.7, 0.970022, 0.0125443, 0.89494, 0.0117245, 0.853764, 0.0107547, 1, 0.00818044, 0.933876, 0.00630191, 0.92968, 0.011096, 0.774612, 0.00523268, 0.80051, 0.00481781, 0.76697, 0.0034531, 0.74234, 0.00216179, 0.848564, 0.0126863, 0.891074, 0.0234476, 0.88275, 0.0184932
