xunit, xunit_low, fitted_data, total_model, Nnbb_coax, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, alpha_high_energy_coax, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
830, 825, 3250, 779.826, 741.363, 1.10323, 0.0134817, 5.91451, 2.35333, 6.41478, 19.9985, 0.754136, 0.615711, 0.935818, 0.359819, 53.9, 50.1, 55.7667, 48.2333, 57.5667, 46.4333, -6.29629
840, 835, 2657, 804.679, 767.729, 1.29261, 0.0148269, 5.73276, 2.52032, 6.14702, 18.6432, 0.74073, 0.595131, 0.896772, 0.366488, 55.5667, 51.7, 57.4333, 49.8333, 59.3, 47.9667, -5.17079
850, 845, 2326, 825.745, 789.739, 1.05914, 0.013392, 5.76305, 2.62517, 5.77942, 18.0497, 0.732001, 0.663752, 0.946556, 0.373898, 56.9667, 53.1, 58.9, 51.1667, 60.7667, 49.3, -9.17829
860, 855, 2090, 847.252, 813.154, 1.07988, 0.0138404, 5.43741, 2.41935, 5.44813, 17.0207, 0.753201, 0.605017, 0.940002, 0.380566, 58.4333, 54.5, 60.3667, 52.5667, 62.3, 50.7, -6.98279
870, 865, 1805, 870.175, 834.044, 1.48504, 0.0133322, 5.53586, 2.21741, 5.55705, 16.3915, 0.716102, 2.8046, 1.02375, 0.386856, 60.0333, 56.0333, 61.9667, 54.0333, 63.9, 52.1667, -8.34528
880, 875, 1529, 888.239, 854.251, 1.10396, 0.0133621, 5.31624, 2.34556, 5.11911, 15.8632, 0.706437, 0.671785, 2.45452, 0.394032, 61.2333, 57.1667, 63.2333, 55.2333, 65.1667, 53.3, -9.50361
890, 885, 1250, 909.033, 874.306, 1.02119, 0.0126746, 5.07391, 2.12809, 5.02381, 15.4066, 0.724519, 0.560259, 4.37546, 0.400435, 62.6333, 58.5667, 64.6333, 56.5667, 66.6333, 54.6333, -10.7141
900, 895, 1173, 917.347, 887.092, 1.0911, 0.0133621, 4.99818, 2.2679, 4.68344, 14.7563, 0.698643, 0.576764, 0.761298, 0.407546, 63.2333, 59.1, 65.2333, 57.1, 67.1667, 55.1, -10.3457
910, 905, 1172, 933.671, 903.597, 1.04942, 0.0124952, 4.92245, 2.19411, 4.66529, 14.6595, 0.677132, 0.697326, 0.780119, 0.416322, 64.3, 60.1667, 66.3667, 58.1667, 68.3, 56.1667, -11.2472
920, 915, 1005, 947.544, 916.565, 1.03039, 0.012286, 4.93759, 2.27566, 4.45653, 13.3968, 0.681185, 0.62787, 3.13898, 0.421734, 65.2333, 61.1, 67.3, 59.0333, 69.3, 57.0333, -12.4599
930, 925, 946, 961.507, 933.378, 1.10616, 0.0121365, 4.7104, 2.25625, 4.34988, 13.1233, 0.681185, 0.571608, 0.889925, 0.428897, 66.1667, 62.0333, 68.2333, 59.9667, 70.3, 57.9, -13.3677
940, 935, 1000, 974.7, 946.341, 1.19162, 0.0130034, 5.08905, 2.19799, 4.45199, 12.9865, 0.671209, 0.553813, 0.768303, 0.435852, 67.1, 62.9, 69.1667, 60.7667, 71.1667, 58.7667, -13.5073
950, 945, 1005, 988.422, 954.207, 1.16216, 0.0112696, 4.70283, 2.13586, 4.29089, 12.4625, 0.660921, 6.27441, 2.07056, 0.443644, 68.0333, 63.7667, 70.1, 61.7, 72.1667, 59.6333, -13.5952
960, 955, 960, 988.479, 961.135, 1.12439, 0.0126447, 4.97546, 2.12033, 4.07078, 12.3046, 0.675574, 0.783231, 0.827726, 0.449888, 68.0333, 63.7667, 70.1, 61.7, 72.1667, 59.6333, -14.3282
970, 965, 1001, 1001.17, 970.316, 1.19062, 0.0124354, 4.38476, 2.13198, 4.03902, 11.9953, 0.672144, 0.379742, 5.58731, 0.458249, 68.9, 64.6333, 70.9667, 62.5, 73.0333, 60.4333, -14.8909
980, 975, 1005, 1003.12, 977.554, 1.25554, 0.0113593, 4.77856, 2.2679, 3.75538, 11.2798, 0.679938, 0.403076, 0.671619, 0.465334, 69.0333, 64.7, 71.1, 62.6333, 73.1667, 60.5667, -15.2223
990, 985, 999, 1004.89, 980.015, 1.25621, 0.0117479, 4.28631, 2.15528, 3.72134, 11.2819, 0.659362, 0.359503, 0.668286, 0.47287, 69.1667, 64.8333, 71.2333, 62.7667, 73.3, 60.7, -15.8009
1000, 995, 1063, 1007.68, 983.334, 1.34999, 0.0124354, 4.08942, 2.15528, 3.72815, 10.7747, 0.699579, 0.376492, 0.676354, 0.480062, 69.3, 65.0333, 71.4333, 62.9, 73.5, 60.8333, -15.8039
1010, 1005, 1042, 1012.66, 988.028, 1.46404, 0.0127344, 4.30146, 2.17469, 3.62604, 10.9494, 0.64658, 0.356167, 0.611592, 0.487687, 69.6333, 65.3667, 71.7667, 63.2333, 73.8333, 61.1667, -16.8642
1020, 1015, 1005, 1013.62, 989.264, 1.6541, 0.0130931, 4.37719, 2.02713, 3.47628, 10.5895, 0.704567, 0.365501, 0.652929, 0.495521, 69.7, 65.4333, 71.8333, 63.3, 73.9, 61.2333, -17.4832
1030, 1025, 1005, 1010.01, 985.32, 1.71905, 0.0128838, 4.73312, 2.30285, 3.48535, 10.2949, 0.672144, 0.395095, 0.568454, 0.503662, 69.5, 65.1667, 71.5667, 63.1, 73.6333, 61.0333, -18.5021
1040, 1035, 1035, 1008.39, 984.171, 1.7133, 0.0114191, 4.43777, 2.29508, 3.35828, 10.2465, 0.663415, 0.38602, 0.595364, 0.511243, 69.3667, 65.1, 71.5, 62.9667, 73.5667, 60.9, -17.7732
1050, 1045, 994, 1019.15, 980.288, 1.75318, 0.0121664, 4.22573, 2.37663, 3.55343, 10.2928, 0.678691, 14.8759, 0.577469, 0.518835, 70.1, 65.7667, 72.2333, 63.6333, 74.3, 61.5667, -19.0499
1060, 1055, 990, 997.61, 974.416, 1.70541, 0.0144681, 4.20301, 2.25625, 3.24937, 9.90348, 0.62694, 0.0879328, 0.620492, 0.526976, 68.6333, 64.3667, 70.7667, 62.3, 72.7667, 60.2333, -17.7493
1070, 1065, 994, 991.931, 968.521, 1.85965, 0.0131827, 4.30146, 2.27955, 3.29248, 9.86349, 0.637851, 0.0978522, 0.530415, 0.534416, 68.2333, 63.9667, 70.3667, 61.9, 72.3667, 59.8333, -17.3974
1080, 1075, 961, 982.497, 958.693, 2.07087, 0.0136311, 4.28631, 2.2912, 3.29021, 9.68462, 0.631304, 0.0880439, 0.9053, 0.541748, 67.6333, 63.3667, 69.7, 61.3, 71.7667, 59.2333, -17.3393
1090, 1085, 981, 991.089, 952.708, 2.92056, 0.0143785, 4.43777, 2.22129, 3.20398, 9.77511, 0.642216, 0.268798, 14.3475, 0.549726, 68.2333, 63.9667, 70.3, 61.8333, 72.3667, 59.8333, -19.0616
1100, 1095, 942, 960.82, 937.7, 1.98102, 0.0155443, 4.3469, 2.22518, 3.1291, 9.79194, 0.623199, 0.0771708, 0.370473, 0.559736, 66.1667, 61.9667, 68.2333, 59.9, 70.2333, 57.9, -18.5766
1110, 1105, 928, 952.711, 930.502, 1.58317, 0.0159329, 4.15, 2.33003, 3.13591, 9.33949, 0.655621, 0.0827641, 0.350776, 0.56581, 65.6333, 61.4333, 67.6333, 59.3667, 69.6333, 57.3667, -17.8096
