xunit, xunit_low, fitted_data, total_model, Ac228_holders, Co60_cables, K40_close, K40_far, K42_close_coax, K42_far, K42_inside_ms, Th228_cables, U238_cables, 1sig_p, 1sig_m, 2sig_p, 2sig_m, 3sig_p, 3sig_m, norm_pois_res
23556.3, 23512.3, 0, 0.00320437, 0, 0, 0, 0, 0, 0, 0, 0.00320437, 0, 0.0333333, 0, 0.0333333, 0, 0.1, 0, 0.228402
23644.4, 23600.4, 0, 0.00224306, 0, 0, 0, 0, 0, 0, 0, 0.00224306, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.217785
23732.4, 23688.4, 0, 0.00624852, 0, 0, 0, 0, 0, 0, 0, 0.00624852, 0, 0.0333333, 0, 0.0333333, 0, 0.1, 0, 0.255174
23820.4, 23776.4, 0, 0.0129777, 0, 0, 0, 0, 0, 0, 0, 0.0129777, 0, 0.0333333, 0, 0.0333333, 0, 0.1, 0, 0.304248
23908.5, 23864.5, 0, 0.000320437, 0, 0, 0, 0, 0, 0, 0, 0.000320437, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.164404
23996.5, 23952.5, 0, 0.000480656, 0, 0, 0, 0, 0, 0, 0, 0.000480656, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.166942
24084.6, 24040.5, 0, 0.000320437, 0, 0, 0, 0, 0, 0, 0, 0.000320437, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.164404
24172.6, 24128.6, 0, 0.000160219, 0, 0, 0, 0, 0, 0, 0, 0.000160219, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.141855
24260.6, 24216.6, 0, 0.000480656, 0, 0, 0, 0, 0, 0, 0, 0.000480656, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.166942
24348.7, 24304.6, 0, 0.000480656, 0, 0, 0, 0, 0, 0, 0, 0.000480656, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.166942
24436.7, 24392.7, 0, 0.000801093, 0, 0, 0, 0, 0, 0, 0, 0.000801093, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.175965
24524.7, 24480.7, 0, 0.000160219, 0, 0, 0, 0, 0, 0, 0, 0.000160219, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.141855
24612.8, 24568.8, 0, 0.000480656, 0, 0, 0, 0, 0, 0, 0, 0.000480656, 0, 0.0333333, 0, 0.0333333, 0, 0.0333333, 0, 0.166942
