 176  0.1760   0.1222E-19
 177  0.1770   0.1230E-19
 178  0.1780   0.1238E-19
 179  0.1790   0.1246E-19
 180  0.1800   0.1254E-19
 181  0.1810   0.1262E-19
 182  0.1820   0.1270E-19
 183  0.1830   0.1278E-19
 184  0.1840   0.1286E-19
 185  0.1850   0.1294E-19
 186  0.1860   0.1302E-19
 187  0.1870   0.1310E-19
 188  0.1880   0.1318E-19
 189  0.1890   0.1326E-19
 190  0.1900   0.1334E-19
 191  0.1910   0.1342E-19
 192  0.1920   0.1350E-19
 193  0.1930   0.1358E-19
 194  0.1940   0.1366E-19
 195  0.1950   0.1374E-19
 196  0.1960   0.1382E-19
 197  0.1970   0.1390E-19
 198  0.1980   0.1399E-19
 199  0.1990   0.1407E-19
 200  0.2000   0.1415E-19
 201  0.2010   0.1423E-19
 202  0.2020   0.1431E-19
 203  0.2030   0.1439E-19
 204  0.2040   0.1447E-19
 205  0.2050   0.1455E-19
 206  0.2060   0.1463E-19
 207  0.2070   0.1471E-19
 208  0.2080   0.1479E-19
 209  0.2090   0.1488E-19
 210  0.2100   0.1496E-19
 211  0.2110   0.1504E-19
 212  0.2120   0.1512E-19
 213  0.2130   0.1520E-19
 214  0.2140   0.1528E-19
 215  0.2150   0.1536E-19
 216  0.2160   0.1544E-19
 217  0.2170   0.1553E-19
 218  0.2180   0.1561E-19
 219  0.2190   0.1569E-19
 220  0.2200   0.1577E-19
 221  0.2210   0.1585E-19
 222  0.2220   0.1593E-19
 223  0.2230   0.1601E-19
 224  0.2240   0.1609E-19
 225  0.2250   0.1618E-19
 226  0.2260   0.1626E-19
 227  0.2270   0.1634E-19
 228  0.2280   0.1642E-19
 229  0.2290   0.1650E-19
 230  0.2300   0.1658E-19
 231  0.2310   0.1666E-19
 232  0.2320   0.1674E-19
 233  0.2330   0.1683E-19
 234  0.2340   0.1691E-19
 235  0.2350   0.1699E-19
 236  0.2360   0.1707E-19
 237  0.2370   0.1715E-19
 238  0.2380   0.1723E-19
 239  0.2390   0.1731E-19
 240  0.2400   0.1739E-19
 241  0.2410   0.1747E-19
 242  0.2420   0.1756E-19
 243  0.2430   0.1764E-19
 244  0.2440   0.1772E-19
 245  0.2450   0.1780E-19
 246  0.2460   0.1788E-19
 247  0.2470   0.1796E-19
 248  0.2480   0.1804E-19
