bin_low_edge, bin_center, best, 0p5, 0p6, 0p7, 0p8, 0p9, 1p1, 1p2, 1p3, 1p4, 1p5
14880, 14887.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14895, 14902.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14910, 14917.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14925, 14932.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14940, 14947.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14955, 14962.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14970, 14977.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14985, 14992.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15000, 15007.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15015, 15022.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15030, 15037.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15045, 15052.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15060, 15067.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15075, 15082.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15090, 15097.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15105, 15112.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15120, 15127.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15135, 15142.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15150, 15157.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15165, 15172.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15180, 15187.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15195, 15202.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15210, 15217.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15225, 15232.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15240, 15247.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15255, 15262.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15270, 15277.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15285, 15292.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15300, 15307.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15315, 15322.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15330, 15337.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15345, 15352.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15360, 15367.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15375, 15382.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15390, 15397.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15405, 15412.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15420, 15427.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15435, 15442.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15450, 15457.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15465, 15472.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15480, 15487.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15495, 15502.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15510, 15517.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15525, 15532.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15540, 15547.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15555, 15562.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15570, 15577.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15585, 15592.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15600, 15607.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15615, 15622.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15630, 15637.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15645, 15652.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15660, 15667.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15675, 15682.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15690, 15697.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15705, 15712.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15720, 15727.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15735, 15742.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15750, 15757.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15765, 15772.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15780, 15787.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15795, 15802.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15810, 15817.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15825, 15832.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15840, 15847.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15855, 15862.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15870, 15877.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15885, 15892.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15900, 15907.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15915, 15922.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15930, 15937.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15945, 15952.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15960, 15967.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15975, 15982.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15990, 15997.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16005, 16012.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16020, 16027.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16035, 16042.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16050, 16057.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16065, 16072.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16080, 16087.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16095, 16102.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16110, 16117.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16125, 16132.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16140, 16147.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16155, 16162.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16170, 16177.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16185, 16192.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16200, 16207.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16215, 16222.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16230, 16237.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16245, 16252.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16260, 16267.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16275, 16282.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16290, 16297.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16305, 16312.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16320, 16327.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16335, 16342.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16350, 16357.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16365, 16372.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16380, 16387.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16395, 16402.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16410, 16417.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16425, 16432.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16440, 16447.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16455, 16462.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16470, 16477.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16485, 16492.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16500, 16507.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16515, 16522.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16530, 16537.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16545, 16552.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16560, 16567.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16575, 16582.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16590, 16597.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16605, 16612.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16620, 16627.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16635, 16642.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16650, 16657.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16665, 16672.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16680, 16687.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16695, 16702.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16710, 16717.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16725, 16732.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16740, 16747.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16755, 16762.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16770, 16777.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16785, 16792.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16800, 16807.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16815, 16822.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16830, 16837.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16845, 16852.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16860, 16867.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16875, 16882.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16890, 16897.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16905, 16912.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16920, 16927.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16935, 16942.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16950, 16957.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16965, 16972.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16980, 16987.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16995, 17002.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17010, 17017.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17025, 17032.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17040, 17047.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17055, 17062.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17070, 17077.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17085, 17092.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17100, 17107.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17115, 17122.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17130, 17137.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17145, 17152.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17160, 17167.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17175, 17182.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17190, 17197.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17205, 17212.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17220, 17227.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17235, 17242.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17250, 17257.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17265, 17272.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17280, 17287.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17295, 17302.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17310, 17317.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17325, 17332.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17340, 17347.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17355, 17362.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17370, 17377.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17385, 17392.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17400, 17407.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17415, 17422.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17430, 17437.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17445, 17452.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17460, 17467.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17475, 17482.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17490, 17497.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17505, 17512.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17520, 17527.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17535, 17542.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17550, 17557.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17565, 17572.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17580, 17587.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17595, 17602.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17610, 17617.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17625, 17632.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17640, 17647.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17655, 17662.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17670, 17677.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17685, 17692.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17700, 17707.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17715, 17722.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17730, 17737.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17745, 17752.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17760, 17767.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17775, 17782.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17790, 17797.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17805, 17812.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17820, 17827.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17835, 17842.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17850, 17857.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17865, 17872.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17880, 17887.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17895, 17902.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17910, 17917.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17925, 17932.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17940, 17947.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17955, 17962.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17970, 17977.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17985, 17992.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18000, 18007.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18015, 18022.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18030, 18037.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18045, 18052.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18060, 18067.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18075, 18082.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18090, 18097.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18105, 18112.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18120, 18127.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18135, 18142.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18150, 18157.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18165, 18172.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18180, 18187.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18195, 18202.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18210, 18217.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18225, 18232.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18240, 18247.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18255, 18262.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18270, 18277.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18285, 18292.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18300, 18307.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18315, 18322.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18330, 18337.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18345, 18352.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18360, 18367.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18375, 18382.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18390, 18397.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18405, 18412.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18420, 18427.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18435, 18442.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18450, 18457.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18465, 18472.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18480, 18487.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18495, 18502.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18510, 18517.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18525, 18532.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18540, 18547.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18555, 18562.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18570, 18577.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18585, 18592.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18600, 18607.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18615, 18622.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18630, 18637.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18645, 18652.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18660, 18667.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18675, 18682.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18690, 18697.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18705, 18712.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18720, 18727.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18735, 18742.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18750, 18757.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18765, 18772.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18780, 18787.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18795, 18802.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18810, 18817.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18825, 18832.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18840, 18847.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18855, 18862.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18870, 18877.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18885, 18892.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18900, 18907.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18915, 18922.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18930, 18937.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18945, 18952.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18960, 18967.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18975, 18982.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18990, 18997.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19005, 19012.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19020, 19027.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19035, 19042.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19050, 19057.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19065, 19072.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19080, 19087.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19095, 19102.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19110, 19117.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19125, 19132.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19140, 19147.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19155, 19162.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19170, 19177.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19185, 19192.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19200, 19207.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19215, 19222.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19230, 19237.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19245, 19252.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19260, 19267.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19275, 19282.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19290, 19297.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19305, 19312.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19320, 19327.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19335, 19342.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19350, 19357.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19365, 19372.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19380, 19387.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19395, 19402.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19410, 19417.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19425, 19432.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19440, 19447.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19455, 19462.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19470, 19477.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19485, 19492.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19500, 19507.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19515, 19522.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19530, 19537.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19545, 19552.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19560, 19567.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19575, 19582.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19590, 19597.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19605, 19612.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19620, 19627.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19635, 19642.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19650, 19657.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19665, 19672.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19680, 19687.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19695, 19702.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19710, 19717.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19725, 19732.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19740, 19747.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19755, 19762.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19770, 19777.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19785, 19792.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19800, 19807.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19815, 19822.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19830, 19837.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
