bin_low_edge, bin_center, TS_0nbbM2_noSys
0.005, 0.0075, 603400
0.01, 0.015, 25500
0.02, 0.03, 17050
0.04, 0.07, 12183.3
0.1, 0.17, 7792.86
0.24, 0.41, 4417.65
0.58, 0.745, 2787.88
0.91, 1.105, 2038.46
1.3, 1.535, 1291.49
1.77, 2.03, 761.538
2.29, 2.45, 390.625
2.61, 2.88, 212.963
3.15, 3.41, 96.1538
3.67, 4.8275, 0
5.985, 6.19857, 0.431965
