bin_low_edge, bin_center, TS_0nbbM7_allSys
0.005, 0.0075, 641200
0.01, 0.02, 23550
0.03, 0.05, 15700
0.07, 0.11, 10812.5
0.15, 0.215, 7315.38
0.28, 0.325, 5322.22
0.37, 0.46, 3888.89
0.55, 0.645, 2815.79
0.74, 0.855, 2034.78
0.97, 1.145, 1460
1.32, 1.495, 842.857
1.67, 2.04, 621.622
2.41, 2.715, 298.361
3.02, 3.285, 156.604
3.55, 4.1175, 77.533
4.685, 5.6925, 17.866
6.7, 7.6125, 0
8.525, 8.77559, 0.547945
